team,relationism_index,diagonal_pass_pct
AFC Ajax,84.3,43.53
Alkmaar Zaanstreek,72.5,42.29
PSV Eindhoven,70.6,42.08
Feyenoord Rotterdam,68.6,43.16
Go Ahead Eagles,68.6,43.27
SC Heerenveen,68.6,43.76
Sparta Rotterdam,62.7,43.59
FC Groningen,58.8,43.18
Nijmegen Eendracht Combinatie,47.1,44.34
FC Utrecht,45.1,40.83
NAC Breda,43.1,42.91
FC Twente,43.1,43.15
FC Volendam,37.3,44.26
PEC Zwolle,35.3,41.36
Heracles Almelo,27.5,42.27
Fortuna Sittard,25.5,40.9
SBV Excelsior,23.5,42.89
SC Telstar,17.6,42.38
