team_name,matches,wins,draws,losses,goals_for,goals_against,goal_diff,points,possession_pct,passes_attempted,passes_completed,forward_passes,backward_passes,lateral_passes,progressive_passes,passes_into_final_third,passes_def_third,passes_completed_def_third,passes_mid_third,passes_completed_mid_third,passes_att_third,passes_completed_att_third,short_passes,short_passes_completed,medium_passes,medium_passes_completed,long_passes_len,long_passes_len_completed,long_balls_attempted,long_balls_completed,crosses_attempted,crosses_completed,crosses_left_side,crosses_left_completed,crosses_right_side,crosses_right_completed,through_balls_attempted,through_balls_completed,passes_left_foot,passes_left_foot_completed,passes_right_foot,passes_right_foot_completed,passes_head,passes_head_completed,passes_received,progressive_passes_received,key_passes,assists,xa,shot_creating_actions,goal_creating_actions,key_passes_cutback,assists_cutback,xa_cutback,key_passes_cross,assists_cross,xa_cross,key_passes_through_ball,assists_through_ball,xa_through_ball,key_passes_set_piece,assists_set_piece,xa_set_piece,key_passes_open_play,assists_open_play,xa_open_play,carries_computed,carry_distance_m,progressive_carries,carries_into_final_third,carries_into_box,take_ons_attempted,take_ons_successful,tackles_attempted,tackles_won,tackles_def_third,tackles_mid_third,tackles_att_third,interceptions,interceptions_def_third,interceptions_mid_third,interceptions_att_third,clearances,aerial_duels,aerial_duels_won,aerial_duels_def_half,aerial_duels_won_def_half,aerial_duels_att_half,aerial_duels_won_att_half,ball_recoveries,ball_recoveries_def_third,ball_recoveries_mid_third,ball_recoveries_att_third,dispossessed,errors,touches,touches_in_box,fouls_committed,fouls_won,offsides,yellow_cards,red_cards_straight,red_cards_second_yellow,shots,goals,shots_left_foot,goals_left_foot,shots_right_foot,goals_right_foot,shots_head,goals_head,shots_inside_box,goals_inside_box,shots_outside_box,goals_outside_box,shot_dist_total_m,corners_taken,corners_completed,free_kicks_taken,free_kick_shots,free_kick_goals,throw_ins_taken,gk_saves,gk_claims,gk_punches,gk_pickups,gk_smothers,gk_penalties_faced,gk_sweeper_actions,progressive_passes_1h,progressive_passes_2h,key_passes_1h,key_passes_2h,shots_1h,shots_2h,tackles_attempted_1h,tackles_attempted_2h,interceptions_1h,interceptions_2h,goals_home,goals_away,shots_home,shots_away,key_passes_home,key_passes_away,tackles_attempted_home,tackles_attempted_away,pass_completion_pct,cross_completion_pct,tackle_win_pct,aerial_duel_win_pct,actions,positive_xT_added,goals_from_shots,xp_crosses,xT_added,xT_per_action,xg,danger_score,disruption_total,disruption_per_match,disruption_value_total,disruption_value_per_match,box_entry_attempts,box_entry_expected,box_entry_actual,box_entry_added_value,xp_cross_completed,xp_cross_expected_completed,xp_cross_completion_rate,xp_cross_expected_completion_rate,xp_cross_added_value,style_long_ball_pct,style_deep_circulation_pct,style_wing_pct,style_territory,style_cross_pct,style_ppda,style_low_block_pct,style_counters_per90,dominant_back_line,top_formation
PSV Eindhoven,34,27,3,4,101,45,56,84,60.61,21090,17890,10140,7665,85,2158,1701,5200,4431,10097,8959,5793,4500,10637,9279,8338,7380,2115,1231,2025,1089,711,190,377,91,334,99,894,491,292,78,419,112,0,0,15862,1834,553,87,61.833106258809565,1062,174,15,4,2.778893046081066,128,26,16.303594881668687,16,2,2.1589729338884354,5,1,0.8999786795675755,389,54,39.6916667176038,3513,50192.80196715167,456,299,148,697,316,605,375,266,233,106,297,119,145,33,782,866,473,504,280,362,193,1648,690,778,180,274,34,24526,1204,362,283,33,53,1,2,609,101,206,26,285,50,118,25,422,85,187,16,9790.233054967439,245,122,320,0,0,631,199,36,16,215,3,4,20,1076,1082,252,301,276,333,269,336,135,162,58,43,332,277,296,257,298,307,84.83,26.72,61.98,54.62,18286,38.9455,98,478,13.4761,0.00074,70.13,130.7766,63.0394,1.97,0.029575,0.000924,932,425.8415,456.0,30.1585,112,103.4,23.4,21.6,8.6,0.0373,0.3156,0.4783,45.9,0.0134,15.343,0.4609,71.86,4,4-2-3-1
Feyenoord Rotterdam,34,19,8,7,70,44,26,65,53.13,15947,12771,7409,5313,49,1747,1284,3984,3183,7470,6398,4493,3190,7893,6566,6209,5311,1845,894,1766,800,702,176,353,91,349,85,944,461,385,88,317,88,0,0,11227,1533,481,52,50.66521431222558,932,120,21,4,3.9744129925966263,120,14,14.450982797890902,8,0,0.5789379514753819,8,0,0.31063927337527275,324,34,31.350241296887397,2334,31510.360943128195,316,175,128,747,323,521,305,215,227,79,299,112,148,39,744,1015,547,565,323,450,224,1484,625,700,159,276,23,19307,1198,320,378,32,50,2,2,575,70,185,23,297,34,93,13,398,59,177,11,9412.46811981844,246,101,407,0,0,551,177,24,15,222,5,3,27,904,843,229,252,273,302,235,286,135,164,39,31,316,259,269,212,272,249,80.08,25.07,58.54,53.89,14350,33.6388,70,433,12.9841,0.0009,61.2231,117.1564,71.4831,2.1024,0.016004,0.000471,855,361.387,375.0,13.613,97,83.8,22.4,19.4,13.2,0.0401,0.3153,0.4522,45.625,0.0128,15.165,0.4488,63.383,4,4-2-3-1
AFC Ajax,36,16,14,6,69,45,24,62,56.23,21004,17506,9826,7624,56,2044,1451,6911,5638,9666,8560,4427,3308,10003,8650,8480,7553,2521,1303,2528,1242,589,126,250,56,339,70,860,452,183,47,406,79,0,0,15499,1630,471,54,47.50131784006953,921,105,8,1,2.0258902683854103,82,13,10.290932334959507,10,0,0.8005730397999287,11,0,0.5281009078025818,360,40,33.855821289122105,3264,47145.306842765145,366,221,136,734,297,609,362,291,231,87,334,152,151,31,898,903,463,531,288,372,175,1585,783,672,130,297,29,24430,1063,374,429,55,60,1,1,544,70,200,19,279,41,65,10,367,55,177,15,9630.073630554676,176,94,518,0,0,613,303,48,14,314,2,14,17,997,1026,218,248,250,283,291,315,166,165,39,31,314,230,271,200,337,272,83.35,21.39,59.44,51.27,18512,31.8642,69,411,8.7595,0.00047,60.4895,111.0767,67.7214,1.9349,0.117044,0.003344,807,357.6479,368.0,10.3521,67,83.7,16.3,20.4,-16.7,0.033,0.3438,0.443,44.377,0.015,15.497,0.4972,71.274,4,4-3-3
Nijmegen Eendracht Combinatie,34,16,11,7,77,53,24,59,56.33,16385,12615,7059,5510,46,1857,1282,4246,3059,7272,6031,4867,3525,7740,6391,6165,5139,2480,1085,2565,1052,766,180,384,72,382,108,1068,509,352,87,414,93,0,0,10747,1551,484,61,51.98496198743582,950,125,10,3,2.568171627819538,121,14,14.391037398949265,6,1,0.9012069664895535,4,1,0.23612254485487938,343,42,33.88842344932258,2317,31024.374966671377,304,217,114,689,315,533,342,208,224,101,251,107,119,25,801,1243,585,610,305,633,280,1616,672,758,186,325,21,19970,1098,413,413,47,63,2,1,589,74,220,18,278,44,91,12,366,63,223,11,10363.492806588134,237,108,456,0,0,712,200,16,7,245,4,5,61,912,945,212,272,258,331,251,282,119,132,39,35,319,270,265,219,312,221,76.99,23.5,64.17,47.06,13828,36.0144,74,515,13.7274,0.00099,62.0907,116.9483,79.764,2.346,0.029521,0.000868,933,374.2356,369.0,-5.2356,102,101.8,19.8,19.8,0.2,0.0521,0.3592,0.4518,44.278,0.0169,13.7,0.4337,56.103,4,3-4-3
FC Twente,34,15,13,6,59,40,19,58,54.06,18246,14298,7985,6257,56,2094,1405,4617,3515,8447,7091,5182,3692,8476,6920,7204,6039,2566,1339,2687,1292,785,183,312,81,473,102,1149,598,270,60,516,123,0,0,12771,1868,552,48,57.49841776393354,1088,101,15,1,2.136181056499481,103,9,13.848456541076303,25,3,2.925668392330408,8,0,0.48531408980488777,401,35,38.10279768422246,2369,33566.673551236316,369,225,137,739,293,605,367,269,244,92,271,114,123,34,910,1063,505,539,276,524,229,1672,704,778,190,288,11,21994,1281,376,338,57,47,2,1,679,62,224,23,388,31,67,8,435,50,244,12,12070.089074136155,186,78,377,0,0,732,201,16,3,226,6,3,24,1048,1046,279,273,337,342,298,307,138,133,31,31,368,311,307,245,303,302,78.36,23.31,60.66,47.51,14780,33.1873,59,413,10.6814,0.00072,67.3618,120.6134,62.7489,2.0242,0.031631,0.00102,855,378.6139,391.0,12.3861,102,83.9,24.7,20.3,18.1,0.0456,0.3061,0.4764,46.463,0.0158,13.731,0.4566,60.817,4,4-2-3-1
FC Utrecht,36,16,8,12,62,49,13,56,46.72,15972,12419,7178,5195,46,1851,1014,5143,3975,7560,6227,3269,2217,7213,5846,6286,5277,2473,1296,2575,1278,718,218,412,124,306,94,1203,571,462,152,256,66,0,0,10884,1546,445,44,42.483784994110465,901,96,7,3,1.0046792179346085,140,16,14.72069332189858,13,2,1.215624839067459,5,0,0.1576852835714817,280,23,25.385102331638336,1936,27541.794368502033,239,125,86,601,236,596,337,282,250,64,333,165,143,25,945,1141,642,532,311,609,331,1521,721,659,141,324,21,19468,889,396,386,36,50,0,2,563,64,173,13,277,36,113,15,389,56,174,8,9503.518370309745,192,80,415,0,0,679,245,40,8,263,6,7,23,878,959,201,242,249,306,298,295,151,178,35,29,319,244,251,194,273,323,77.75,30.36,56.54,56.27,13569,31.7175,62,473,14.8385,0.00109,57.0097,110.2134,59.5644,1.7018,0.075748,0.002164,710,261.4318,290.0,28.5682,126,97.4,26.6,20.6,28.6,0.0451,0.3176,0.4659,45.015,0.0149,15.721,0.5014,60.035,4,4-2-3-1
Alkmaar Zaanstreek,34,14,10,10,58,51,7,52,53.02,17698,14306,7869,6369,68,1792,1267,5031,3957,8435,7221,4232,3128,8596,7221,6841,5925,2261,1160,2304,1103,514,126,269,70,245,56,1013,542,236,55,278,71,0,0,12449,1564,480,52,50.536499990075825,939,103,19,2,3.389466542750597,82,4,10.151860646903515,11,2,1.0169920306652784,11,0,0.6859433390200138,357,44,35.29223743073642,2316,32789.08499555885,311,164,133,700,307,683,402,325,268,90,286,117,142,27,904,1010,434,507,233,503,201,1683,788,734,161,356,30,21325,1079,395,421,48,68,0,1,589,62,224,27,293,29,72,6,383,47,206,15,10411.296991045747,212,101,441,0,0,569,238,29,12,181,3,4,12,864,928,206,274,250,339,354,329,144,142,39,23,305,284,247,233,354,329,80.83,24.51,58.86,42.97,14797,33.1748,58,327,11.9837,0.00081,60.1727,109.1242,64.8622,1.9077,0.06525,0.001919,760,358.5303,384.0,25.4697,73,66.7,22.3,20.4,6.3,0.0367,0.3049,0.4508,46.479,0.0126,14.665,0.4727,55.452,4,4-2-3-1
SC Heerenveen,35,14,9,12,59,56,3,51,51.06,16896,13296,7480,5759,57,1901,1275,5399,4124,7515,6332,3982,2840,7869,6501,6626,5656,2401,1139,2388,1066,593,126,335,69,258,57,1049,534,283,51,310,75,0,0,11693,1587,450,47,45.41360758058727,869,97,28,7,5.144197933375835,77,4,8.697814395651221,11,1,1.4641123600304127,10,2,0.42773523181676865,324,33,29.67974765971303,2230,32729.964675916108,287,165,115,623,285,530,315,228,223,79,272,114,133,25,924,1112,544,599,313,513,231,1660,764,735,161,287,33,20282,1028,381,317,51,53,0,2,524,57,198,26,266,29,60,2,348,49,176,8,9094.674117703105,195,89,369,0,0,611,243,34,22,230,7,3,14,951,950,207,243,233,291,236,294,142,130,32,25,278,246,238,212,257,273,78.69,21.25,59.43,48.92,14622,30.8987,57,421,9.9721,0.00068,57.8113,105.7851,70.8372,2.0834,0.066331,0.001951,833,352.8124,363.0,10.1876,82,84.4,19.5,20.0,-2.4,0.0393,0.3435,0.4476,44.738,0.0144,14.465,0.4801,62.446,4,4-2-3-1
FC Groningen,35,14,6,15,49,47,2,48,50.43,15218,11622,6529,5050,43,1863,1115,4304,3209,7249,5920,3665,2493,6653,5295,6239,5170,2326,1157,2516,1177,639,158,310,78,329,80,1167,546,307,76,333,83,0,0,10174,1632,423,42,43.78550668425858,826,75,18,1,3.0293529257178307,105,11,13.387033055499195,15,1,1.2331605404615402,9,0,0.4940796382725239,276,29,25.64188052430749,1859,27820.646510905655,223,151,86,573,214,538,310,248,205,85,236,93,125,18,824,1161,532,524,266,637,266,1408,573,675,160,273,16,18491,831,367,330,65,56,0,1,534,46,189,14,266,22,79,10,317,35,217,11,9854.997267705452,210,110,372,0,0,711,199,27,13,265,5,3,56,891,972,194,229,240,294,251,287,110,126,25,21,274,260,220,203,267,271,76.37,24.73,57.62,45.82,13756,33.1519,49,451,11.7923,0.00086,57.797,107.028,84.2584,2.4074,0.033606,0.00096,814,315.5304,313.0,-2.5304,93,89.7,20.6,19.9,3.3,0.0463,0.3209,0.4546,45.305,0.0158,15.26,0.4772,55.111,4,4-2-3-1
Sparta Rotterdam,34,12,7,15,40,62,-22,43,47.02,14656,11539,6582,4929,28,1635,1072,4824,3755,7003,5803,2829,1981,5940,4789,6302,5455,2414,1295,2425,1245,418,93,221,48,197,45,1014,449,177,31,241,62,0,0,10027,1349,324,29,28.09079185962677,669,58,4,2,0.8029934093356133,54,6,5.730479642748833,11,1,1.9096150593459607,10,0,0.41059880517423153,245,20,19.237104943022132,1782,27246.667849735895,210,126,71,502,205,602,356,296,220,86,296,146,134,16,1114,1133,631,520,306,613,325,1417,651,639,127,207,23,17884,689,355,352,61,63,1,1,415,41,125,14,213,22,77,5,282,33,133,8,7421.885644388641,134,62,389,0,0,523,295,31,7,247,7,3,18,806,829,149,175,193,222,276,326,143,153,23,18,214,201,164,160,322,280,78.73,22.25,59.14,55.69,12804,28.6005,43,460,12.505,0.00098,46.3415,88.0282,51.0825,1.548,0.048615,0.001473,768,279.8929,260.0,-19.8929,82,92.3,17.8,20.1,-10.3,0.0396,0.3361,0.4487,44.338,0.0186,15.801,0.5165,59.131,4,4-2-3-1
