team,left_pct,right_pct,wing_pct
SBV Excelsior,22.71,25.69,48.4
SC Telstar,24.67,23.58,48.24
FC Twente,23.63,24.58,48.22
PSV Eindhoven,23.61,24.18,47.79
Fortuna Sittard,22.7,24.36,47.05
Heracles Almelo,21.43,24.57,46.0
NAC Breda,24.54,21.15,45.69
FC Utrecht,22.62,22.31,44.93
PEC Zwolle,24.43,20.19,44.62
Feyenoord Rotterdam,23.44,21.14,44.57
Go Ahead Eagles,21.72,22.58,44.3
AFC Ajax,21.7,21.86,43.56
SC Heerenveen,23.03,19.98,43.01
Sparta Rotterdam,20.95,21.84,42.79
Alkmaar Zaanstreek,21.51,21.21,42.73
Nijmegen Eendracht Combinatie,20.54,22.15,42.69
FC Volendam,21.48,19.71,41.19
FC Groningen,20.27,20.89,41.16
