team,n_restarts,n_contestable,long_rate,lrr,lbr,lbd,fcwr,afcwr,fcdv,pfcr,sbrr,ralfc,dpcr,tsbc,per5,per10,per15,dpr,ipr,err,psr10,psr15,psr20,actions_sustained,rtg_15,ctg,ntg,etg_basic,etg_event,trr,fter,ber20,pesr,sed,fer,tlr,oep15,frr,hrr15,pr15,far15,scr20,xgpr20,xgca20,ncv20,dtr,aper,xtpr15,ft_post,ft_pre,fts,tps_post,tps_pre,tds,ftad,nep,nsp,ccr15,rdv,rdv_core
AFC Ajax,1716,1708,1.0,,14.6454,0.0877,0.4854,1.0,10.6221,0.5549,0.3854,0.6906,0.7424,16.2579,0.028,0.1661,0.3182,0.2681,0.3537,0.6218,0.8352,0.8628,0.8746,2.3004,10.4999,7.9495,3.4816,5.2073,0.2718,0.1858,0.1544,0.1981,0.0,,0.0,0.3172,0.2799,0.1561,0.1358,0.3864,0.2372,0.0857,0.0113,0.0021,0.0092,0.3118,0.4848,0.0011,0.4908,0.4524,0.0252,0.4851,0.4905,-0.0035,-0.2284,0.4787,0.6483,0.3164,54.7,55.0
Alkmaar Zaanstreek,1721,1713,1.0,,14.8413,0.0925,0.4974,1.0,6.8529,0.5035,0.4174,0.7085,0.7577,17.0031,0.0169,0.1551,0.3388,0.2493,0.3544,0.6037,0.8582,0.8837,0.9014,2.2796,6.9717,6.076,1.9947,4.1802,-1.0752,0.2108,0.1575,0.1766,0.8333,21.58,0.0,0.3396,0.2852,0.208,0.1586,0.337,0.2394,0.0767,0.0075,0.0016,0.0059,0.2888,0.5253,0.0004,0.4946,0.4686,0.0124,0.5123,0.504,0.0049,0.0087,0.4757,0.6888,0.2882,58.4,68.8
FC Groningen,1870,1858,1.0,,15.1983,0.1018,0.4575,1.0,7.1421,0.5271,0.4149,0.6577,0.7191,17.7021,0.015,0.1572,0.2957,0.2396,0.3545,0.5941,0.8166,0.8413,0.8555,2.2201,7.9132,5.7554,0.8955,4.6751,0.8625,0.1921,0.1743,0.1898,0.25,12.8333,0.0,0.3717,0.3097,0.1999,0.1492,0.3412,0.2449,0.077,0.0095,0.0026,0.0069,0.3497,0.4797,0.0015,0.5113,0.4898,-0.0025,0.5183,0.5284,-0.0119,-0.0947,0.5161,0.7028,0.2914,63.5,59.6
FC Twente,1930,1919,1.0,,16.078,0.1078,0.494,1.0,2.7698,0.5538,0.4261,0.7116,0.7608,17.0411,0.0218,0.1694,0.3373,0.272,0.358,0.6301,0.8384,0.8651,0.8808,2.3288,3.0901,1.944,-1.8894,0.645,-0.7083,0.2016,0.1824,0.1984,0.3333,10.1667,0.0,0.3376,0.2853,0.1927,0.1523,0.3041,0.2565,0.086,0.009,0.002,0.007,0.2347,0.513,0.0007,0.4667,0.4894,-0.0502,0.483,0.5215,-0.0374,-0.2845,0.4311,0.7427,0.3098,54.1,60.4
FC Utrecht,1830,1819,1.0,,14.7819,0.1006,0.4887,1.0,10.8786,0.5703,0.3742,0.6441,0.7075,18.296,0.0191,0.1596,0.3038,0.277,0.3273,0.6044,0.8197,0.8392,0.8524,2.2996,11.5218,10.4879,5.1876,7.7435,0.9687,0.2112,0.165,0.177,0.2222,15.35,0.1111,0.367,0.2981,0.1573,0.1563,0.3951,0.2251,0.0809,0.0094,0.0034,0.006,0.3645,0.4727,0.0009,0.51,0.44,0.0561,0.5086,0.4742,0.036,-0.1093,0.5411,0.648,0.2694,63.0,67.2
FC Volendam,1731,1722,1.0,,15.2082,0.1025,0.4338,1.0,11.7672,0.5047,0.3643,0.6595,0.7172,18.413,0.0133,0.1231,0.2617,0.2178,0.3715,0.5893,0.7652,0.8008,0.8259,1.9088,13.0409,12.5914,7.2578,8.8396,-1.3423,0.187,0.16,0.1646,0.375,35.9667,0.0,0.341,0.2751,0.1655,0.1311,0.3957,0.2085,0.0595,0.0071,0.0014,0.0057,0.3992,0.4702,0.001,0.4772,0.4049,0.0415,0.4749,0.4456,0.0253,-0.2698,0.5154,0.5415,0.3143,25.3,22.2
Feyenoord Rotterdam,1338,1330,1.0,,11.5614,0.0764,0.4489,1.0,5.9223,0.5092,0.3938,0.6658,0.7113,18.4915,0.0187,0.133,0.278,0.2272,0.3647,0.5919,0.8298,0.8541,0.8721,2.1098,6.2782,3.8544,-1.0338,1.1178,-0.8308,0.1618,0.1532,0.2115,0.5,38.3,0.0,0.3151,0.2658,0.2038,0.1158,0.3191,0.2653,0.0815,0.0108,0.0021,0.0087,0.2758,0.4723,0.0022,0.4175,0.4655,-0.0846,0.4491,0.5047,-0.0621,-0.6435,0.3931,0.6696,0.3378,32.1,17.2
Fortuna Sittard,1825,1815,1.0,,15.2771,0.1112,0.373,1.0,8.4198,0.5244,0.3856,0.6415,0.6777,18.9789,0.0159,0.1156,0.2515,0.1945,0.4,0.5945,0.7732,0.8073,0.826,1.9708,8.3323,7.6966,1.901,4.9753,0.7624,0.1758,0.1507,0.1501,0.2857,12.55,0.1429,0.3085,0.257,0.1861,0.1271,0.3348,0.2225,0.0745,0.0103,0.0019,0.0084,0.3523,0.4537,0.0008,0.4402,0.4218,0.0036,0.4546,0.4824,-0.0273,-0.6164,0.4487,0.6414,0.3304,34.2,35.2
Go Ahead Eagles,1957,1940,1.0,,17.7152,0.1113,0.4278,1.0,9.7561,0.506,0.4013,0.6865,0.7201,17.6714,0.0174,0.1497,0.2954,0.2146,0.3894,0.604,0.8031,0.8304,0.8475,2.1485,12.0013,12.5691,7.4155,9.2085,0.3071,0.2162,0.1886,0.2095,0.3333,43.3,0.0,0.3663,0.3104,0.1699,0.1599,0.3899,0.2366,0.072,0.0089,0.0045,0.0044,0.397,0.5028,0.0018,0.5494,0.4449,0.0851,0.5296,0.4874,0.0433,0.2545,0.572,0.5422,0.2908,79.7,75.9
Heracles Almelo,1850,1837,1.0,,16.1375,0.1126,0.4616,1.0,11.4665,0.5295,0.3732,0.6026,0.669,17.8617,0.0189,0.1303,0.2605,0.2427,0.3222,0.5649,0.7917,0.8202,0.834,2.1306,11.0568,12.0152,5.9086,7.4319,0.2948,0.1899,0.1589,0.1784,0.0,,0.125,0.3343,0.284,0.1743,0.1378,0.3719,0.213,0.0627,0.006,0.0041,0.0019,0.3643,0.4584,0.0005,0.4927,0.4129,0.033,0.4955,0.4684,0.0283,-0.1303,0.5136,0.5421,0.2746,35.3,39.6
