team,n_restarts,n_contestable,long_rate,lrr,lbr,lbd,fcwr,afcwr,fcdv,pfcr,sbrr,ralfc,dpcr,tsbc,per5,per10,per15,dpr,ipr,err,psr10,psr15,psr20,actions_sustained,rtg_15,ctg,ntg,etg_basic,etg_event,trr,fter,ber20,pesr,sed,fer,tlr,oep15,frr,hrr15,pr15,far15,scr20,xgpr20,xgca20,ncv20,dtr,aper,xtpr15,ft_post,ft_pre,fts,tps_post,tps_pre,tds,ftad,nep,nsp,ccr15,rdv,rdv_core
AFC Ajax,253,250,0.2964,0.2964,,,0.812,1.0,8.2016,0.6502,0.4915,0.6383,0.8,13.205,0.087,0.3557,0.4545,0.5217,0.1186,0.6403,0.815,0.85,0.885,3.236,19.095,16.9517,13.0736,11.2096,-1.6676,0.2376,0.1462,0.0751,,,,0.2674,0.2086,0.1711,0.17,0.5375,0.1937,0.0316,0.006,0.0008,0.0052,0.2095,0.4427,-0.0002,0.481,0.1127,0.3311,0.4658,0.1201,0.3285,-0.166,0.5318,0.4921,0.3043,52.9,51.0
Alkmaar Zaanstreek,247,247,0.413,0.413,,,0.7085,1.0,9.6093,0.5543,0.5267,0.6111,0.7328,13.8619,0.0769,0.2632,0.4089,0.3927,0.1781,0.5709,0.8453,0.8895,0.895,3.0891,15.7797,13.9828,8.8336,8.4903,-1.413,0.2371,0.17,0.1134,,,,0.2865,0.2432,0.1892,0.1862,0.5628,0.2267,0.0202,0.0024,0.002,0.0004,0.2105,0.4737,-0.0007,0.5039,0.1889,0.3264,0.501,0.197,0.3173,-0.251,0.5541,0.5517,0.3401,55.6,60.5
FC Groningen,237,234,0.4895,0.4895,,,0.7179,1.0,10.7577,0.6012,0.4286,0.7273,0.7821,17.9672,0.0422,0.2532,0.4008,0.4262,0.2025,0.6287,0.776,0.7923,0.8142,2.9145,19.9617,14.4095,10.3372,11.2923,-4.8603,0.1799,0.097,0.1435,,,,0.3491,0.2722,0.1657,0.1435,0.5992,0.2236,0.0506,0.0059,0.0002,0.0057,0.2068,0.4641,-0.0003,0.5288,0.1167,0.418,0.5242,0.1199,0.4061,-0.2785,0.582,0.7069,0.2869,48.6,46.7
FC Twente,238,237,0.3908,0.3908,,,0.7511,1.0,1.8658,0.618,0.4961,0.7288,0.7722,15.388,0.063,0.2647,0.4412,0.4622,0.1807,0.6429,0.8087,0.8415,0.847,3.2574,5.5665,3.8192,-0.1916,3.257,-3.6515,0.2644,0.1933,0.105,,,,0.3388,0.3005,0.153,0.2311,0.4706,0.2689,0.0294,0.0042,0.0014,0.0028,0.2311,0.5504,-0.001,0.5358,0.242,0.2994,0.5225,0.2358,0.3096,0.1387,0.6164,0.6271,0.3613,60.4,69.6
FC Utrecht,295,295,0.6847,0.6847,,,0.6881,1.0,24.2149,0.6404,0.5152,0.6522,0.7153,16.6256,0.0271,0.2169,0.3559,0.4407,0.2034,0.6441,0.7773,0.8199,0.8483,3.0847,28.4337,27.927,21.9634,17.9122,-3.7058,0.2059,0.139,0.0814,,,,0.3237,0.249,0.1701,0.1661,0.6915,0.1797,0.0373,0.0043,0.0022,0.002,0.2678,0.4542,-0.0001,0.5011,0.0728,0.4159,0.5047,0.1001,0.3899,-0.4237,0.5203,0.5714,0.3017,50.2,46.0
FC Volendam,330,328,0.6152,0.6152,,,0.5976,0.9833,19.6534,0.5306,0.5223,0.6288,0.7317,17.2125,0.0576,0.2364,0.3606,0.3152,0.2515,0.5667,0.8,0.8292,0.8417,2.7378,30.9801,27.1387,21.5988,19.8101,-4.0707,0.1381,0.103,0.1061,,,,0.3308,0.2852,0.1673,0.1,0.6939,0.1818,0.0424,0.0028,0.0039,-0.0011,0.3545,0.3636,-0.001,0.4563,0.0457,0.4048,0.4894,0.06,0.4229,-0.3273,0.4945,0.4634,0.3394,13.5,13.3
Feyenoord Rotterdam,226,224,0.3186,0.3186,,,0.8214,1.0,0.1179,0.5707,0.5126,0.65,0.7812,13.3314,0.0619,0.385,0.5177,0.4646,0.115,0.5796,0.8057,0.84,0.8571,3.2723,3.4753,2.1607,-1.8161,1.2924,-0.0491,0.3115,0.177,0.115,,,,0.2716,0.2407,0.1914,0.2522,0.4115,0.2389,0.0398,0.0052,0.0017,0.0035,0.1903,0.5531,-0.0007,0.538,0.3017,0.2062,0.5076,0.2834,0.2146,0.2257,0.6447,0.5918,0.3186,74.4,80.9
Fortuna Sittard,268,265,0.7948,0.7948,,,0.5547,1.0,16.154,0.6122,0.5714,0.678,0.6981,16.7135,0.0149,0.1828,0.3358,0.3358,0.2985,0.6343,0.773,0.8108,0.8432,3.3245,15.4294,17.0703,11.0989,9.5483,-6.5245,0.1864,0.1269,0.1007,,,,0.2773,0.2455,0.15,0.153,0.5597,0.194,0.0448,0.0029,0.0041,-0.0011,0.3172,0.4851,0.0001,0.3813,0.1333,0.2368,0.4443,0.1468,0.3,-1.1754,0.434,0.4655,0.3657,30.8,22.3
Go Ahead Eagles,335,333,0.4507,0.4507,,,0.6757,1.0,15.2267,0.5422,0.4787,0.6667,0.7838,15.567,0.0687,0.2866,0.4,0.3642,0.2149,0.5791,0.7854,0.8276,0.8582,2.9219,29.7161,28.2759,23.7279,20.1502,-7.015,0.1633,0.1284,0.1164,,,,0.2742,0.2218,0.1935,0.1224,0.6687,0.1672,0.0448,0.0044,0.0052,-0.0008,0.2657,0.4746,0.0002,0.4627,0.0561,0.4227,0.4984,0.0902,0.4212,-0.4985,0.4963,0.4588,0.2925,41.8,32.4
Heracles Almelo,267,265,0.5169,0.5169,,,0.7208,1.0,15.5464,0.6021,0.4333,0.6216,0.6943,17.6304,0.0749,0.2734,0.3446,0.4307,0.1723,0.603,0.7446,0.7717,0.7935,2.9698,27.7417,29.1364,22.506,20.9321,0.3668,0.1827,0.1573,0.1273,,,,0.3092,0.2705,0.1981,0.1423,0.6255,0.2172,0.0562,0.0051,0.0027,0.0024,0.2697,0.4607,0.0001,0.4653,0.1188,0.3324,0.4833,0.1339,0.3518,-0.5468,0.5179,0.4643,0.3146,58.8,53.5
