team_name,matches,wins,draws,losses,goals_for,goals_against,goal_diff,points,possession_pct,passes_attempted,passes_completed,forward_passes,backward_passes,lateral_passes,progressive_passes,passes_into_final_third,passes_def_third,passes_completed_def_third,passes_mid_third,passes_completed_mid_third,passes_att_third,passes_completed_att_third,short_passes,short_passes_completed,medium_passes,medium_passes_completed,long_passes_len,long_passes_len_completed,long_balls_attempted,long_balls_completed,crosses_attempted,crosses_completed,crosses_left_side,crosses_left_completed,crosses_right_side,crosses_right_completed,through_balls_attempted,through_balls_completed,passes_left_foot,passes_left_foot_completed,passes_right_foot,passes_right_foot_completed,passes_head,passes_head_completed,passes_received,progressive_passes_received,key_passes,assists,xa,shot_creating_actions,goal_creating_actions,key_passes_cutback,assists_cutback,xa_cutback,key_passes_cross,assists_cross,xa_cross,key_passes_through_ball,assists_through_ball,xa_through_ball,key_passes_set_piece,assists_set_piece,xa_set_piece,key_passes_open_play,assists_open_play,xa_open_play,carries_computed,carry_distance_m,progressive_carries,carries_into_final_third,carries_into_box,take_ons_attempted,take_ons_successful,tackles_attempted,tackles_won,tackles_def_third,tackles_mid_third,tackles_att_third,interceptions,interceptions_def_third,interceptions_mid_third,interceptions_att_third,clearances,aerial_duels,aerial_duels_won,aerial_duels_def_half,aerial_duels_won_def_half,aerial_duels_att_half,aerial_duels_won_att_half,ball_recoveries,ball_recoveries_def_third,ball_recoveries_mid_third,ball_recoveries_att_third,dispossessed,errors,touches,touches_in_box,fouls_committed,fouls_won,offsides,yellow_cards,red_cards_straight,red_cards_second_yellow,shots,goals,shots_left_foot,goals_left_foot,shots_right_foot,goals_right_foot,shots_head,goals_head,shots_inside_box,goals_inside_box,shots_outside_box,goals_outside_box,shot_dist_total_m,corners_taken,corners_completed,free_kicks_taken,free_kick_shots,free_kick_goals,throw_ins_taken,gk_saves,gk_claims,gk_punches,gk_pickups,gk_smothers,gk_penalties_faced,gk_sweeper_actions,progressive_passes_1h,progressive_passes_2h,key_passes_1h,key_passes_2h,shots_1h,shots_2h,tackles_attempted_1h,tackles_attempted_2h,interceptions_1h,interceptions_2h,goals_home,goals_away,shots_home,shots_away,key_passes_home,key_passes_away,tackles_attempted_home,tackles_attempted_away,pass_completion_pct,cross_completion_pct,tackle_win_pct,aerial_duel_win_pct
PSV Eindhoven,34,25,4,5,103,39,64,79,67.67,22928,19487,10798,8609,80,2484,1891,5155,4468,11251,10064,6522,4955,11093,9602,9348,8301,2487,1584,2299,1386,902,228,430,106,472,122,1046,597,338,82,564,146,0,0,17439,2171,599,91,0,1167,177,23,6,0,148,19,0,17,3,0,8,1,0,403,62,0,3808,54598.9345236224,426,265,165,678,306,540,350,208,226,106,243,92,116,35,602,886,506,414,241,472,265,1692,651,846,195,286,12,26049,1427,283,264,38,34,1,0,676,99,200,26,353,61,123,12,486,86,190,13,10753.925297018382,255,138,302,0,0,688,146,20,3,152,4,2,15,1213,1271,281,318,313,363,262,278,131,112,53,46,377,299,335,264,253,287,84.99,25.28,64.81,57.11
AFC Ajax,34,24,6,4,67,32,35,78,57.65,20817,17610,9626,7927,57,1939,1414,5710,4852,10317,9195,4790,3563,10563,9232,8184,7262,2070,1116,2062,1068,598,131,220,44,378,87,998,545,250,55,348,76,0,0,15633,1650,407,53,0,832,110,12,0,0,82,11,0,14,4,0,9,0,0,290,38,0,3417,47322.45364613737,335,199,118,625,257,480,259,202,195,83,281,128,133,20,725,962,546,500,295,462,251,1443,626,664,153,292,25,23861,1056,347,400,36,52,1,0,494,64,189,24,225,30,80,10,343,60,151,4,8047.999685146119,212,116,423,0,0,567,180,42,1,225,6,0,10,971,968,182,225,220,274,242,238,147,134,35,29,272,222,223,184,246,234,84.59,21.91,53.96,56.76
Feyenoord Rotterdam,34,20,8,6,76,38,38,68,57.34,18706,15545,8614,6870,61,1868,1504,5292,4413,9062,7949,4352,3183,8124,6870,8442,7476,2140,1199,2123,1101,636,158,335,86,301,72,897,496,281,71,355,87,0,0,13329,1536,474,51,0,930,111,11,3,0,120,10,0,16,1,0,8,0,0,319,37,0,2642,38222.57315590118,315,195,114,772,303,537,340,203,245,89,276,107,152,17,680,874,443,463,249,411,194,1505,626,730,149,326,31,21967,1033,300,419,49,48,1,1,571,73,191,23,284,40,96,10,368,66,203,7,9716.732908205528,214,93,473,0,0,670,173,20,11,230,3,3,36,888,980,228,246,271,300,271,266,135,141,37,36,299,272,248,226,245,292,83.1,24.84,63.31,50.69
FC Utrecht,34,18,10,6,62,45,17,64,46.66,14987,11453,6633,4767,53,1826,1073,4538,3462,6901,5623,3548,2368,6340,5000,6342,5284,2305,1169,2446,1134,719,180,370,87,349,93,1056,482,402,101,317,79,0,0,10003,1541,409,47,0,786,96,9,1,0,115,17,0,16,0,0,8,1,0,261,28,0,1686,25224.19829257186,222,135,59,593,252,657,402,301,270,86,330,150,153,27,942,1186,620,584,331,602,289,1434,595,694,145,316,13,18317,856,355,373,41,48,1,0,493,59,165,21,246,25,82,13,331,43,162,16,8536.608737424489,160,66,410,0,0,719,206,30,9,201,4,4,16,903,923,196,213,229,264,301,356,153,177,25,34,275,218,217,192,334,323,76.42,25.03,61.19,52.28
Alkmaar Zaanstreek,36,18,9,9,65,40,25,63,52.21,18912,15313,8298,6944,71,1948,1432,4860,3786,9383,8081,4669,3446,8851,7357,7724,6742,2337,1214,2424,1159,568,155,292,78,276,77,1011,525,222,52,346,103,0,0,13553,1689,452,52,0,904,108,12,3,0,95,13,0,21,5,0,12,1,0,312,30,0,2868,41088.539665587654,377,221,136,725,295,682,402,257,309,116,322,138,156,28,833,1007,468,527,270,480,198,1681,659,837,185,293,17,22369,1049,382,397,43,60,3,1,540,68,188,26,281,31,71,11,361,60,179,8,9379.120475051297,221,118,408,0,0,694,171,32,10,179,1,4,12,922,1026,183,269,227,313,339,343,170,152,39,29,329,211,279,173,365,317,80.97,27.29,58.94,46.47
FC Twente,36,16,9,11,67,54,13,57,53.13,16997,13494,7880,5558,56,1766,1191,4881,3888,7989,6752,4127,2854,8001,6637,6854,5830,2142,1027,2143,929,744,188,403,100,341,88,1016,515,351,85,394,104,0,0,12233,1709,433,54,0,860,107,6,1,0,128,20,0,11,0,0,9,1,0,279,32,0,2313,33148.12401373944,283,165,98,519,205,540,344,221,233,86,254,105,122,27,845,1008,469,537,263,471,206,1475,645,666,164,247,14,20034,901,347,339,51,46,2,0,531,70,172,18,276,41,83,11,362,59,169,11,9057.918441886377,215,88,411,0,0,412,180,26,10,212,3,2,21,880,866,197,235,248,282,263,275,133,120,40,30,300,231,236,197,265,275,79.39,25.27,63.7,46.53
Go Ahead Eagles,34,14,9,11,57,55,2,51,51.41,16979,13627,7557,6035,35,1737,1150,5747,4651,7518,6326,3714,2650,7791,6533,6827,5896,2361,1198,2360,1108,565,138,258,66,307,72,987,529,254,66,311,72,0,0,12009,1472,413,49,0,815,99,13,0,0,103,11,0,8,2,0,9,0,0,280,36,0,2363,34468.22228482367,249,155,81,466,199,456,277,224,174,58,191,96,79,16,1024,934,460,554,305,380,155,1382,640,646,96,274,16,20093,864,308,344,25,46,1,1,494,62,126,14,304,42,64,6,325,49,169,13,8621.357452576978,180,67,354,0,0,618,268,27,17,224,1,4,10,827,910,185,228,214,280,217,239,103,88,36,26,269,225,214,199,224,232,80.26,24.42,60.75,49.25
Nijmegen Eendracht Combinatie,35,12,7,16,53,49,4,43,48.84,18656,14600,8105,6433,62,1921,1284,5901,4522,8948,7559,3807,2519,7886,6418,8036,6834,2734,1348,2931,1361,879,213,406,99,473,114,1208,563,447,107,432,106,0,0,12646,1434,399,44,0,784,97,3,1,0,135,16,0,15,0,0,3,0,0,243,27,0,2509,36749.85904083786,268,157,65,585,230,674,408,347,246,81,334,177,136,21,1097,1221,580,597,313,624,267,1454,717,597,140,293,20,22175,757,406,394,46,53,1,2,488,58,166,13,217,31,105,14,318,47,170,11,8659.704072860619,171,63,424,0,0,1090,254,54,12,256,2,2,22,900,1002,176,214,196,281,332,340,184,147,38,20,267,221,221,178,327,347,78.26,24.23,60.53,47.5
SC Heerenveen,35,12,7,16,43,61,-18,43,53.32,18124,14633,8140,6420,73,1774,1206,5740,4655,8476,7163,3908,2815,8848,7444,7120,6097,2156,1092,2198,1030,581,156,254,78,327,78,928,464,281,84,300,72,0,0,12908,1525,380,30,0,730,63,5,1,0,103,8,0,12,2,0,4,0,0,256,19,0,2681,36567.50268856646,301,200,84,710,282,638,394,301,266,71,314,120,159,35,862,1032,475,559,275,473,200,1630,711,768,151,321,23,21510,800,410,344,56,47,2,0,464,44,137,11,250,27,77,6,287,36,177,8,8548.850817773631,166,86,390,0,0,728,220,24,11,211,2,4,23,861,913,179,201,215,249,312,326,152,162,29,15,260,204,212,168,310,328,80.74,26.85,61.76,46.03
PEC Zwolle,34,10,11,13,43,51,-8,41,50.19,15429,12307,6965,5308,34,1585,1057,5005,3891,7284,6127,3140,2289,7263,6059,6064,5236,2102,1012,2098,918,455,102,213,50,242,52,942,443,224,42,231,60,0,0,11122,1374,303,31,0,606,70,8,3,0,64,2,0,9,0,0,9,2,0,213,24,0,2290,31960.179346505316,230,163,76,620,257,592,371,276,232,84,287,139,121,27,991,986,486,556,308,430,178,1423,623,681,119,338,21,18681,662,376,339,48,49,1,2,373,43,153,21,170,22,50,0,230,36,143,7,6793.801734135176,143,66,371,0,0,496,231,45,17,237,6,6,8,794,791,140,163,169,204,280,312,136,151,23,20,215,158,173,130,275,317,79.77,22.42,62.67,49.29
