team,n_restarts,n_contestable,long_rate,lrr,lbr,lbd,fcwr,afcwr,fcdv,pfcr,sbrr,ralfc,dpcr,tsbc,per5,per10,per15,dpr,ipr,err,psr10,psr15,psr20,actions_sustained,rtg_15,ctg,ntg,etg_basic,etg_event,trr,fter,ber20,pesr,sed,fer,tlr,oep15,frr,hrr15,pr15,far15,scr20,xgpr20,xgca20,ncv20,dtr,aper,xtpr15,ft_post,ft_pre,fts,tps_post,tps_pre,tds,ftad,nep,nsp,ccr15,rdv,rdv_core
AFC Ajax,207,206,0.285,0.285,,,0.801,1.0,10.065,0.6121,0.5905,0.6585,0.8058,12.2711,0.1256,0.3961,0.5411,0.4879,0.1304,0.6184,0.8133,0.8554,0.8855,3.3932,22.2807,18.1693,14.3214,11.8019,1.7316,0.2466,0.1353,0.0821,,,,0.3158,0.2566,0.2105,0.1739,0.5749,0.1884,0.0483,0.0,0.0,0.0,0.1401,0.4396,,0.4541,0.0976,0.3834,0.458,0.1155,0.3406,-0.5604,0.5091,0.6316,0.3043,,69.5
Alkmaar Zaanstreek,219,219,0.4658,0.4658,,,0.6758,1.0,11.8219,0.6149,0.5234,0.6901,0.7854,15.3953,0.0411,0.2466,0.4155,0.4155,0.2237,0.6393,0.8314,0.8721,0.9012,3.032,16.4786,15.7587,11.4858,10.6589,-3.81,0.227,0.1872,0.0959,,,,0.3642,0.3064,0.1214,0.1918,0.516,0.2055,0.032,0.0,0.0,0.0,0.274,0.5571,,0.5232,0.1775,0.3259,0.5121,0.1677,0.3373,0.1918,0.601,0.55,0.3059,,62.2
Almere City FC,278,278,0.8022,0.8022,,,0.4532,1.0,17.5522,0.6905,0.5969,0.5526,0.6619,16.837,0.036,0.1906,0.2914,0.3129,0.3022,0.6151,0.7989,0.8424,0.8478,3.295,19.4265,20.4045,13.6273,12.8133,-6.014,0.1489,0.1439,0.0791,,,,0.32,0.2622,0.1956,0.1259,0.5791,0.1619,0.0216,0.0,0.0,0.0,0.3849,0.4496,,0.469,0.0965,0.3454,0.5158,0.1248,0.3954,-0.1763,0.5143,0.3966,0.3453,,17.2
FC Groningen,258,257,0.6628,0.6628,,,0.5681,0.9825,18.0778,0.6644,0.5437,0.6216,0.7315,16.6117,0.062,0.2132,0.3411,0.376,0.2674,0.6434,0.8085,0.8457,0.867,3.0389,21.9923,19.5717,14.2121,14.0097,-3.1187,0.1581,0.1124,0.0775,,,,0.3366,0.2574,0.203,0.1318,0.5814,0.1783,0.0194,0.0,0.0,0.0,0.3488,0.4535,,0.5093,0.1398,0.3594,0.52,0.1373,0.3887,-0.3798,0.545,0.5192,0.3101,,30.5
FC Twente,270,269,0.3185,0.3185,,,0.8364,1.0,8.477,0.6222,0.5504,0.75,0.7621,14.5122,0.0667,0.3296,0.4481,0.5185,0.1222,0.6407,0.7805,0.8049,0.8439,3.3792,16.0082,13.549,9.0305,9.4781,-0.7257,0.2083,0.137,0.0926,,,,0.4,0.31,0.19,0.1667,0.5481,0.1889,0.0296,0.0,0.0,0.0,0.1741,0.4444,,0.5119,0.1659,0.3011,0.5095,0.1583,0.3438,0.3074,0.5721,0.6122,0.2593,,38.3
FC Utrecht,263,262,0.5361,0.5361,,,0.6718,1.0,18.5794,0.5511,0.5879,0.7442,0.8053,15.9858,0.0494,0.27,0.4601,0.3688,0.2433,0.6122,0.8483,0.8768,0.9005,3.1985,26.1694,28.1012,24.0534,21.5611,-2.2828,0.2438,0.1407,0.0837,,,,0.3283,0.2929,0.1465,0.1863,0.6616,0.1407,0.0304,0.0,0.0,0.0,0.2281,0.5361,,0.4665,0.1099,0.3381,0.4888,0.1207,0.3555,-0.327,0.5046,0.5303,0.2852,,66.5
Feyenoord Rotterdam,207,206,0.2174,0.2174,,,0.8786,1.0,3.1791,0.6298,0.6196,0.76,0.8398,12.6821,0.087,0.3816,0.5411,0.5507,0.0918,0.6425,0.8092,0.8382,0.8555,3.199,14.8074,13.4015,10.3578,8.0214,-2.8796,0.2516,0.1981,0.0773,,,,0.3551,0.3261,0.1812,0.1884,0.5121,0.2222,0.0435,0.0,0.0,0.0,0.1304,0.5024,,0.5664,0.1491,0.3954,0.5383,0.151,0.3924,0.3382,0.6235,0.587,0.2705,,76.4
Fortuna Sittard,278,277,0.705,0.705,,,0.5415,1.0,25.9336,0.5867,0.5767,0.6378,0.6823,15.9365,0.054,0.2518,0.3633,0.3165,0.2914,0.6079,0.7619,0.8148,0.836,3.0794,30.0041,30.2883,23.4888,19.131,-5.3321,0.1864,0.1259,0.1115,,,,0.3348,0.2679,0.2277,0.1475,0.6978,0.1655,0.036,0.0,0.0,0.0,0.3201,0.464,,0.4483,0.0817,0.3451,0.5015,0.0908,0.4054,-0.7302,0.5439,0.4211,0.3561,,28.1
Go Ahead Eagles,304,303,0.2401,0.2401,,,0.8284,1.0,5.466,0.5896,0.5677,0.6923,0.8053,14.1352,0.0888,0.3586,0.4967,0.4868,0.1184,0.6053,0.791,0.8156,0.8361,3.5479,21.6967,17.2,13.3795,13.3475,2.6878,0.1574,0.0888,0.0855,,,,0.2715,0.2127,0.2127,0.1118,0.5921,0.2138,0.0197,0.0,0.0,0.0,0.1414,0.375,,0.4301,0.0883,0.3427,0.4519,0.1111,0.3453,-0.7072,0.4582,0.3846,0.3651,,33.4
Heracles Almelo,295,294,0.5559,0.5559,,,0.6803,1.0,16.2432,0.58,0.5,0.6809,0.7347,17.1343,0.078,0.2475,0.3763,0.3932,0.2169,0.6102,0.75,0.787,0.8333,2.8129,22.5937,22.6799,17.2827,15.6813,-2.9823,0.2117,0.1458,0.0983,,,,0.3649,0.2793,0.1847,0.1593,0.5729,0.2034,0.0339,0.0,0.0,0.0,0.2881,0.4373,,0.4677,0.1051,0.3473,0.4704,0.1085,0.3558,-0.4508,0.5323,0.5,0.2847,,33.2
