team,n_restarts,n_contestable,long_rate,lrr,lbr,lbd,fcwr,afcwr,fcdv,pfcr,sbrr,ralfc,dpcr,tsbc,per5,per10,per15,dpr,ipr,err,psr10,psr15,psr20,actions_sustained,rtg_15,ctg,ntg,etg_basic,etg_event,trr,fter,ber20,pesr,sed,fer,tlr,oep15,frr,hrr15,pr15,far15,scr20,xgpr20,xgca20,ncv20,dtr,aper,xtpr15,ft_post,ft_pre,fts,tps_post,tps_pre,tds,ftad,nep,nsp,ccr15,rdv,rdv_core
AFC Ajax,1645,1633,1.0,,15.2244,0.086,0.5224,1.0,10.806,0.5545,0.3647,0.7077,0.7697,17.428,0.0146,0.1751,0.3337,0.2875,0.3356,0.6231,0.8457,0.8735,0.8846,2.3637,10.043,8.5305,4.4171,6.108,0.7575,0.2345,0.1763,0.2128,0.3333,23.7,0.1111,0.382,0.3204,0.1849,0.1745,0.3848,0.2359,0.0723,0.0,0.0,0.0,0.3125,0.5161,,0.5089,0.4647,0.0215,0.5213,0.5241,-0.0066,0.121,0.5147,0.7299,0.2748,,73.8
Alkmaar Zaanstreek,1904,1892,1.0,,15.8812,0.0957,0.4762,1.0,5.4658,0.5327,0.3647,0.6842,0.7304,16.7033,0.0147,0.1696,0.3283,0.2521,0.3561,0.6082,0.8263,0.8553,0.8719,2.2511,6.636,5.3836,0.7727,3.0319,-1.1077,0.2134,0.1555,0.1964,0.1111,21.0,0.0,0.3383,0.2928,0.1845,0.1539,0.3388,0.2547,0.083,0.0,0.0,0.0,0.3009,0.5005,,0.4651,0.5009,-0.0601,0.4823,0.5408,-0.0636,-0.2253,0.4637,0.7355,0.2857,,29.2
Almere City FC,1957,1949,1.0,,16.1442,0.1146,0.4325,1.0,5.1639,0.5528,0.445,0.6501,0.705,16.9418,0.0199,0.141,0.2851,0.2381,0.3674,0.6055,0.7889,0.8195,0.8384,2.391,5.8963,4.6755,-0.5173,2.855,-0.6209,0.1892,0.1645,0.1788,0.3846,32.1,0.0,0.3478,0.2916,0.1779,0.138,0.3321,0.2407,0.0639,0.0,0.0,0.0,0.3194,0.4599,,0.4138,0.4465,-0.0632,0.4497,0.4969,-0.0498,-0.9147,0.4285,0.6263,0.3602,,16.1
FC Groningen,1819,1806,1.0,,15.1306,0.1006,0.4435,0.9957,7.8141,0.5331,0.4061,0.6498,0.6921,17.0584,0.022,0.1605,0.3112,0.2347,0.359,0.5937,0.8024,0.8344,0.8488,2.3433,8.3983,7.3714,1.9973,5.0451,0.5761,0.2096,0.1512,0.1523,0.4286,22.6667,0.0714,0.3895,0.3138,0.2077,0.1589,0.3485,0.2287,0.0654,0.0,0.0,0.0,0.3557,0.4904,,0.5033,0.4803,-0.0005,0.5135,0.5289,-0.0212,-0.0583,0.4949,0.6476,0.2804,,49.9
FC Twente,1910,1898,1.0,,15.4294,0.0982,0.4505,1.0,6.0776,0.5415,0.4028,0.7047,0.7518,17.8725,0.0183,0.1565,0.3178,0.2424,0.3848,0.6272,0.8318,0.8549,0.8704,2.2908,6.0907,5.4287,1.1488,3.4646,0.2297,0.2049,0.1654,0.1979,0.1429,10.8,0.0,0.3703,0.3027,0.2241,0.1518,0.3215,0.2346,0.077,0.0,0.0,0.0,0.2864,0.5168,,0.4893,0.4682,-0.0231,0.4969,0.512,-0.02,-0.1455,0.4794,0.7299,0.2974,,54.6
FC Utrecht,1759,1743,1.0,,14.5745,0.0982,0.4659,0.9947,9.9354,0.4988,0.3976,0.623,0.689,18.1349,0.021,0.1501,0.2894,0.2302,0.3297,0.56,0.8152,0.8368,0.8535,2.2008,9.1036,9.5036,3.8807,7.1779,1.2529,0.1971,0.1529,0.1734,0.2143,27.3333,0.0,0.3636,0.3107,0.1767,0.1455,0.3553,0.1956,0.0654,0.0,0.0,0.0,0.3638,0.4753,,0.5205,0.4437,0.058,0.5165,0.4893,0.0233,0.0807,0.5352,0.6643,0.2365,,54.5
Feyenoord Rotterdam,1625,1612,1.0,,14.9151,0.0916,0.5087,1.0,6.2048,0.5244,0.3993,0.7222,0.7649,17.0462,0.0178,0.1483,0.3114,0.2646,0.352,0.6166,0.8362,0.8573,0.88,2.2438,5.7933,4.9044,0.9981,3.2449,0.0872,0.1922,0.1815,0.1975,0.2,14.3,0.0,0.3716,0.3183,0.1789,0.1446,0.3274,0.2609,0.0868,0.0,0.0,0.0,0.272,0.5231,,0.507,0.4807,-0.0076,0.5279,0.5199,0.0054,0.0068,0.487,0.7181,0.2886,,55.4
Fortuna Sittard,1885,1875,1.0,,15.8018,0.1099,0.4149,1.0,8.1252,0.5064,0.3592,0.618,0.6763,18.2752,0.0127,0.1332,0.2759,0.209,0.3597,0.5687,0.7729,0.7997,0.8147,2.0475,9.9171,8.6806,2.8459,5.6742,0.621,0.195,0.1538,0.1735,0.5,25.2,0.0,0.3241,0.2688,0.1943,0.1379,0.3719,0.2149,0.0573,0.0,0.0,0.0,0.3931,0.443,,0.4648,0.4045,0.0465,0.4746,0.4657,0.0092,-0.4891,0.4946,0.5929,0.3029,,29.7
Go Ahead Eagles,1880,1864,1.0,,17.1941,0.0983,0.4807,1.0,7.9808,0.5011,0.3746,0.6818,0.7436,17.8312,0.0128,0.1559,0.3106,0.2388,0.3511,0.5899,0.8312,0.8528,0.8694,2.154,8.9968,8.4105,3.9408,6.3854,1.0002,0.1996,0.1809,0.2133,0.4545,26.0,0.0,0.3448,0.2982,0.2064,0.1452,0.367,0.2431,0.0798,0.0,0.0,0.0,0.3447,0.483,,0.5201,0.4717,0.0185,0.5205,0.5062,0.0107,0.0681,0.52,0.6291,0.2862,,49.8
Heracles Almelo,1896,1890,1.0,,15.9328,0.1039,0.4693,1.0,8.3973,0.5141,0.3877,0.6281,0.6878,17.6423,0.0153,0.1435,0.2827,0.2405,0.3323,0.5728,0.8115,0.8385,0.8531,2.1317,8.0853,8.2083,2.6575,5.9225,0.423,0.1822,0.1714,0.1725,0.5,30.9,0.0,0.3496,0.2879,0.1637,0.135,0.3586,0.2131,0.0654,0.0,0.0,0.0,0.3629,0.4557,,0.5032,0.4674,0.002,0.5089,0.5251,-0.0246,-0.1535,0.516,0.6004,0.2695,,26.8
