team_name,matches,interceptions,total_transition_threat,chains_reaching_shot,transition_threat_per_match,total_transition_threat_x1000,transition_threat_per_match_x1000
Go Ahead Eagles,34,248,0.4499907492325939,3,0.013235022036252762,449.9907492325939,13.235022036252762
SBV Excelsior,34,302,0.3663320649148973,4,0.01077447249749698,366.3320649148973,10.77447249749698
SC Telstar,34,296,0.336067177600819,6,0.009884328752965264,336.067177600819,9.884328752965263
PSV Eindhoven,34,279,0.3254482242696827,7,0.009572006596167137,325.44822426968267,9.572006596167137
Alkmaar Zaanstreek,34,258,0.30732395711152777,7,0.009038939915044935,307.32395711152776,9.038939915044935
NAC Breda,34,261,0.299221400297,7,0.0088006294205,299.221400297,8.8006294205
Nijmegen Eendracht Combinatie,34,248,0.24049729785224408,1,0.007073449936830708,240.4972978522441,7.073449936830708
SC Heerenveen,35,272,0.23207038564865481,3,0.006630582447104423,232.07038564865482,6.630582447104423
Fortuna Sittard,34,355,0.1938356678071601,10,0.005701049053151767,193.8356678071601,5.701049053151768
AFC Ajax,36,328,0.19101266814943962,2,0.005305907448595545,191.01266814943963,5.305907448595545
PEC Zwolle,34,340,0.16557831720282476,6,0.004869950505965434,165.57831720282476,4.869950505965434
FC Groningen,35,254,0.1683988895391248,5,0.004811396843974994,168.3988895391248,4.811396843974994
Feyenoord Rotterdam,34,303,0.16057522081600253,4,0.004722800612235368,160.57522081600254,4.7228006122353685
Heracles Almelo,34,261,0.13926453027265598,6,0.004096015596254588,139.26453027265597,4.096015596254588
FC Twente,34,261,0.13241216243119497,4,0.0038944753656233815,132.41216243119496,3.8944753656233817
FC Volendam,34,287,0.132165748902687,2,0.003887227908902559,132.165748902687,3.887227908902559
Sparta Rotterdam,34,285,0.11162812066760773,4,0.0032831800196355216,111.62812066760773,3.2831800196355214
FC Utrecht,36,333,0.11188442351667212,4,0.003107900653240892,111.88442351667211,3.1079006532408924
