kind,metric,2023-2024,2024-2025,2025-2026,delta_s3_minus_s1,pct_change,annual_trend_beta1
goal_kick,long_rate,0.5322,0.4737,0.5055,-0.0268,-5.0298,-0.0134
goal_kick,lrr,,,,,,
goal_kick,lbr,,,,,,
goal_kick,lbd,,,,,,
goal_kick,fcwr,0.6819,0.7086,0.6996,0.0177,2.5946,0.0088
goal_kick,afcwr,1.0,0.9975,0.9987,-0.0013,-0.1299,-0.0006
goal_kick,fcdv,16.4305,14.4595,12.559,-3.8715,-23.5628,-1.9357
goal_kick,pfcr,0.6178,0.614,0.5869,-0.0308,-4.9901,-0.0154
goal_kick,sbrr,0.5533,0.5534,0.509,-0.0444,-8.0202,-0.0222
goal_kick,ralfc,0.6403,0.6574,0.6653,0.025,3.9033,0.0125
goal_kick,dpcr,0.7667,0.7691,0.7563,-0.0104,-1.3501,-0.0052
goal_kick,tsbc,15.1728,14.9132,15.9967,0.8239,5.4301,0.4119
goal_kick,per5,0.0294,0.071,0.0549,0.0256,87.0117,0.0128
goal_kick,per10,0.2711,0.3043,0.2673,-0.0038,-1.3898,-0.0019
goal_kick,per15,0.4221,0.4343,0.3939,-0.0282,-6.6867,-0.0141
goal_kick,dpr,0.4198,0.4333,0.4085,-0.0113,-2.6833,-0.0056
goal_kick,ipr,0.2029,0.1908,0.1988,-0.0041,-2.0361,-0.0021
goal_kick,err,0.6227,0.6241,0.6073,-0.0154,-2.4724,-0.0077
goal_kick,psr10,0.8013,0.7964,0.7897,-0.0116,-1.4503,-0.0058
goal_kick,psr15,0.8323,0.8334,0.8288,-0.0035,-0.4245,-0.0018
goal_kick,psr20,0.8554,0.8583,0.8496,-0.0058,-0.6807,-0.0029
goal_kick,actions_sustained,3.1209,3.2764,3.0838,-0.0371,-1.1892,-0.0186
goal_kick,rtg_15,23.6058,22.819,19.8902,-3.7157,-15.7405,-1.8578
goal_kick,ctg,22.2432,21.6413,18.6263,-3.6168,-16.2604,-1.8084
goal_kick,ntg,17.5221,16.9803,13.7986,-3.7236,-21.2506,-1.8618
goal_kick,etg_basic,15.5216,15.312,12.9909,-2.5307,-16.3044,-1.2654
goal_kick,etg_event,-2.8864,-1.8717,-2.9519,-0.0655,2.2709,-0.0328
goal_kick,trr,0.1912,0.2095,0.2065,0.0153,8.0189,0.0077
goal_kick,fter,0.1401,0.1408,0.1441,0.004,2.8587,0.002
goal_kick,ber20,0.0962,0.0872,0.1068,0.0106,11.0541,0.0053
goal_kick,pesr,,,,,,
goal_kick,sed,,,,,,
goal_kick,fer,,,,,,
goal_kick,tlr,0.3247,0.3381,0.3081,-0.0166,-5.1022,-0.0083
goal_kick,oep15,0.266,0.274,0.2547,-0.0113,-4.266,-0.0057
goal_kick,frr,0.1781,0.1899,0.1772,-0.0009,-0.5311,-0.0005
goal_kick,hrr15,0.1491,0.1634,0.1638,0.0148,9.8948,0.0074
goal_kick,pr15,0.6241,0.6096,0.5878,-0.0363,-5.8194,-0.0182
goal_kick,far15,0.1808,0.1785,0.1953,0.0145,8.0223,0.0073
goal_kick,scr20,0.0331,0.0325,0.0377,0.0046,13.7662,0.0023
goal_kick,xgpr20,0.0,0.0,0.0043,0.0043,,0.0022
goal_kick,xgca20,0.0,0.0,0.0026,0.0026,,0.0013
goal_kick,ncv20,0.0,0.0,0.0017,0.0017,,0.0009
goal_kick,dtr,0.2615,0.2465,0.2501,-0.0115,-4.3811,-0.0057
goal_kick,aper,0.4629,0.4629,0.4742,0.0113,2.4395,0.0056
goal_kick,xtpr15,,,-0.0004,,,
goal_kick,ft_post,0.4697,0.4812,0.4854,0.0157,3.3438,0.0079
goal_kick,ft_pre,0.12,0.1092,0.1336,0.0136,11.3261,0.0068
goal_kick,fts,0.338,0.3562,0.3408,0.0028,0.8404,0.0014
goal_kick,tps_post,0.4929,0.4964,0.4998,0.007,1.4109,0.0035
goal_kick,tps_pre,0.1264,0.1203,0.1434,0.017,13.4163,0.0085
goal_kick,tds,0.367,0.3747,0.3591,-0.0079,-2.1453,-0.0039
goal_kick,ftad,-0.3875,-0.2577,-0.3015,0.086,-22.1856,0.043
goal_kick,nep,0.5196,0.5386,0.5394,0.0198,3.8183,0.0099
goal_kick,nsp,0.5199,0.4985,0.5195,-0.0004,-0.0846,-0.0002
goal_kick,ccr15,0.3203,0.3061,0.319,-0.0013,-0.3992,-0.0006
long_ball,long_rate,1.0,1.0,1.0,0.0,0.0,0.0
long_ball,lrr,,,,,,
long_ball,lbr,,,,,,
long_ball,lbd,,,,,,
long_ball,fcwr,0.4742,0.4748,0.4596,-0.0146,-3.0765,-0.0073
long_ball,afcwr,1.0,0.9994,0.9997,-0.0003,-0.0272,-0.0001
long_ball,fcdv,8.6956,8.223,8.3815,-0.3141,-3.6125,-0.1571
long_ball,pfcr,0.5172,0.526,0.5239,0.0066,1.2806,0.0033
long_ball,sbrr,0.3903,0.3937,0.3964,0.0061,1.5547,0.003
long_ball,ralfc,0.6805,0.6655,0.6658,-0.0147,-2.1589,-0.0073
long_ball,dpcr,0.7369,0.7258,0.7201,-0.0168,-2.2848,-0.0084
long_ball,tsbc,17.4603,17.4358,17.8166,0.3563,2.0409,0.1782
long_ball,per5,0.0143,0.0179,0.0178,0.0035,24.5317,0.0018
long_ball,per10,0.1521,0.1575,0.1458,-0.0062,-4.1046,-0.0031
long_ball,per15,0.3115,0.3107,0.2939,-0.0176,-5.6431,-0.0088
long_ball,dpr,0.2437,0.2481,0.2395,-0.0042,-1.739,-0.0021
long_ball,ipr,0.3556,0.3473,0.3579,0.0023,0.6541,0.0012
long_ball,err,0.5993,0.5954,0.5974,-0.0019,-0.3191,-0.001
long_ball,psr10,0.8075,0.8229,0.8154,0.0079,0.9774,0.0039
long_ball,psr15,0.8352,0.8494,0.8428,0.0076,0.9129,0.0038
long_ball,psr20,0.8534,0.8645,0.8593,0.0059,0.6882,0.0029
long_ball,actions_sustained,2.2479,2.2643,2.1888,-0.0591,-2.631,-0.0296
long_ball,rtg_15,8.7236,8.5518,8.7574,0.0339,0.3881,0.0169
long_ball,ctg,8.4236,8.1177,8.2565,-0.1672,-1.9844,-0.0836
long_ball,ntg,3.6968,3.2344,3.3074,-0.3894,-10.5337,-0.1947
long_ball,etg_basic,5.9112,5.7237,5.7533,-0.1579,-2.6714,-0.079
long_ball,etg_event,0.1864,0.4184,-0.1606,-0.3469,-186.1535,-0.1735
long_ball,trr,0.2038,0.2051,0.1937,-0.0102,-4.9921,-0.0051
long_ball,fter,0.1685,0.167,0.1682,-0.0003,-0.1509,-0.0001
long_ball,ber20,0.1858,0.186,0.1836,-0.0022,-1.1949,-0.0011
long_ball,pesr,0.3306,0.3538,0.2734,-0.0571,-17.2852,-0.0286
long_ball,sed,23.24,24.55,21.9714,-1.2686,-5.4586,-0.6343
long_ball,fer,0.0083,0.0462,0.0469,0.0386,467.1875,0.0193
long_ball,tlr,0.3513,0.3518,0.3458,-0.0055,-1.5673,-0.0028
long_ball,oep15,0.2952,0.2953,0.2901,-0.0051,-1.7134,-0.0025
long_ball,frr,0.1878,0.1838,0.1853,-0.0026,-1.3651,-0.0013
long_ball,hrr15,0.1513,0.1514,0.1439,-0.0074,-4.9084,-0.0037
long_ball,pr15,0.359,0.3559,0.3567,-0.0023,-0.6428,-0.0012
long_ball,far15,0.2241,0.2254,0.2319,0.0077,3.4558,0.0039
long_ball,scr20,0.0724,0.0714,0.0743,0.0018,2.5163,0.0009
long_ball,xgpr20,0.0,0.0,0.0087,0.0087,,0.0044
long_ball,xgca20,0.0,0.0,0.0026,0.0026,,0.0013
long_ball,ncv20,0.0,0.0,0.0061,0.0061,,0.0031
long_ball,dtr,0.3349,0.3338,0.3354,0.0006,0.1658,0.0003
long_ball,aper,0.4992,0.4908,0.4874,-0.0119,-2.3758,-0.0059
long_ball,xtpr15,,,0.001,,,
long_ball,ft_post,0.4859,0.4949,0.4911,0.0052,1.0653,0.0026
long_ball,ft_pre,0.4389,0.4535,0.4554,0.0165,3.7515,0.0082
long_ball,fts,0.0187,0.0152,0.0063,-0.0124,-66.459,-0.0062
long_ball,tps_post,0.4968,0.5033,0.4972,0.0004,0.0846,0.0002
long_ball,tps_pre,0.4853,0.5032,0.4988,0.0135,2.7843,0.0068
long_ball,tds,0.0077,-0.003,-0.0046,-0.0124,-160.0495,-0.0062
long_ball,ftad,-0.2013,-0.1266,-0.1639,0.0373,-18.5517,0.0187
long_ball,nep,0.4935,0.4997,0.4967,0.0032,0.642,0.0016
long_ball,nsp,0.6372,0.6541,0.6328,-0.0044,-0.6983,-0.0022
long_ball,ccr15,0.2991,0.2851,0.2986,-0.0006,-0.191,-0.0003
