kind,season,n_restarts,n_contestable,long_rate,lrr,lbr,lbd,fcwr,afcwr,fcdv,pfcr,sbrr,ralfc,dpcr,tsbc,per5,per10,per15,dpr,ipr,err,psr10,psr15,psr20,actions_sustained,rtg_15,ctg,ntg,etg_basic,etg_event,trr,fter,ber20,pesr,sed,fer,tlr,oep15,frr,hrr15,pr15,far15,scr20,xgpr20,xgca20,ncv20,dtr,aper,xtpr15,ft_post,ft_pre,fts,tps_post,tps_pre,tds,ftad,nep,nsp,ccr15
goal_kick,2023-2024,5105,5087,0.5322,,,,0.6819,1.0,16.4305,0.6178,0.5533,0.6403,0.7667,15.1728,0.0294,0.2711,0.4221,0.4198,0.2029,0.6227,0.8013,0.8323,0.8554,3.1209,23.6058,22.2432,17.5221,15.5216,-2.8864,0.1912,0.1401,0.0962,,,,0.3247,0.266,0.1781,0.1491,0.6241,0.1808,0.0331,0.0,0.0,0.0,0.2615,0.4629,,0.4697,0.12,0.338,0.4929,0.1264,0.367,-0.3875,0.5196,0.5199,0.3203
goal_kick,2024-2025,4828,4808,0.4737,,,,0.7086,0.9975,14.4595,0.614,0.5534,0.6574,0.7691,14.9132,0.071,0.3043,0.4343,0.4333,0.1908,0.6241,0.7964,0.8334,0.8583,3.2764,22.819,21.6413,16.9803,15.312,-1.8717,0.2095,0.1408,0.0872,,,,0.3381,0.274,0.1899,0.1634,0.6096,0.1785,0.0325,0.0,0.0,0.0,0.2465,0.4629,,0.4812,0.1092,0.3562,0.4964,0.1203,0.3747,-0.2577,0.5386,0.4985,0.3061
goal_kick,2025-2026,4859,4834,0.5055,,,,0.6996,0.9987,12.559,0.5869,0.509,0.6653,0.7563,15.9967,0.0549,0.2673,0.3939,0.4085,0.1988,0.6073,0.7897,0.8288,0.8496,3.0838,19.8902,18.6263,13.7986,12.9909,-2.9519,0.2065,0.1441,0.1068,,,,0.3081,0.2547,0.1772,0.1638,0.5878,0.1953,0.0377,0.0043,0.0026,0.0017,0.2501,0.4742,-0.0004,0.4854,0.1336,0.3408,0.4998,0.1434,0.3591,-0.3015,0.5394,0.5195,0.319
long_ball,2023-2024,35522,35298,1.0,,,,0.4742,1.0,8.6956,0.5172,0.3903,0.6805,0.7369,17.4603,0.0143,0.1521,0.3115,0.2437,0.3556,0.5993,0.8075,0.8352,0.8534,2.2479,8.7236,8.4236,3.6968,5.9112,0.1864,0.2038,0.1685,0.1858,0.3306,23.24,0.0083,0.3513,0.2952,0.1878,0.1513,0.359,0.2241,0.0724,0.0,0.0,0.0,0.3349,0.4992,,0.4859,0.4389,0.0187,0.4968,0.4853,0.0077,-0.2013,0.4935,0.6372,0.2991
long_ball,2024-2025,32921,32708,1.0,,,,0.4748,0.9994,8.223,0.526,0.3937,0.6655,0.7258,17.4358,0.0179,0.1575,0.3107,0.2481,0.3473,0.5954,0.8229,0.8494,0.8645,2.2643,8.5518,8.1177,3.2344,5.7237,0.4184,0.2051,0.167,0.186,0.3538,24.55,0.0462,0.3518,0.2953,0.1838,0.1514,0.3559,0.2254,0.0714,0.0,0.0,0.0,0.3338,0.4908,,0.4949,0.4535,0.0152,0.5033,0.5032,-0.003,-0.1266,0.4997,0.6541,0.2851
long_ball,2025-2026,32455,32282,1.0,,,,0.4596,0.9997,8.3815,0.5239,0.3964,0.6658,0.7201,17.8166,0.0178,0.1458,0.2939,0.2395,0.3579,0.5974,0.8154,0.8428,0.8593,2.1888,8.7574,8.2565,3.3074,5.7533,-0.1606,0.1937,0.1682,0.1836,0.2734,21.9714,0.0469,0.3458,0.2901,0.1853,0.1439,0.3567,0.2319,0.0743,0.0087,0.0026,0.0061,0.3354,0.4874,0.001,0.4911,0.4554,0.0063,0.4972,0.4988,-0.0046,-0.1639,0.4967,0.6328,0.2986
