team_name,matches,central_actions,central_value_pm_x1000,opp_passes_faced,opp_central_share,wide_forcing_pp,composite
Fortuna Sittard,32,116,1.8429631407073739,17002,0.31913892483237266,2.1337508566516283,2.266294399796492
SC Telstar,33,105,2.109860807470369,16595,0.32600180777342574,1.44746256254632,2.20414040151955
AFC Ajax,35,136,3.170352500793758,15866,0.35119122652212276,-1.0714793123233812,2.0990432118586915
Go Ahead Eagles,33,107,2.1150196116718503,15666,0.3416953912932465,-0.1218957894357553,1.1413936741769795
SBV Excelsior,33,112,1.0337613680087854,16700,0.32017964071856286,2.0296792680326083,0.9642868306138387
PEC Zwolle,31,132,1.704553726271938,17392,0.34303127874885003,-0.2554845349961088,0.42583336477871747
NAC Breda,34,143,1.1723361980080977,15443,0.3327073755099398,0.776905788894916,0.3204712414640273
Sparta Rotterdam,33,101,1.2452028373681532,16710,0.334590065828845,0.588636757004396,0.30288626317353223
Heracles Almelo,33,94,0.7777024406338708,16273,0.3257543169667547,1.4722116432134225,0.19445628846175433
SC Heerenveen,34,137,1.5671278579921868,16239,0.34355563766241765,-0.3079204263528701,0.18100098369039597
FC Volendam,31,102,0.9278455357666474,16687,0.32947803679510995,1.0998396603778993,0.16883687987610185
FC Groningen,35,165,0.80492764502268,15873,0.3277893277893278,1.2687105609561156,0.09704743959620254
Alkmaar Zaanstreek,34,129,1.2772352289418825,14859,0.3430917289185006,-0.2615295519611649,-0.2283556806612897
FC Utrecht,35,124,1.5675408473922954,18243,0.36403003891903746,-2.3553605520148513,-1.2151061897569315
PSV Eindhoven,32,135,0.8067660179462457,13015,0.3530541682673838,-1.2577734868494839,-1.623688508498965
Nijmegen Eendracht Combinatie,34,165,0.7025766208207784,12551,0.3547924468169867,-1.431601341809774,-1.900771291765969
FC Twente,31,113,0.7498102463259808,14606,0.3606736957414761,-2.0197262342587177,-2.230127067646232
Feyenoord Rotterdam,34,159,0.4458372228465955,14517,0.36763794172349656,-2.716150832460762,-3.1676422406768996
