team_name,matches,goal_kicks,shots_within_5,mean_actions_to_shot,shot_rate,goal_kicks_per_match
Heracles Almelo,34,267,5,4.4,0.018726591760299626,7.852941176470588
FC Volendam,34,330,6,2.3333333333333335,0.01818181818181818,9.705882352941176
Fortuna Sittard,34,268,3,1.6666666666666667,0.011194029850746268,7.882352941176471
SC Telstar,34,282,3,3.6666666666666665,0.010638297872340425,8.294117647058824
Go Ahead Eagles,34,335,3,3.6666666666666665,0.008955223880597015,9.852941176470589
PSV Eindhoven,34,241,2,4.5,0.008298755186721992,7.088235294117647
Feyenoord Rotterdam,34,226,1,2.0,0.004424778761061947,6.647058823529412
FC Groningen,35,237,1,3.0,0.004219409282700422,6.771428571428571
FC Twente,34,238,1,4.0,0.004201680672268907,7.0
Alkmaar Zaanstreek,34,247,1,3.0,0.004048582995951417,7.264705882352941
Sparta Rotterdam,34,295,1,4.0,0.003389830508474576,8.676470588235293
PEC Zwolle,34,333,1,2.0,0.003003003003003003,9.794117647058824
AFC Ajax,36,256,0,,0.0,7.111111111111111
FC Utrecht,36,296,0,,0.0,8.222222222222221
NAC Breda,34,250,0,,0.0,7.352941176470588
Nijmegen Eendracht Combinatie,34,194,0,,0.0,5.705882352941177
SC Heerenveen,35,288,0,,0.0,8.228571428571428
SBV Excelsior,34,280,0,,0.0,8.235294117647058
