player_id,player,team,position_group,goalkick_goal_kicks,goalkick_goal_kicks_to_shot_within_5,goalkick_goal_kick_chain_actions,goalkick_goal_kicks_per90,goalkick_goal_kicks_to_shot_within_5_per90,goalkick_goal_kick_chain_actions_per90,goalkick_goal_kicks__home,goalkick_goal_kicks_to_shot_within_5__home,goalkick_goal_kick_chain_actions__home,goalkick_goal_kicks__home_per90,goalkick_goal_kicks_to_shot_within_5__home_per90,goalkick_goal_kick_chain_actions__home_per90,goalkick_goal_kicks__away,goalkick_goal_kicks_to_shot_within_5__away,goalkick_goal_kick_chain_actions__away,goalkick_goal_kicks__away_per90,goalkick_goal_kicks_to_shot_within_5__away_per90,goalkick_goal_kick_chain_actions__away_per90,goalkick_goal_kicks__H1,goalkick_goal_kicks_to_shot_within_5__H1,goalkick_goal_kick_chain_actions__H1,goalkick_goal_kicks__H1_per90,goalkick_goal_kicks_to_shot_within_5__H1_per90,goalkick_goal_kick_chain_actions__H1_per90,goalkick_goal_kicks__H2,goalkick_goal_kicks_to_shot_within_5__H2,goalkick_goal_kick_chain_actions__H2,goalkick_goal_kicks__H2_per90,goalkick_goal_kicks_to_shot_within_5__H2_per90,goalkick_goal_kick_chain_actions__H2_per90,goalkick_goal_kicks__last5,goalkick_goal_kicks_to_shot_within_5__last5,goalkick_goal_kick_chain_actions__last5,goalkick_goal_kicks__last5_per90,goalkick_goal_kicks_to_shot_within_5__last5_per90,goalkick_goal_kick_chain_actions__last5_per90,goalkick_goal_kicks_percentile,goalkick_goal_kicks_zscore,goalkick_goal_kicks_to_shot_within_5_percentile,goalkick_goal_kicks_to_shot_within_5_zscore,goalkick_goal_kick_chain_actions_percentile,goalkick_goal_kick_chain_actions_zscore,goalkick_goal_kicks_per90_percentile,goalkick_goal_kicks_per90_zscore,goalkick_goal_kicks_to_shot_within_5_per90_percentile,goalkick_goal_kicks_to_shot_within_5_per90_zscore,goalkick_goal_kick_chain_actions_per90_percentile,goalkick_goal_kick_chain_actions_per90_zscore,goalkick_goal_kicks__home_percentile,goalkick_goal_kicks__home_zscore,goalkick_goal_kicks_to_shot_within_5__home_percentile,goalkick_goal_kicks_to_shot_within_5__home_zscore,goalkick_goal_kick_chain_actions__home_percentile,goalkick_goal_kick_chain_actions__home_zscore,goalkick_goal_kicks__home_per90_percentile,goalkick_goal_kicks__home_per90_zscore,goalkick_goal_kicks_to_shot_within_5__home_per90_percentile,goalkick_goal_kicks_to_shot_within_5__home_per90_zscore,goalkick_goal_kick_chain_actions__home_per90_percentile,goalkick_goal_kick_chain_actions__home_per90_zscore,goalkick_goal_kicks__away_percentile,goalkick_goal_kicks__away_zscore,goalkick_goal_kicks_to_shot_within_5__away_percentile,goalkick_goal_kicks_to_shot_within_5__away_zscore,goalkick_goal_kick_chain_actions__away_percentile,goalkick_goal_kick_chain_actions__away_zscore,goalkick_goal_kicks__away_per90_percentile,goalkick_goal_kicks__away_per90_zscore,goalkick_goal_kicks_to_shot_within_5__away_per90_percentile,goalkick_goal_kicks_to_shot_within_5__away_per90_zscore,goalkick_goal_kick_chain_actions__away_per90_percentile,goalkick_goal_kick_chain_actions__away_per90_zscore,goalkick_goal_kicks__H1_percentile,goalkick_goal_kicks__H1_zscore,goalkick_goal_kicks_to_shot_within_5__H1_percentile,goalkick_goal_kicks_to_shot_within_5__H1_zscore,goalkick_goal_kick_chain_actions__H1_percentile,goalkick_goal_kick_chain_actions__H1_zscore,goalkick_goal_kicks__H1_per90_percentile,goalkick_goal_kicks__H1_per90_zscore,goalkick_goal_kicks_to_shot_within_5__H1_per90_percentile,goalkick_goal_kicks_to_shot_within_5__H1_per90_zscore,goalkick_goal_kick_chain_actions__H1_per90_percentile,goalkick_goal_kick_chain_actions__H1_per90_zscore,goalkick_goal_kicks__H2_percentile,goalkick_goal_kicks__H2_zscore,goalkick_goal_kicks_to_shot_within_5__H2_percentile,goalkick_goal_kicks_to_shot_within_5__H2_zscore,goalkick_goal_kick_chain_actions__H2_percentile,goalkick_goal_kick_chain_actions__H2_zscore,goalkick_goal_kicks__H2_per90_percentile,goalkick_goal_kicks__H2_per90_zscore,goalkick_goal_kicks_to_shot_within_5__H2_per90_percentile,goalkick_goal_kicks_to_shot_within_5__H2_per90_zscore,goalkick_goal_kick_chain_actions__H2_per90_percentile,goalkick_goal_kick_chain_actions__H2_per90_zscore,goalkick_goal_kicks__last5_percentile,goalkick_goal_kicks__last5_zscore,goalkick_goal_kicks_to_shot_within_5__last5_percentile,goalkick_goal_kicks_to_shot_within_5__last5_zscore,goalkick_goal_kick_chain_actions__last5_percentile,goalkick_goal_kick_chain_actions__last5_zscore,goalkick_goal_kicks__last5_per90_percentile,goalkick_goal_kicks__last5_per90_zscore,goalkick_goal_kicks_to_shot_within_5__last5_per90_percentile,goalkick_goal_kicks_to_shot_within_5__last5_per90_zscore,goalkick_goal_kick_chain_actions__last5_per90_percentile,goalkick_goal_kick_chain_actions__last5_per90_zscore
11ceernyer8po8soj8dmygatx,T. Wellenreuther,Feyenoord Rotterdam,Goalkeeper,142,1,294,3.9813,0.028,8.243,63,1,131,3.6431,0.0578,7.5754,79,0,163,4.2996,0.0,8.8714,52,0,118,2.0918,0.0,4.7469,90,1,176,2.6022,0.0289,5.0888,17,0,35,3.1458,0.0,6.4766,73.9,0.748,83.7,0.576,91.3,1.499,37.0,-0.316,80.4,0.341,78.3,0.455,76.1,0.666,90.2,0.86,89.1,1.404,34.8,-0.151,87.0,0.791,71.7,0.365,73.9,0.803,43.5,-0.419,89.1,1.52,45.7,-0.037,43.5,-0.369,78.3,0.839,71.7,0.54,45.7,-0.345,89.1,1.198,47.8,-0.099,45.7,-0.337,87.0,0.804,73.9,0.884,88.0,0.798,95.7,1.686,37.0,-0.187,84.8,0.499,76.1,0.357,48.9,-0.142,46.7,-0.288,71.7,0.548,28.3,-0.676,46.7,-0.288,47.8,-0.033
16mtjri8tz6vmxtxwr34y2tp1,M. Branderhorst,Fortuna Sittard,Goalkeeper,181,2,207,6.9467,0.0768,7.9446,80,1,76,6.1407,0.0768,5.8337,101,1,131,7.7527,0.0768,10.0554,76,1,91,3.3335,0.0439,3.9915,105,1,116,4.0299,0.0384,4.452,46,2,53,8.4742,0.3684,9.7638,82.6,1.216,93.5,1.596,73.9,0.769,87.0,1.145,91.3,1.738,71.7,0.361,82.6,1.1,90.2,0.86,67.4,0.405,82.6,0.976,93.5,1.167,39.1,-0.081,83.7,1.29,93.5,2.335,82.6,1.04,89.1,1.127,93.5,1.544,91.3,1.166,87.0,1.222,95.7,2.832,71.7,0.711,93.5,1.114,97.8,3.268,65.2,0.372,81.5,1.19,88.0,0.798,71.7,0.785,89.1,0.876,89.1,0.794,60.9,0.123,100.0,2.14,98.9,4.131,93.5,1.621,97.8,1.747,97.8,4.114,84.8,0.927
1asrguqxyo7rmoyamggwd9oq2,A. Kaplan,Nijmegen Eendracht Combinatie,Defender,20,0,31,1.5331,0.0,2.3763,17,0,26,1.7375,0.0,2.6574,3,0,5,0.9199,0.0,1.5331,15,0,22,1.2544,0.0,1.8397,5,0,9,0.9199,0.0,1.6558,8,0,13,1.4718,0.0,2.3917,81.2,0.129,45.7,-0.317,72.5,-0.156,52.2,-0.243,45.7,-0.258,31.9,-0.571,84.1,0.801,47.8,-0.246,81.2,0.281,60.9,0.306,47.8,-0.196,47.8,-0.19,48.6,-0.439,47.8,-0.246,39.1,-0.497,22.5,-0.581,47.8,-0.204,29.0,-0.75,81.2,0.401,45.7,-0.334,73.9,-0.039,56.5,-0.007,45.7,-0.265,31.9,-0.399,68.1,-0.201,50.0,-0.12,63.0,-0.297,26.8,-0.281,50.0,-0.12,36.2,-0.425,61.6,0.235,47.8,-0.246,51.4,-0.22,49.3,-0.292,47.8,-0.245,33.3,-0.549
1c4fzmrwmlwaqmqomge14rqc4,D. Janse,FC Groningen,Defender,72,0,165,2.392,0.0,5.4817,27,0,71,2.093,0.0,5.5039,45,0,94,2.6163,0.0,5.4651,43,0,93,1.7391,0.0,3.7614,29,0,72,1.686,0.0,4.186,9,0,17,1.6744,0.0,3.1628,95.7,2.221,45.7,-0.317,94.2,2.006,82.6,0.59,45.7,-0.258,73.9,0.362,91.3,1.659,47.8,-0.246,92.0,1.879,84.1,0.613,47.8,-0.196,82.6,0.66,95.7,2.569,47.8,-0.246,91.3,2.017,82.6,0.839,47.8,-0.204,71.0,0.459,95.7,2.438,45.7,-0.334,94.2,1.993,81.2,0.514,45.7,-0.265,69.6,0.258,93.5,1.888,50.0,-0.12,92.0,1.959,76.8,0.733,50.0,-0.12,79.7,0.686,65.9,0.422,47.8,-0.246,60.9,0.072,58.0,-0.106,47.8,-0.245,44.9,-0.325
1k60tee702idfrp0ibca1s57u,G. Offerhaus,SC Telstar,Defender,1,0,2,0.9258,0.0,1.8516,1,0,2,0.9258,0.0,1.8516,0,0,0,0.0,0.0,0.0,1,0,2,0.9258,0.0,1.8516,0,0,0,0.0,0.0,0.0,1,0,2,0.9258,0.0,1.8516,10.1,-0.636,45.7,-0.317,14.5,-0.624,20.3,-0.833,45.7,-0.258,21.7,-0.728,29.7,-0.572,47.8,-0.246,29.7,-0.571,36.2,-0.394,47.8,-0.196,39.1,-0.43,8.7,-0.654,47.8,-0.246,8.7,-0.638,8.7,-1.351,47.8,-0.204,8.7,-1.222,25.4,-0.618,45.7,-0.334,30.4,-0.612,31.9,-0.361,45.7,-0.265,37.7,-0.395,10.1,-0.636,50.0,-0.12,10.1,-0.619,10.1,-1.5,50.0,-0.12,10.1,-1.152,10.1,-1.071,47.8,-0.246,14.5,-1.021,20.3,-0.794,47.8,-0.245,23.2,-0.705
1l6pokz0idh52sh8seqkznms4,T. Holla,SBV Excelsior,Goalkeeper,4,0,1,3.8298,0.0,0.9574,0,0,0,0.0,0.0,0.0,4,0,1,3.8298,0.0,0.9574,2,0,1,1.9149,0.0,0.9574,2,0,0,1.9149,0.0,0.0,4,0,1,3.8298,0.0,0.9574,16.3,-0.907,39.1,-0.443,4.3,-0.959,32.6,-0.391,39.1,-0.46,6.5,-1.846,5.4,-0.946,42.4,-0.339,7.6,-0.975,5.4,-1.795,42.4,-0.354,7.6,-1.577,30.4,-0.854,43.5,-0.419,18.5,-0.909,39.1,-0.195,43.5,-0.369,19.6,-1.344,18.5,-0.882,45.7,-0.345,10.9,-0.91,35.9,-0.272,45.7,-0.337,15.2,-1.365,14.1,-0.909,42.4,-0.386,5.4,-0.959,26.1,-0.698,42.4,-0.397,5.4,-1.511,16.3,-1.165,46.7,-0.288,4.3,-1.478,37.0,-0.365,46.7,-0.288,6.5,-1.645
1vn6w1mjdztfks75bxn0hk7x0,S. Hetli,SC Telstar,Forward,1,0,1,0.9254,0.0,0.9254,0,0,0,0.0,0.0,0.0,1,0,1,0.9254,0.0,0.9254,0,0,0,0.0,0.0,0.0,1,0,1,0.9254,0.0,0.9254,1,0,1,0.9254,0.0,0.9254,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
1wse4b1hxu37e7t5ty5ykn7c9,J. Šutalo,AFC Ajax,Defender,7,0,24,1.3023,0.0,4.4651,2,0,8,1.8605,0.0,7.4419,5,0,16,1.1628,0.0,3.7209,4,0,16,1.2403,0.0,4.9612,3,0,8,0.9302,0.0,2.4806,7,0,24,1.3023,0.0,4.4651,50.7,-0.394,45.7,-0.317,65.2,-0.269,43.5,-0.467,45.7,-0.258,62.3,0.057,42.0,-0.486,47.8,-0.246,57.2,-0.358,68.1,0.412,47.8,-0.196,95.7,1.238,61.6,-0.296,47.8,-0.246,69.6,-0.186,47.8,-0.378,47.8,-0.204,49.3,-0.077,49.3,-0.4,45.7,-0.334,64.5,-0.211,55.1,-0.022,45.7,-0.265,89.9,0.669,55.8,-0.375,50.0,-0.12,60.1,-0.333,37.7,-0.268,50.0,-0.12,50.7,-0.062,55.8,0.049,47.8,-0.246,75.4,0.582,43.5,-0.448,47.8,-0.245,63.8,0.052
1x6fhuy49w4rpnyavwotbf504,T. Gooijer,PEC Zwolle,Defender,3,0,12,2.8163,0.0,11.2653,0,0,0,0.0,0.0,0.0,3,0,12,2.8163,0.0,11.2653,0,0,0,0.0,0.0,0.0,3,0,12,2.8163,0.0,11.2653,3,0,12,2.8163,0.0,11.2653,37.0,-0.555,45.7,-0.317,44.9,-0.463,88.4,1.002,45.7,-0.258,97.1,2.099,11.6,-0.658,47.8,-0.246,11.6,-0.642,11.6,-1.192,47.8,-0.196,11.6,-0.982,48.6,-0.439,47.8,-0.246,61.6,-0.299,84.1,1.007,47.8,-0.204,95.7,2.244,8.0,-0.691,45.7,-0.334,8.0,-0.669,8.0,-1.356,45.7,-0.265,8.0,-1.029,55.8,-0.375,50.0,-0.12,68.1,-0.189,98.6,2.23,50.0,-0.12,100.0,3.795,37.0,-0.698,47.8,-0.246,47.8,-0.292,87.0,0.942,47.8,-0.245,97.1,2.024
200chcevwu3znwew6xjyaof6d,F. Oldrup Jensen,NAC Breda,Defender,3,0,9,1.3983,0.0,4.1949,0,0,0,0.0,0.0,0.0,3,0,9,1.3983,0.0,4.1949,2,0,6,0.9322,0.0,2.7966,1,0,3,0.9322,0.0,2.7966,3,0,9,1.3983,0.0,4.1949,37.0,-0.555,45.7,-0.317,37.7,-0.511,47.8,-0.374,45.7,-0.258,60.9,-0.024,11.6,-0.658,47.8,-0.246,11.6,-0.642,11.6,-1.192,47.8,-0.196,11.6,-0.982,48.6,-0.439,47.8,-0.246,52.9,-0.384,53.6,-0.18,47.8,-0.204,56.5,0.069,39.1,-0.545,45.7,-0.334,42.0,-0.497,37.7,-0.354,45.7,-0.265,50.7,-0.072,29.7,-0.549,50.0,-0.12,38.4,-0.512,43.5,-0.265,50.0,-0.12,58.0,0.076,37.0,-0.698,47.8,-0.246,39.1,-0.511,47.8,-0.36,47.8,-0.245,60.9,-0.026
