season,team,player_id,player,position_group,position_detail,matches,minutes,defensive_actions,defensive_actions_per90,tackles,tackles_per90,tackles_won,tackles_won_per90,tackle_success_pct,interceptions,interceptions_per90,clearances,clearances_per90,aerial_duels,aerial_duels_per90,aerial_duels_won,aerial_duels_won_per90,aerial_success_pct,ball_recoveries,ball_recoveries_per90,blocked_passes,blocked_passes_per90,possession_wins,possession_wins_per90,counterpress_recoveries,counterpress_recoveries_per90,def_actions_def_third,def_actions_def_third_per90,def_actions_mid_third,def_actions_mid_third_per90,def_actions_att_third,def_actions_att_third_per90,high_defensive_action_share,def_actions_to_shot,def_actions_to_shot_per90,def_actions_to_shot_rate,def_actions_to_goal,def_actions_to_goal_per90,def_actions_to_goal_rate,fouls,fouls_per90,fouls_def_third,fouls_def_third_per90,errors,errors_per90,errors_per_100_def_actions,fouls_per_100_def_actions,defensive_retention,defensive_chain_value,defensive_chain_value_per90
Eredivisie 2025-2026,NAC Breda,64x38pccgfsuz4ywoveh2ksbu,L. Greiml,Defender,Centre Back,14,1391.0,288.0,18.634076204169663,30.0,1.9410496046010064,20.0,1.2940330697340043,0.6666666666666666,11.0,0.7117181883537024,97.0,6.276060388209921,92.0,5.95255212077642,62.0,4.011502516175414,0.6739130434782609,39.0,2.5233644859813085,12.0,0.7764198418404026,139.0,8.99352983465133,23.0,1.488138030194105,170.0,10.999281092739036,85.0,5.499640546369518,33.0,2.1351545650611072,0.11458333333333333,12.0,0.7764198418404026,0.041666666666666664,3.0,0.1941049604601006,0.010416666666666666,38.0,2.4586628324946083,17.0,1.0999281092739035,0.0,0.0,0.0,13.194444444444445,0.4826388888888889,21.0,1.3587347232207043
Eredivisie 2025-2026,Nijmegen Eendracht Combinatie,1asrguqxyo7rmoyamggwd9oq2,A. Kaplan,Defender,Right Back,25,2446.0,481.0,17.698282910874898,48.0,1.766148814390842,31.0,1.1406377759607522,0.6458333333333334,23.0,0.8462796402289452,129.0,4.746524938675388,127.0,4.672935404742437,73.0,2.6860179885527393,0.5748031496062992,117.0,4.3049877350776775,20.0,0.7358953393295176,218.0,8.021259198691741,64.0,2.354865085854456,272.0,10.00817661488144,178.0,6.549468520032707,31.0,1.1406377759607522,0.06444906444906445,26.0,0.9566639411283728,0.05405405405405406,2.0,0.0735895339329517,0.004158004158004158,79.0,2.9067865903515946,24.0,0.8830744071954211,0.0,0.0,0.0,16.424116424116423,0.4532224532224532,32.0,1.177432542927228
Eredivisie 2025-2026,Sparta Rotterdam,ass524umdrpsq324wksaqef4k,M. Young,Goalkeeper,Goalkeeper,33,3197.0,619.0,17.42571160462934,73.0,2.055051610885205,35.0,0.9852987175477008,0.4794520547945205,49.0,1.379418204566781,215.0,6.052549264935878,101.0,2.843290584923366,58.0,1.6327807319361902,0.5742574257425742,139.0,3.9130434782608696,24.0,0.6756334063184235,276.0,7.76978417266187,91.0,2.5617766656240226,429.0,12.07694713794182,169.0,4.757585236158899,21.0,0.5911792305286205,0.033925686591276254,22.0,0.6193306224585549,0.035541195476575124,3.0,0.0844541757898029,0.004846526655896607,53.0,1.4920237722865186,14.0,0.3941194870190804,0.0,0.0,0.0,8.562197092084006,0.4458804523424879,31.0,0.8726931498279638
Eredivisie 2025-2026,SC Telstar,4bkb8qjb5n33wxfopju8r1mtx,D. Bakker,Defender,Right Back,30,2917.0,564.0,17.401439835447377,43.0,1.326705519369215,27.0,0.8330476516969489,0.627906976744186,27.0,0.8330476516969489,179.0,5.522797394583476,174.0,5.368529310935893,97.0,2.9928008227631127,0.5574712643678161,94.0,2.900239972574563,25.0,0.7713404182379157,245.0,7.559136098731574,55.0,1.6969489201234145,336.0,10.366815221117587,177.0,5.461090161124443,51.0,1.573534453205348,0.09042553191489362,33.0,1.018169352074049,0.05851063829787234,3.0,0.0925608501885498,0.005319148936170213,57.0,1.7586561535824476,21.0,0.6479259513198492,0.0,0.0,0.0,10.106382978723405,0.4343971631205673,42.0,1.2958519026396984
Eredivisie 2025-2026,Nijmegen Eendracht Combinatie,1gl82ymzh9vpitix6v645awa,D. Nejašmić,Midfielder,Central Midfielder,29,2843.0,537.0,16.999648258881464,64.0,2.02602884277172,44.0,1.3928948294055574,0.6875,28.0,0.8863876187126275,80.0,2.53253605346465,121.0,3.830460780865283,66.0,2.0893422441083365,0.5454545454545454,171.0,5.41329581428069,41.0,1.2979247274006331,288.0,9.11712979247274,98.0,3.102356665494196,235.0,7.43932465705241,245.0,7.755891663735491,57.0,1.8044319380935632,0.10614525139664804,34.0,1.0763278227224762,0.0633147113594041,4.0,0.1266268026732325,0.0074487895716946,48.0,1.51952163207879,14.0,0.4431938093563137,0.0,0.0,0.0,8.938547486033519,0.5363128491620112,46.0,1.4562082307421738
Eredivisie 2025-2026,SBV Excelsior,aeqj9ogm0dntus0wl352w9z6y,C. Widell,Defender,Left Back,34,3287.0,613.0,16.7843017949498,33.0,0.9035594767264984,22.0,0.6023729844843322,0.6666666666666666,32.0,0.8761788865226651,252.0,6.899908731365987,163.0,4.463036203224825,106.0,2.902342561606328,0.6503067484662577,99.0,2.710678430179495,18.0,0.492850623668999,279.0,7.639184666869486,66.0,1.8071189534529968,411.0,11.25342257377548,156.0,4.271372071797992,46.0,1.259507149376331,0.07504078303425775,35.0,0.9583206571341648,0.057096247960848286,0.0,0.0,0.0,33.0,0.9035594767264984,7.0,0.1916641314268329,0.0,0.0,0.0,5.383360522022839,0.4551386623164764,35.0,0.9583206571341648
Eredivisie 2025-2026,PEC Zwolle,9ugpnnovqttl8lguv7wdyiezu,S. Graves,Goalkeeper,Goalkeeper,32,3072.0,570.0,16.69921875,27.0,0.791015625,17.0,0.498046875,0.6296296296296297,33.0,0.966796875,244.0,7.1484375,129.0,3.779296875,74.0,2.16796875,0.5736434108527132,116.0,3.3984375,12.0,0.3515625,241.0,7.060546875,71.0,2.080078125,401.0,11.748046875,145.0,4.248046875,24.0,0.703125,0.042105263157894736,14.0,0.41015625,0.02456140350877193,1.0,0.029296875,0.0017543859649122807,53.0,1.552734375,20.0,0.5859375,0.0,0.0,0.0,9.298245614035087,0.4228070175438596,17.0,0.498046875
Eredivisie 2025-2026,Nijmegen Eendracht Combinatie,6dd248q0adq6su677bw2kk2c5,C. Verdonk,Defender,Right Back,4,391.0,72.0,16.572890025575447,14.0,3.2225063938618925,9.0,2.071611253196931,0.6428571428571429,4.0,0.9207161125319692,12.0,2.762148337595908,12.0,2.762148337595908,8.0,1.8414322250639383,0.6666666666666666,22.0,5.063938618925831,4.0,0.9207161125319692,40.0,9.207161125319692,8.0,1.8414322250639383,39.0,8.976982097186701,25.0,5.754475703324808,8.0,1.8414322250639383,0.1111111111111111,3.0,0.690537084398977,0.041666666666666664,0.0,0.0,0.0,3.0,0.690537084398977,2.0,0.4603580562659846,0.0,0.0,0.0,4.166666666666667,0.5555555555555556,3.0,0.690537084398977
Eredivisie 2025-2026,FC Groningen,9wwud2tglhtdocmjgl2u5ib6c,T. Blokzijl,Defender,Left Back,35,3384.0,618.0,16.43617021276596,44.0,1.1702127659574468,25.0,0.6648936170212766,0.5681818181818182,34.0,0.9042553191489362,181.0,4.8138297872340425,171.0,4.547872340425532,77.0,2.047872340425532,0.4502923976608187,167.0,4.441489361702128,10.0,0.2659574468085106,322.0,8.563829787234043,97.0,2.5797872340425534,362.0,9.627659574468083,245.0,6.51595744680851,11.0,0.2925531914893617,0.01779935275080906,17.0,0.4521276595744681,0.02750809061488673,1.0,0.026595744680851,0.0016181229773462784,38.0,1.0106382978723405,9.0,0.2393617021276596,0.0,0.0,0.0,6.148867313915858,0.5210355987055016,20.0,0.5319148936170213
Eredivisie 2025-2026,Heracles Almelo,mlqit2c8my1ewqy6avrfhf8q,A. Van Hoorenbeeck,Defender,Right Back,24,2320.0,421.0,16.33189655172414,24.0,0.9310344827586208,17.0,0.6594827586206896,0.7083333333333334,28.0,1.0862068965517242,159.0,6.168103448275862,94.0,3.646551724137931,56.0,2.1724137931034484,0.5957446808510638,89.0,3.4525862068965516,16.0,0.6206896551724138,173.0,6.711206896551724,58.0,2.25,296.0,11.482758620689657,106.0,4.112068965517241,19.0,0.7370689655172413,0.04513064133016627,18.0,0.6982758620689655,0.04275534441805225,3.0,0.1163793103448275,0.007125890736342043,33.0,1.2801724137931034,16.0,0.6206896551724138,0.0,0.0,0.0,7.838479809976247,0.4109263657957244,27.0,1.0474137931034482
