season,team,player_id,player,position_group,position_detail,matches,minutes,events,events_per90,non_turnover_actions,non_turnover_actions_per90,final_third_actions,final_third_actions_per90,box_actions,box_actions_per90,box_action_share,take_ons,take_ons_per90,take_ons_completed,take_ons_completed_per90,take_ons_unsuccessful,take_ons_unsuccessful_per90,take_on_success_pct,take_on_action_share,turnovers,turnovers_per90,turnovers_per_100_actions,dangerous_turnovers,dangerous_turnovers_per90,dangerous_turnover_share,turnover_risk,ball_security,deep_completions,deep_completions_per90,deep_entry_efficiency,xt_carries,xt_carries_per90,xt_take_ons,xt_take_ons_per90,carries,carries_per90,carry_distance,carry_distance_per90,average_carry_distance,progressive_carries,progressive_carries_per90,progressive_carry_share,carries_into_final_third,carries_into_final_third_per90,carries_into_box,carries_into_box_per90,decision_quality_index
Eredivisie 2025-2026,FC Utrecht,4ej8uchqe3rt1s5h6phjo3310,G. Zechiël,Midfielder,Right Midfielder,36,3522.0,2445.0,62.47870528109029,2139.0,54.65928449744464,594.0,15.178875638841568,121.0,3.0919931856899487,0.2037037037037037,75.0,1.9165247018739353,28.0,0.7155025553662692,47.0,1.201022146507666,0.3733333333333333,0.03067484662576687,306.0,7.819420783645656,12.515337423312884,93.0,2.37649063032368,0.30392156862745096,0.3039215686274509,0.8058375634517767,13.0,0.3321976149914821,0.3937007874015748,103.0,2.6320272572402046,0.0,0.0,549.0,14.028960817717206,9960.413773674827,254.52505384177582,18.142830188843035,181.0,4.625212947189097,0.3296903460837887,89.0,2.27427597955707,34.0,0.868824531516184,56.07833046884368
Eredivisie 2025-2026,FC Utrecht,9q90ls3k1i2739wd6a20fku6t,V. Barkas,Goalkeeper,Goalkeeper,35,3422.0,2082.0,54.75745178258328,1419.0,37.32028053769725,8.0,0.2104032729398013,2.0,0.0526008182349503,0.25,1.0,0.0263004091174751,1.0,0.0263004091174751,0.0,0.0,1.0,0.0004803073967339097,663.0,17.43717124488603,31.844380403458214,662.0,17.410870835768556,0.9984917043740573,0.9984917043740572,0.5041136873597607,0.0,0.0,0.0,164.00000000000003,4.313267095265926,0.0,0.0,470.0,12.361192285213324,5618.440481574879,147.7672832676035,11.954128684201871,68.0,1.7884278199883108,0.14468085106382977,0.0,0.0,0.0,0.0,22.21471048511214
Eredivisie 2025-2026,SC Heerenveen,412l28fqhx21ivpcxzn1kpilm,V. Zagaritis,Defender,Right Back,35,3400.0,2753.0,72.87352941176471,2391.0,63.29117647058823,759.0,20.09117647058823,108.0,2.8588235294117648,0.1422924901185771,58.0,1.535294117647059,28.0,0.7411764705882353,30.0,0.7941176470588235,0.4827586206896552,0.021067925899019253,362.0,9.58235294117647,13.149291681801671,114.0,3.0176470588235293,0.3149171270718232,0.3149171270718232,0.7785932721712538,30.0,0.7941176470588235,0.7777777777777778,108.0,2.8588235294117648,0.0,0.0,603.0,15.961764705882352,9793.53040437037,259.2405107039216,16.24134395417972,191.0,5.055882352941176,0.3167495854063018,82.0,2.1705882352941175,23.0,0.6088235294117647,72.83022002428174
Eredivisie 2025-2026,FC Utrecht,8lt54ei6pcu25u8uerigmx5yi,A. Engwanda,Midfielder,Defensive Midfielder,35,3391.0,2228.0,59.13299911530522,2015.0,53.479799469183135,276.0,7.325272780890593,21.0,0.5573577115895016,0.07608695652173914,39.0,1.0350928929519316,19.0,0.5042760247714538,20.0,0.5308168681804778,0.4871794871794871,0.017504488330341114,213.0,5.653199646122088,9.560143626570916,93.0,2.4682984370392216,0.43661971830985913,0.4366197183098591,0.831086439333862,6.0,0.1592450604541433,0.2934782608695652,88.99999999999999,2.3621350634031257,0.0,0.0,497.0,13.190799174284871,8733.863856639467,231.80411297480157,17.573166713560298,107.0,2.8398702447655557,0.2152917505030181,40.0,1.0616337363609556,5.0,0.13270421704511945,58.38099559614507
Eredivisie 2025-2026,FC Groningen,1nk0hcaa9o4jnyxc9ndz1lams,D. van der Werff,Midfielder,Left Midfielder,35,3384.0,1574.0,41.861702127659576,1261.0,33.53723404255319,650.0,17.28723404255319,118.0,3.1382978723404253,0.18153846153846154,55.0,1.4627659574468086,18.0,0.4787234042553192,37.0,0.9840425531914894,0.3272727272727272,0.0349428208386277,313.0,8.324468085106384,19.8856416772554,50.0,1.3297872340425532,0.1597444089456869,0.1597444089456869,0.678974358974359,28.0,0.7446808510638298,1.2173913043478262,63.0,1.675531914893617,0.0,0.0,333.0,8.856382978723405,6223.428369414353,165.51671195250938,18.688974082325384,92.0,2.4468085106382977,0.27627627627627627,54.0,1.4361702127659575,20.0,0.5319148936170213,63.764102564102565
Eredivisie 2025-2026,FC Groningen,ei9h1loyggj8fnf1q4jfdm710,T. van Bergen,Forward,Centre Forward,35,3384.0,2158.0,57.3936170212766,1821.0,48.430851063829785,1026.0,27.28723404255319,317.0,8.430851063829786,0.30896686159844056,87.0,2.3138297872340425,28.0,0.7446808510638298,59.0,1.5691489361702127,0.3218390804597701,0.04031510658016682,337.0,8.962765957446809,15.61631139944393,43.0,1.1436170212765957,0.12759643916913946,0.1275964391691394,0.6504149377593361,12.0,0.3191489361702128,1.2820512820512822,103.00000000000001,2.7393617021276597,0.0,0.0,400.0,10.638297872340425,7209.565762755525,191.7437702860512,18.02391440688881,130.0,3.457446808510638,0.325,74.0,1.9680851063829787,44.0,1.1702127659574468,62.76452282157676
Eredivisie 2025-2026,FC Groningen,9wwud2tglhtdocmjgl2u5ib6c,T. Blokzijl,Defender,Left Back,35,3384.0,3067.0,81.56914893617021,2828.0,75.2127659574468,127.0,3.377659574468085,15.0,0.3989361702127659,0.11811023622047244,7.0,0.1861702127659574,3.0,0.0797872340425532,4.0,0.10638297872340426,0.4285714285714285,0.0022823606129768505,239.0,6.3563829787234045,7.7926312357352465,121.0,3.2180851063829787,0.5062761506276151,0.5062761506276151,0.8817417120237506,2.0,0.0531914893617021,0.0866666666666666,118.0,3.1382978723404253,0.0,0.0,870.0,23.138297872340424,14148.578785276093,376.29198897010883,16.262734235949534,183.0,4.867021276595745,0.2103448275862069,23.0,0.6117021276595744,3.0,0.07978723404255318,56.2190025827343
Eredivisie 2025-2026,FC Groningen,3aly8eihwfvtwde7dg0k18w7o,J. Schreuders,Midfielder,Right Midfielder,35,3384.0,2173.0,57.79255319148936,1902.0,50.58510638297872,788.0,20.95744680851064,102.0,2.7127659574468086,0.12944162436548223,67.0,1.7819148936170213,26.0,0.6914893617021277,41.0,1.0904255319148937,0.3880597014925373,0.030832949838932353,271.0,7.207446808510638,12.471237919926368,55.0,1.4627659574468086,0.2029520295202952,0.2029520295202952,0.7892690513219285,16.0,0.425531914893617,0.7283950617283951,128.0,3.404255319148936,0.0,0.0,530.0,14.095744680851062,8771.30441544955,233.2793727513178,16.549630972546318,141.0,3.75,0.2660377358490566,82.0,2.1808510638297873,25.0,0.6648936170212766,87.19231803083541
Eredivisie 2025-2026,Nijmegen Eendracht Combinatie,dse071e8zbzm8l37m64g6e1p0,K. Sano,Midfielder,Central Midfielder,34,3331.0,3134.0,84.6772740918643,2704.0,73.05914139897928,877.0,23.695586910837587,105.0,2.836985890123086,0.11972633979475485,116.0,3.1341939357550284,60.0,1.6211347943560492,56.0,1.5130591413989791,0.5172413793103449,0.037013401403956606,430.0,11.61813269288502,13.720485003190811,101.0,2.728910237166016,0.23488372093023255,0.2348837209302325,0.7684437264404954,21.0,0.5673971780246172,0.5117647058823529,159.0,4.29600720504353,0.0,0.0,855.0,23.1011708195737,14657.800801464822,396.0378481332435,17.14362666837991,215.0,5.80906634644251,0.25146198830409355,120.0,3.2422695887120985,36.0,0.9726808766136295,82.13082454306439
Eredivisie 2025-2026,AFC Ajax,cx6fxszjvjam6zb3c3p0dd1jo,M. Godts,Forward,Right Winger,34,3330.0,2547.0,68.83783783783784,2043.0,55.21621621621622,1199.0,32.4054054054054,282.0,7.621621621621622,0.23519599666388658,207.0,5.594594594594595,87.0,2.3513513513513513,120.0,3.2432432432432434,0.4202898550724637,0.0812720848056537,504.0,13.62162162162162,19.78798586572438,83.0,2.243243243243243,0.16468253968253968,0.1646825396825396,0.6962025316455696,46.0,1.2432432432432432,1.7653061224489797,146.0,3.945945945945946,0.0,0.0,635.0,17.16216216216216,11543.417209483085,311.98424890494823,18.17860977871352,194.0,5.243243243243243,0.30551181102362207,94.0,2.5405405405405403,61.0,1.6486486486486487,89.36708860759492
