season,team,matches,minutes,goals,goals_per90,assists,assists_per90,second_assists,second_assists_per90,third_assists,third_assists_per90,shots,shots_per90,passes_attempted,passes_attempted_per90,passes_completed,passes_completed_per90,pass_completion_pct,defensive_actions,defensive_actions_per90,events_per90,xt_added,xt_added_per90,danger_xg,danger_xg_per90
Eredivisie 2025-2026,PSV Eindhoven,34,3264.0,98.0,2.702205882352941,77.0,2.1231617647058822,38,1.0477941176470589,25,0.6893382352941176,597.0,16.46139705882353,20179.0,556.40625,17060.0,470.40441176470586,0.8454333713266267,4555.0,125.59742647058825,910.2297794117648,13.476096208976276,0.3715835351739782,70.12997092664239,1.9337308159919775
Eredivisie 2025-2026,Nijmegen Eendracht Combinatie,34,3331.0,74.0,1.999399579705794,48.0,1.2969078354848391,20,0.5403782647853497,10,0.27018913239267484,579.0,15.643950765535877,16132.0,435.8691083758631,12450.0,336.3854698288802,0.7717579965286387,4888.0,132.06844791353947,814.6742719903933,13.727424352737884,0.3709000875852325,62.09069838725027,1.6776231926906406
Eredivisie 2025-2026,Feyenoord Rotterdam,34,3310.0,70.0,1.903323262839879,48.0,1.3051359516616314,22,0.5981873111782477,14,0.3806646525679758,570.0,15.498489425981871,16338.0,444.2356495468278,13100.0,356.19335347432025,0.8018117272615988,4588.0,124.74924471299094,800.238670694864,12.984068172844369,0.3530411285667653,61.22308418601749,1.6646760050578773
Eredivisie 2025-2026,AFC Ajax,36,3524.0,69.0,1.7622020431328036,47.0,1.2003405221339387,20,0.510783200908059,8,0.2043132803632236,543.0,13.867763904653804,20409.0,521.2287173666289,17118.0,437.1793416572077,0.8387476113479347,4684.0,119.62542565266742,862.9426787741203,8.759467457653678,0.2237094413135161,60.489492208510605,1.5448508225783073
Eredivisie 2025-2026,FC Utrecht,36,3522.0,62.0,1.584327086882453,43.0,1.0988074957410563,17,0.434412265758092,11,0.28109028960817717,555.0,14.18228279386712,15894.0,406.1499148211243,12359.0,315.8177172061329,0.7775890273059016,5015.0,128.15161839863714,763.2879045996593,14.838516531810978,0.3791784462984066,57.009670577719774,1.4568058921052751
Eredivisie 2025-2026,FC Twente,34,3289.0,59.0,1.6144724840377014,36.0,0.985101854667072,20,0.5472788081483734,12,0.328367284889024,607.0,16.609911827303133,17239.0,471.7269686834904,13608.0,372.3685010641533,0.7893729334648182,4838.0,132.3867436910915,836.4882943143813,10.681398671239275,0.2922851567076724,67.36179632291194,1.8432841803168365
Eredivisie 2025-2026,Alkmaar Zaanstreek,34,3276.0,58.0,1.5934065934065933,39.0,1.0714285714285714,15,0.4120879120879121,7,0.19230769230769232,539.0,14.807692307692308,16729.0,459.5879120879121,13535.0,371.8406593406594,0.8090740630043637,4748.0,130.43956043956044,818.5989010989011,11.983702638272854,0.3292225999525509,60.1727473285794,1.6530974540818515
Eredivisie 2025-2026,SC Heerenveen,35,3400.0,57.0,1.508823529411765,40.0,1.0588235294117647,13,0.34411764705882353,6,0.1588235294117647,524.0,13.870588235294118,16896.0,447.2470588235294,13296.0,351.9529411764706,0.7869318181818182,4984.0,131.9294117647059,808.2264705882353,9.9721147841873,0.2639677442873109,57.81127545036372,1.5302984678037457
Eredivisie 2025-2026,Go Ahead Eagles,34,3270.0,56.0,1.5412844036697249,36.0,0.9908256880733946,18,0.4954128440366972,8,0.2201834862385321,397.0,10.926605504587156,15467.0,425.697247706422,12093.0,332.8348623853211,0.7818581496088446,4344.0,119.55963302752292,765.7981651376147,11.529743069128305,0.3173323780494028,44.117186008840775,1.2142344773075442
Eredivisie 2025-2026,Fortuna Sittard,34,3321.0,51.0,1.3821138211382114,35.0,0.948509485094851,15,0.4065040650406504,10,0.2710027100271003,434.0,11.761517615176151,13563.0,367.5609756097561,10103.0,273.7940379403794,0.7448941974489419,5115.0,138.6178861788618,737.7777777777778,14.426298254726342,0.3909565922690065,47.76230332523582,1.294371363827529
