season,team,matches,defensive_actions,defensive_actions_per90,tackles,tackles_per90,tackles_won,tackles_won_per90,tackle_success_pct,interceptions,interceptions_per90,clearances,clearances_per90,aerial_duels,aerial_duels_per90,aerial_duels_won,aerial_duels_won_per90,aerial_success_pct,ball_recoveries,ball_recoveries_per90,possession_wins,possession_wins_per90,counterpress_recoveries,counterpress_recoveries_per90,defensive_actions_att_third,defensive_actions_att_third_per90,high_defensive_action_share,defensive_actions_to_shot,defensive_actions_to_shot_per90,defensive_actions_to_goal,defensive_actions_to_goal_per90,errors,errors_per90,fouls,fouls_per90
Eredivisie 2025-2026,Fortuna Sittard,34,5115.0,138.6178861788618,601.0,16.287262872628727,360.0,9.75609756097561,0.5990016638935108,355.0,9.62059620596206,1083.0,29.34959349593496,1111.0,30.10840108401084,587.0,15.907859078590786,0.5283528352835284,1447.0,39.21409214092141,2531.0,68.59078590785907,746.0,20.21680216802168,594.0,16.097560975609756,0.11612903225806452,278.0,7.533875338753387,37.0,1.002710027100271,264.0,7.154471544715447,813.0,22.03252032520325
Eredivisie 2025-2026,Sparta Rotterdam,34,5045.0,137.88338900698452,579.0,15.824476161554813,343.0,9.374430610385666,0.5924006908462867,285.0,7.789249924081385,1089.0,29.76313392043729,1104.0,30.173094442757364,615.0,16.808381415122987,0.5570652173913043,1407.0,38.45429699362283,2393.0,65.40236866079563,742.0,20.279380504099606,642.0,17.54631035529912,0.12725470763131813,278.0,7.597935013665351,33.0,0.9019131491041604,247.0,6.7506832675372,702.0,19.18615244457941
Eredivisie 2025-2026,FC Utrecht,36,5015.0,128.15161839863714,593.0,15.153321976149916,335.0,8.560477001703578,0.5649241146711635,333.0,8.509369676320272,944.0,24.12265758091993,1134.0,28.9778534923339,640.0,16.35434412265758,0.564373897707231,1506.0,38.48381601362862,2598.0,66.38841567291311,726.0,18.551959114139695,629.0,16.073253833049403,0.12542372881355932,310.0,7.9216354344122655,31.0,0.7921635434412265,263.0,6.7206132879046,787.0,20.110732538330495
Eredivisie 2025-2026,SC Heerenveen,35,4984.0,131.9294117647059,530.0,14.029411764705882,315.0,8.338235294117647,0.5943396226415094,272.0,7.2,924.0,24.458823529411763,1112.0,29.435294117647057,544.0,14.4,0.4892086330935252,1660.0,43.94117647058823,2691.0,71.23235294117647,826.0,21.86470588235294,641.0,16.96764705882353,0.1286115569823435,267.0,7.067647058823529,19.0,0.5029411764705882,230.0,6.088235294117647,710.0,18.794117647058822
Eredivisie 2025-2026,PEC Zwolle,34,4977.0,137.27551333129023,593.0,16.356114005516396,357.0,9.846766779037695,0.6020236087689713,340.0,9.377873122893044,1138.0,31.38829298191848,921.0,25.40300337113086,416.0,11.474103585657373,0.4516829533116178,1431.0,39.469813055470425,2339.0,64.5142506895495,700.0,19.307385841250383,469.0,12.935948513637756,0.09423347398030943,185.0,5.102666258044744,26.0,0.7171314741035857,244.0,6.7300030646644196,793.0,21.872509960159363
Eredivisie 2025-2026,SC Telstar,34,4899.0,133.40695915279878,554.0,15.086232980332827,342.0,9.313161875945536,0.6173285198555957,296.0,8.06051437216339,1044.0,28.42965204236006,1025.0,27.912254160363087,469.0,12.771558245083208,0.4575609756097561,1479.0,40.27534039334342,2381.0,64.83812405446294,777.0,21.158850226928895,616.0,16.774583963691377,0.1257399469279445,268.0,7.29803328290469,23.0,0.6263237518910741,228.0,6.208774583963692,734.0,19.98789712556732
Eredivisie 2025-2026,Nijmegen Eendracht Combinatie,34,4888.0,132.06844791353947,524.0,14.157910537376162,335.0,9.051335935154608,0.6393129770992366,248.0,6.700690483338337,788.0,21.29090363254278,1219.0,32.936055238667066,571.0,15.427799459621736,0.46841673502871206,1592.0,43.01410987691384,2533.0,68.43890723506455,744.0,20.10207145001501,782.0,21.128790153107175,0.1599836333878887,323.0,8.727108976283398,38.0,1.0267187030921645,245.0,6.619633743620534,820.0,22.15550885619934
Eredivisie 2025-2026,SBV Excelsior,34,4878.0,133.56251901429874,479.0,13.115302707636143,283.0,7.748707027684819,0.5908141962421712,302.0,8.26893824155765,952.0,26.066321874049287,1119.0,30.638880438089444,569.0,15.57955582598114,0.5084897229669347,1498.0,41.01612412534226,2515.0,68.8621843626407,753.0,20.617584423486463,621.0,17.003346516580468,0.12730627306273062,256.0,7.0094310921813205,25.0,0.684514755095832,234.0,6.407058107696988,715.0,19.577121995740796
Eredivisie 2025-2026,NAC Breda,34,4869.0,132.26984606097193,550.0,14.941140959855115,322.0,8.747358889224268,0.5854545454545454,261.0,7.090250528222155,938.0,25.481436764262,1188.0,32.27286447328705,587.0,15.946272260790824,0.4941077441077441,1440.0,39.118623603984304,2519.0,68.43042559613643,774.0,21.026260187141563,649.0,17.630546332629038,0.1332922571369891,257.0,6.981587684877755,25.0,0.6791427709025053,214.0,5.813462118925445,808.0,21.949894355568972
Eredivisie 2025-2026,FC Groningen,35,4842.0,128.77659574468086,575.0,15.29255319148936,331.0,8.803191489361701,0.5756521739130435,254.0,6.75531914893617,838.0,22.28723404255319,1174.0,31.22340425531915,535.0,14.22872340425532,0.4557069846678024,1474.0,39.202127659574465,2473.0,65.77127659574468,714.0,18.98936170212766,713.0,18.96276595744681,0.1472532011565469,295.0,7.845744680851064,33.0,0.8776595744680851,265.0,7.047872340425532,735.0,19.54787234042553
