team,goalkick_goal_kicks,goalkick_goal_kicks_to_shot_within_5,goalkick_goal_kick_chain_actions,goalkick_goal_kicks_per90,goalkick_goal_kicks_to_shot_within_5_per90,goalkick_goal_kick_chain_actions_per90,goalkick_goal_kicks__home,goalkick_goal_kicks_to_shot_within_5__home,goalkick_goal_kick_chain_actions__home,goalkick_goal_kicks__home_per90,goalkick_goal_kicks_to_shot_within_5__home_per90,goalkick_goal_kick_chain_actions__home_per90,goalkick_goal_kicks__away,goalkick_goal_kicks_to_shot_within_5__away,goalkick_goal_kick_chain_actions__away,goalkick_goal_kicks__away_per90,goalkick_goal_kicks_to_shot_within_5__away_per90,goalkick_goal_kick_chain_actions__away_per90,goalkick_goal_kicks__H1,goalkick_goal_kicks_to_shot_within_5__H1,goalkick_goal_kick_chain_actions__H1,goalkick_goal_kicks__H1_per90,goalkick_goal_kicks_to_shot_within_5__H1_per90,goalkick_goal_kick_chain_actions__H1_per90,goalkick_goal_kicks__H2,goalkick_goal_kicks_to_shot_within_5__H2,goalkick_goal_kick_chain_actions__H2,goalkick_goal_kicks__H2_per90,goalkick_goal_kicks_to_shot_within_5__H2_per90,goalkick_goal_kick_chain_actions__H2_per90,goalkick_goal_kicks__last5,goalkick_goal_kicks_to_shot_within_5__last5,goalkick_goal_kick_chain_actions__last5,goalkick_goal_kicks__last5_per90,goalkick_goal_kicks_to_shot_within_5__last5_per90,goalkick_goal_kick_chain_actions__last5_per90,goalkick_goal_kicks_percentile,goalkick_goal_kicks_zscore,goalkick_goal_kicks_to_shot_within_5_percentile,goalkick_goal_kicks_to_shot_within_5_zscore,goalkick_goal_kick_chain_actions_percentile,goalkick_goal_kick_chain_actions_zscore,goalkick_goal_kicks_per90_percentile,goalkick_goal_kicks_per90_zscore,goalkick_goal_kicks_to_shot_within_5_per90_percentile,goalkick_goal_kicks_to_shot_within_5_per90_zscore,goalkick_goal_kick_chain_actions_per90_percentile,goalkick_goal_kick_chain_actions_per90_zscore,goalkick_goal_kicks__home_percentile,goalkick_goal_kicks__home_zscore,goalkick_goal_kicks_to_shot_within_5__home_percentile,goalkick_goal_kicks_to_shot_within_5__home_zscore,goalkick_goal_kick_chain_actions__home_percentile,goalkick_goal_kick_chain_actions__home_zscore,goalkick_goal_kicks__home_per90_percentile,goalkick_goal_kicks__home_per90_zscore,goalkick_goal_kicks_to_shot_within_5__home_per90_percentile,goalkick_goal_kicks_to_shot_within_5__home_per90_zscore,goalkick_goal_kick_chain_actions__home_per90_percentile,goalkick_goal_kick_chain_actions__home_per90_zscore,goalkick_goal_kicks__away_percentile,goalkick_goal_kicks__away_zscore,goalkick_goal_kicks_to_shot_within_5__away_percentile,goalkick_goal_kicks_to_shot_within_5__away_zscore,goalkick_goal_kick_chain_actions__away_percentile,goalkick_goal_kick_chain_actions__away_zscore,goalkick_goal_kicks__away_per90_percentile,goalkick_goal_kicks__away_per90_zscore,goalkick_goal_kicks_to_shot_within_5__away_per90_percentile,goalkick_goal_kicks_to_shot_within_5__away_per90_zscore,goalkick_goal_kick_chain_actions__away_per90_percentile,goalkick_goal_kick_chain_actions__away_per90_zscore,goalkick_goal_kicks__H1_percentile,goalkick_goal_kicks__H1_zscore,goalkick_goal_kicks_to_shot_within_5__H1_percentile,goalkick_goal_kicks_to_shot_within_5__H1_zscore,goalkick_goal_kick_chain_actions__H1_percentile,goalkick_goal_kick_chain_actions__H1_zscore,goalkick_goal_kicks__H1_per90_percentile,goalkick_goal_kicks__H1_per90_zscore,goalkick_goal_kicks_to_shot_within_5__H1_per90_percentile,goalkick_goal_kicks_to_shot_within_5__H1_per90_zscore,goalkick_goal_kick_chain_actions__H1_per90_percentile,goalkick_goal_kick_chain_actions__H1_per90_zscore,goalkick_goal_kicks__H2_percentile,goalkick_goal_kicks__H2_zscore,goalkick_goal_kicks_to_shot_within_5__H2_percentile,goalkick_goal_kicks_to_shot_within_5__H2_zscore,goalkick_goal_kick_chain_actions__H2_percentile,goalkick_goal_kick_chain_actions__H2_zscore,goalkick_goal_kicks__H2_per90_percentile,goalkick_goal_kicks__H2_per90_zscore,goalkick_goal_kicks_to_shot_within_5__H2_per90_percentile,goalkick_goal_kicks_to_shot_within_5__H2_per90_zscore,goalkick_goal_kick_chain_actions__H2_per90_percentile,goalkick_goal_kick_chain_actions__H2_per90_zscore,goalkick_goal_kicks__last5_percentile,goalkick_goal_kicks__last5_zscore,goalkick_goal_kicks_to_shot_within_5__last5_percentile,goalkick_goal_kicks_to_shot_within_5__last5_zscore,goalkick_goal_kick_chain_actions__last5_percentile,goalkick_goal_kick_chain_actions__last5_zscore,goalkick_goal_kicks__last5_per90_percentile,goalkick_goal_kicks__last5_per90_zscore,goalkick_goal_kicks_to_shot_within_5__last5_per90_percentile,goalkick_goal_kicks_to_shot_within_5__last5_per90_zscore,goalkick_goal_kick_chain_actions__last5_per90_percentile,goalkick_goal_kick_chain_actions__last5_per90_zscore
AFC Ajax,256,0,494,6.538,0.0,12.6163,124,0,243,6.0004,0.0,11.7588,132,0,251,7.1389,0.0,13.5748,108,0,235,2.7582,0.0,6.0017,148,0,259,3.7798,0.0,6.6146,39,0,73,7.1714,0.0,13.4234,44.4,-0.366,19.4,-0.869,55.6,0.374,27.8,-0.713,19.4,-0.867,55.6,0.093,61.1,-0.046,27.8,-0.624,61.1,0.661,38.9,-0.626,27.8,-0.623,50.0,0.151,22.2,-0.614,30.6,-0.786,61.1,0.064,22.2,-0.618,30.6,-0.788,61.1,0.06,38.9,-0.615,27.8,-0.793,61.1,0.18,16.7,-1.132,27.8,-0.793,44.4,-0.188,61.1,0.0,30.6,-0.722,72.2,0.518,33.3,-0.518,30.6,-0.722,61.1,0.183,58.3,-0.144,38.9,-0.561,55.6,0.314,55.6,-0.187,38.9,-0.562,55.6,0.287
Alkmaar Zaanstreek,247,1,412,6.7857,0.0275,11.3187,112,0,187,6.1538,0.0,10.2747,135,1,225,7.4176,0.0549,12.3626,121,1,222,3.5319,0.0292,6.4801,126,0,190,3.4615,0.0,5.2198,37,0,76,6.9121,0.0,14.1978,33.3,-0.599,52.8,-0.31,33.3,-0.448,38.9,-0.485,61.1,-0.307,44.4,-0.379,38.9,-0.595,27.8,-0.624,38.9,-0.439,44.4,-0.501,27.8,-0.623,38.9,-0.379,36.1,-0.474,72.2,0.5,33.3,-0.389,38.9,-0.377,66.7,0.505,38.9,-0.326,47.2,-0.051,72.2,0.397,50.0,-0.048,61.1,0.207,77.8,0.441,50.0,0.123,11.1,-1.103,30.6,-0.722,22.2,-0.802,11.1,-1.098,30.6,-0.722,22.2,-0.811,47.2,-0.37,38.9,-0.561,66.7,0.43,50.0,-0.344,38.9,-0.562,66.7,0.447
FC Groningen,237,1,421,6.3032,0.0266,11.1968,100,1,208,5.4756,0.0548,11.3892,137,0,213,7.0848,0.0,11.0151,106,0,193,3.0834,0.0,5.6142,131,1,228,3.484,0.0266,6.0638,32,0,43,5.9574,0.0,8.0053,16.7,-0.857,52.8,-0.31,44.4,-0.358,16.7,-0.928,38.9,-0.326,38.9,-0.424,11.1,-1.143,69.4,0.037,44.4,-0.026,11.1,-1.052,77.8,0.036,44.4,0.019,50.0,-0.381,30.6,-0.786,25.0,-0.598,16.7,-0.665,30.6,-0.788,22.2,-0.755,33.3,-0.702,27.8,-0.793,33.3,-0.555,33.3,-0.569,27.8,-0.793,33.3,-0.44,16.7,-0.852,66.7,0.09,44.4,-0.075,16.7,-1.057,61.1,0.064,44.4,-0.21,19.4,-0.933,38.9,-0.561,27.8,-0.841,16.7,-0.921,38.9,-0.562,27.8,-0.837
FC Twente,238,1,405,6.5126,0.0274,11.0824,105,0,159,5.7464,0.0,8.7017,133,1,246,7.2788,0.0547,13.4631,100,1,196,3.0012,0.03,5.8824,138,0,209,3.7762,0.0,5.7191,35,0,52,6.5126,0.0,9.6759,22.2,-0.831,52.8,-0.31,27.8,-0.518,22.2,-0.736,55.6,-0.309,33.3,-0.465,22.2,-0.915,27.8,-0.624,22.2,-0.988,22.2,-0.832,27.8,-0.623,22.2,-0.94,27.8,-0.568,72.2,0.5,55.6,-0.023,33.3,-0.497,61.1,0.5,50.0,0.024,22.2,-0.963,72.2,0.397,38.9,-0.503,27.8,-0.712,88.9,0.475,38.9,-0.265,27.8,-0.501,30.6,-0.722,38.9,-0.439,27.8,-0.525,30.6,-0.722,38.9,-0.455,30.6,-0.595,38.9,-0.561,44.4,-0.494,27.8,-0.585,38.9,-0.562,44.4,-0.49
FC Utrecht,296,0,415,7.5639,0.0,10.6048,133,0,182,6.7973,0.0,9.3015,163,0,233,8.3305,0.0,11.908,124,0,175,3.1687,0.0,4.4719,172,0,240,4.3952,0.0,6.1329,52,0,78,9.5673,0.0,14.3509,83.3,0.667,19.4,-0.869,38.9,-0.418,61.1,0.23,19.4,-0.867,27.8,-0.639,72.2,0.366,27.8,-0.624,33.3,-0.537,66.7,0.022,27.8,-0.623,27.8,-0.726,72.2,0.832,30.6,-0.786,44.4,-0.249,72.2,0.412,30.6,-0.788,33.3,-0.471,55.6,0.08,27.8,-0.793,27.8,-0.87,44.4,-0.422,27.8,-0.793,16.7,-1.183,88.9,1.203,30.6,-0.722,61.1,0.154,83.3,0.603,30.6,-0.722,50.0,-0.16,94.4,1.322,38.9,-0.561,72.2,0.507,94.4,1.26,38.9,-0.562,72.2,0.479
FC Volendam,330,6,511,9.0687,0.1649,14.0427,166,6,244,9.1237,0.3298,13.4107,164,0,267,9.0137,0.0,14.6748,169,2,267,4.6443,0.055,7.3374,161,4,244,4.4244,0.1099,6.7053,35,1,29,6.5405,0.1869,5.4192,88.9,1.546,100.0,2.484,66.7,0.545,88.9,1.614,100.0,2.489,66.7,0.612,100.0,1.875,100.0,3.34,66.7,0.681,100.0,1.913,100.0,3.341,66.7,0.74,80.6,0.879,30.6,-0.786,72.2,0.342,88.9,1.003,30.6,-0.788,72.2,0.409,100.0,2.034,94.4,1.587,77.8,0.74,100.0,2.133,94.4,1.532,83.3,0.681,83.3,0.652,100.0,2.526,66.7,0.231,88.9,0.657,100.0,2.523,66.7,0.247,30.6,-0.595,86.1,1.122,11.1,-1.38,33.3,-0.569,83.3,1.132,11.1,-1.373
Feyenoord Rotterdam,226,1,525,6.145,0.0272,14.2749,107,1,252,5.8187,0.0544,13.7039,119,0,273,6.4713,0.0,14.8459,86,0,217,2.6502,0.0,6.687,140,1,308,3.8066,0.0272,8.3746,39,0,95,7.2109,0.0,17.565,11.1,-1.141,52.8,-0.31,77.8,0.685,11.1,-1.074,44.4,-0.313,83.3,0.696,33.3,-0.823,69.4,0.037,77.8,0.838,27.8,-0.773,61.1,0.031,77.8,0.845,11.1,-1.221,30.6,-0.786,77.8,0.447,11.1,-1.195,30.6,-0.788,77.8,0.464,5.6,-1.571,27.8,-0.793,44.4,-0.135,11.1,-1.319,27.8,-0.793,61.1,0.258,33.3,-0.401,66.7,0.09,94.4,1.455,38.9,-0.469,66.7,0.081,94.4,1.436,58.3,-0.144,38.9,-0.561,86.1,1.162,61.1,-0.164,38.9,-0.562,83.3,1.145
Fortuna Sittard,268,3,327,7.2629,0.0813,8.8618,122,1,128,6.6125,0.0542,6.9377,146,2,199,7.9133,0.1084,10.7859,121,1,162,3.2791,0.0271,4.3902,147,2,165,3.9837,0.0542,4.4715,42,1,51,7.7398,0.1843,9.3984,55.6,-0.056,83.3,0.807,16.7,-1.3,50.0,-0.046,77.8,0.788,16.7,-1.274,55.6,-0.137,69.4,0.037,16.7,-1.597,61.1,-0.128,55.6,0.029,16.7,-1.57,55.6,0.039,94.4,1.786,16.7,-0.841,55.6,0.052,88.9,1.764,16.7,-0.828,47.2,-0.051,72.2,0.397,22.2,-1.098,50.0,-0.23,55.6,0.353,11.1,-1.236,55.6,-0.05,83.3,0.902,11.1,-1.281,44.4,-0.146,77.8,0.878,11.1,-1.344,66.7,0.194,86.1,1.122,38.9,-0.533,66.7,0.156,77.8,1.108,38.9,-0.548
Go Ahead Eagles,335,3,566,9.2202,0.0826,15.578,149,2,254,8.2018,0.1101,13.9817,186,1,312,10.2385,0.055,17.1743,144,0,265,3.9633,0.0,7.2936,191,3,301,5.2569,0.0826,8.2844,61,0,96,11.4165,0.0,17.967,100.0,1.675,83.3,0.807,88.9,1.096,100.0,1.753,88.9,0.814,88.9,1.171,86.1,1.098,88.9,0.697,83.3,0.877,88.9,1.164,88.9,0.701,88.9,0.944,100.0,1.905,72.2,0.5,88.9,1.126,100.0,2.062,72.2,0.507,88.9,1.204,83.3,0.948,27.8,-0.793,72.2,0.705,83.3,0.954,27.8,-0.793,72.2,0.653,100.0,2.156,94.4,1.714,88.9,1.321,100.0,2.174,94.4,1.717,88.9,1.372,100.0,2.336,38.9,-0.561,94.4,1.2,100.0,2.377,38.9,-0.562,94.4,1.229
Heracles Almelo,267,5,433,7.3419,0.1375,11.9065,131,3,220,7.2044,0.165,12.099,136,2,213,7.4794,0.11,11.714,135,3,229,3.8247,0.085,6.4878,132,2,204,3.6297,0.055,5.6095,36,1,40,6.7314,0.187,7.4794,50.0,-0.082,94.4,1.925,50.0,-0.237,55.6,0.026,94.4,1.931,50.0,-0.166,66.7,0.274,94.4,1.358,50.0,0.209,72.2,0.353,94.4,1.36,55.6,0.272,44.4,-0.428,94.4,1.786,25.0,-0.598,50.0,-0.324,100.0,1.802,27.8,-0.532,77.8,0.557,100.0,2.777,55.6,0.075,77.8,0.714,100.0,2.801,55.6,0.128,22.2,-0.802,83.3,0.902,33.3,-0.535,22.2,-0.792,83.3,0.902,33.3,-0.533,38.9,-0.482,86.1,1.122,22.2,-0.956,38.9,-0.453,88.9,1.133,22.2,-0.946
