metric,family,description
aerial_duels,Defending,Season aggregate for aerial duels.
aerial_duels_per90,Defending,Aerial duels per 90 minutes.
aerial_duels_won,Defending,Season aggregate for aerial duels won.
aerial_duels_won_per90,Defending,Aerial Duels Won Per90
aerial_success_pct,Defending,Percentage measure for aerial success.
ball_recoveries,Defending,Season aggregate for ball recoveries.
ball_recoveries_per90,Defending,Ball Recoveries Per90
blocked_passes,Defending,Season aggregate for blocked passes.
blocked_passes_per90,Defending,Blocked Passes Per90
clearances,Defending,Season aggregate for clearances.
clearances_per90,Defending,Clearances per 90 minutes.
counterpress_recoveries,Defending,Counterpress Recoveries
counterpress_recoveries_per90,Defending,Counterpress Recoveries Per90
defensive_actions,Defending,Season aggregate for defensive actions.
defensive_actions_att_third,Defending,Defensive actions performed in the attacking third of the pitch (high press/recovery actions).
defensive_actions_att_third_per90,Defending,"Defensive actions performed in the attacking third, per 90 minutes."
defensive_actions_def_third,Defending,Defensive actions performed in the defending third of the pitch.
defensive_actions_def_third_per90,Defending,"Defensive actions performed in the defending third, per 90 minutes."
defensive_actions_mid_third,Defending,Defensive actions performed in the middle third of the pitch.
defensive_actions_mid_third_per90,Defending,"Defensive actions performed in the middle third, per 90 minutes."
defensive_actions_per90,Defending,Defensive Actions Per90
defensive_actions_to_goal,Defending,Defensive actions that were followed by a goal (for or against) within the same short possession chain.
defensive_actions_to_goal_per90,Defending,"Defensive actions followed by a goal, per 90 minutes."
defensive_actions_to_goal_rate,Defending,Share of a player’s defensive actions that were followed by a goal.
defensive_actions_to_shot,Defending,Defensive actions that were followed by a shot (for or against) within the same short possession chain.
defensive_actions_to_shot_per90,Defending,"Defensive actions followed by a shot, per 90 minutes."
defensive_actions_to_shot_rate,Defending,Share of a player’s defensive actions that were followed by a shot.
defensive_chain_value,Defending,Defensive Chain Value
defensive_chain_value_per90,Defending,Defensive Chain Value Per90
defensive_impact_score,Defending,Defensive Impact Score
defensive_retention,Defending,Season aggregate for defensive retention.
errors,Defending,Season aggregate for errors.
errors_per90,Defending,Errors per 90 minutes.
errors_per_100_defensive_actions,Defending,Errors committed per 100 defensive actions — a volume-adjusted error rate.
