profile,position_details,axis_order,axis_label,metric,direction,unit,minimum_minutes,reference_players,rationale
Attacking Midfielder,Attacking Midfielder,1,Expected assists,expected_assists_per90,higher,xA/90,450,47,Expected assists per 90.
Attacking Midfielder,Attacking Midfielder,2,Key passes,key_passes_per90,higher,passes/90,450,47,Key passes per 90.
Attacking Midfielder,Attacking Midfielder,3,Box entries,passes_into_box_per90,higher,passes/90,450,47,Passes into the penalty area per 90.
Attacking Midfielder,Attacking Midfielder,4,Pass xT,xt_from_all_passes_per90,higher,xT/90,450,47,Expected threat added by passes per 90.
Attacking Midfielder,Attacking Midfielder,5,Take-ons,take_ons_completed_per90,higher,actions/90,450,47,Completed take-ons per 90.
Attacking Midfielder,Attacking Midfielder,6,Shot creation,shot_creation_actions_proxy_per90,higher,actions/90,450,47,Shot-creation actions per 90.
Attacking Midfielder,Attacking Midfielder,7,Second assists,second_assists_per90,higher,assists/90,450,47,Second assists per 90.
Attacking Midfielder,Attacking Midfielder,8,Ball security,turnovers_per_100_actions,lower,turnovers/100,450,47,Turnovers per 100 actions; lower is better.
Central Midfielder,Central Midfielder,1,Progressive passing,progressive_passes_per90,higher,passes/90,450,72,Progressive passes per 90.
Central Midfielder,Central Midfielder,2,Pass xT,xt_from_all_passes_per90,higher,xT/90,450,72,Expected threat added by passes per 90.
Central Midfielder,Central Midfielder,3,Final-third entries,passes_into_final_third_per90,higher,passes/90,450,72,Passes into the final third per 90.
Central Midfielder,Central Midfielder,4,Expected assists,expected_assists_per90,higher,xA/90,450,72,Expected assists per 90.
Central Midfielder,Central Midfielder,5,Progressive carries,progressive_carries_per90,higher,carries/90,450,72,Progressive carries per 90.
Central Midfielder,Central Midfielder,6,Pressure passing,pressured_pass_completion_pct,higher,%,450,41,Completion rate when pressured.
Central Midfielder,Central Midfielder,7,Possession wins,possession_wins_per90,higher,actions/90,450,72,Possession wins per 90.
Central Midfielder,Central Midfielder,8,Ball security,turnovers_per_100_actions,lower,turnovers/100,450,72,Turnovers per 100 actions; lower is better.
Centre-Back,Centre Back,1,Defensive activity,defensive_actions_per90,higher,actions/90,450,17,Defensive actions per 90.
Centre-Back,Centre Back,2,Interceptions,interceptions_per90,higher,actions/90,450,17,Interceptions per 90.
Centre-Back,Centre Back,3,Aerial success,aerial_success_pct,higher,%,450,17,Share of aerial duels won.
Centre-Back,Centre Back,4,Possession wins,possession_wins_per90,higher,actions/90,450,17,Possession wins per 90.
Centre-Back,Centre Back,5,Pass completion,pass_completion_pct,higher,%,450,17,Overall pass completion.
Centre-Back,Centre Back,6,Progressive passing,progressive_passes_per90,higher,passes/90,450,17,Progressive passes per 90.
Centre-Back,Centre Back,7,Pass xT,xt_from_all_passes_per90,higher,xT/90,450,17,Expected threat added by all passes per 90.
Centre-Back,Centre Back,8,Error control,errors_per_100_defensive_actions,lower,errors/100,450,17,Errors per 100 defensive actions; lower is better.
