rank,player_id,player_name,team,minutes,arithmetic_mean_z,weighted_mean_z,harmonic_mean_score,arithmetic_scaled,weighted_scaled,harmonic_scaled,fox_in_the_box_index,pillar_Box Presence,pillar_Shot Volume & Instinct,pillar_Finishing Output,pillar_Clinical Efficiency
1,32ko5zzk7805mp4q4n3iwiihg,K. Shiogai,Nijmegen Eendracht Combinatie,470.0,2.513435184755856,2.6807551388078306,53.05720517498134,100.0,100.0,100.0,100.0,64.51138270031119,100.0,100.0,75.74830477882193
2,8d0ffyx2qnnp0limf5aou92ei,A. Ueda,Feyenoord Rotterdam,2634.1,1.824987541322221,1.7935484154675945,40.96968868596019,81.47330597158941,77.0301913703457,74.52192394084103,77.67514042759205,100.0,80.99185773633634,54.54552874829749,59.562927465845874
3,egcs7b6ixb62ep08t7jznf9ih,V. Jensen,FC Utrecht,565.5,1.6156707237423007,1.724981704310994,42.10715322581455,75.84041773195142,75.25499716565987,76.9194725263861,76.0049624746658,51.35735523086531,80.25860977065588,69.14401705880702,66.31809028473518
4,emglxnqrlqskt8krglv7sziwa,R. Pepi,PSV Eindhoven,1505.0,1.6668349426346498,1.6726398933334785,41.00537755202515,77.21728907091557,73.8998661123732,74.59714895872574,75.23810138067151,75.6443668140282,92.57706854354329,55.527082195384246,57.103404855120374
5,5i0e7e59vav8ynqzt7qrvitt6,J. Hornkamp,Heracles Almelo,1425.3,1.2200742056426561,1.193296878320431,36.929274189683916,65.19458907752707,61.4896611024763,66.00553532286845,64.22992850095727,69.59479896563957,82.68003899707924,38.50911392317513,54.69883243577053
6,21k54i5a6d9bi4f6gplgzxiw9,G. Til,PSV Eindhoven,2350.6,1.106775161494174,1.1163500743803327,35.48025340549476,62.14561833200858,59.49750604473134,62.9512882586013,61.531470878447074,63.659159570509615,66.68108684453927,41.447997058113586,58.98671504819896
7,6jqn5grsuhuo5at81pzahr6xh,R. Mühren,FC Volendam,1023.4,1.1285121485023752,1.150334309647191,34.63050453791557,62.730578584602284,60.37735891325556,61.16018697662739,61.42270815816175,56.31028333400994,74.59875614143502,42.95673704232796,59.37921217824966
8,59ynmlwky3h6m9g2r7a8igi96,T. Parrott,Alkmaar Zaanstreek,2337.4,1.098836370345939,1.0707589940172224,33.34869952726633,61.931978913003164,58.31715160916397,58.45839744161454,59.569175987927224,65.06261388725338,82.2472980928059,35.93694847587427,51.6984736985172
9,dgex06nxjy9fdvc12o8keg99l,K. Ogawa,Nijmegen Eendracht Combinatie,1359.6,1.1150934668546422,1.054955669146268,32.94839567913561,62.36947079155023,57.90800305511399,57.61463669897464,59.297370181879614,78.69317439415168,74.92920004538057,31.29435597209951,53.16927792279801
10,al7bdbzd91zkuh6ilsvw3fsru,V. Sejk,SC Heerenveen,596.1,1.1470852648420469,1.1165332420951808,31.025596468509104,63.230396467430616,59.50224826235267,53.561759122399764,58.764801284061015,85.53541700689102,52.35006215927764,38.03057654996023,58.4792612438736
11,5ghvrbmlh0tqos9iohj8f7zzd,K. Sierhuis,Fortuna Sittard,2068.9,0.9764928466867021,0.9592917992109108,32.15365501213277,58.6396137624922,55.431262598375355,55.93948174223922,56.670119367702256,56.42251240263475,83.07250179895719,35.21042931270689,48.764471555130825
12,4ported2opjp4xbp87bpqb6z8,M. Soumano,NAC Breda,872.4,1.0674114703197533,1.0161813613463786,29.19867833863171,61.08630892892882,56.904135065298036,49.71097975766013,55.90047458396233,70.89670610888507,82.01775527455021,33.063864228562124,47.217514931620656
13,4pqi5vt820333t5zsj2refc2d,B. Linssen,Nijmegen Eendracht Combinatie,2267.6,0.9430304350769925,0.8954956186498739,30.886640097537853,57.73911266083422,53.77957757363515,53.26886678246162,54.92918567231033,64.31127986449793,80.45968332919018,28.908856669780015,49.715798343489915
14,9vf02r3geinhsy732oxyrcacq,I. Saibari,PSV Eindhoven,2254.4,0.9629822490673633,0.9483204091780841,29.945795121555108,58.276032434817004,55.14721298194939,51.285753056847405,54.9029994912046,59.15667743005887,76.02908815127313,35.35410010266369,50.60449152499764
15,50zbw9cb2gon7eb7w08ndfyms,M. Zonneveld,SC Telstar,1249.1,1.0913621614834077,0.9695667400518628,27.45290272059569,61.73084178656908,55.69728112437245,46.03123263847759,54.48645184980637,88.59573197637212,84.54835134603228,20.239619645340476,49.76546745027656
16,b4efh7m2z28zc5gx250vvdzze,L. Nordås,SC Heerenveen,950.1,1.0672924791865324,0.9483803385968184,26.632101682232406,61.08310677937061,55.14876455639467,44.30114761200827,53.51100631592451,87.40706615874325,83.80939208690191,20.60521529535547,48.6191656015379
17,5q8rvam8iv65g4wjb8rarw15,B. Willumsson,FC Groningen,1398.9,0.9131232550963986,0.8426905361748892,29.07682715401291,56.93428577524917,52.41245240740896,49.454141741973764,52.93362664154396,71.5613939315333,77.01853002527812,25.33296721526138,47.954163088983066
18,3jkzywsfc2vjq3h1kqdhhl2hh,P. Gladon,Fortuna Sittard,1215.6,0.8874539153302002,0.8206865899955598,29.24053583928309,56.243502665893494,51.842769582042706,49.799207028018834,52.62849309198501,70.29872284225975,73.12077421570868,22.731973715885314,54.48870544380521
19,3g0xd9rds9relghxanr1f5vc9,S. Sigurðarson,Go Ahead Eagles,673.2,0.9236693811311327,0.8207127085940977,26.88857992644671,57.21809072700423,51.84344579334081,44.84175264196185,51.30109638743563,81.78918458354896,75.31124108317927,20.302850181293074,48.019870697339925
