player_id,player_name,team,minutes,touches_total,touches_box,aerial_box_won,shots,shots_box,shots_on_target,np_goals,xg_sum,big_chances,touches_in_box_p90,box_touch_share_pct,shots_in_box_share_pct,aerial_win_box_p90,shots_p90,shots_on_target_pct,shots_per_box_touch_pct,big_chances_p90,np_goals_p90,goals_per_shot_pct,goals_minus_xg_p90,goals_per_box_touch_pct,xg_per_shot,goals_per_xg_ratio,goals_per_shot_on_target_pct,avg_shot_distance_m
32ko5zzk7805mp4q4n3iwiihg,K. Shiogai,Nijmegen Eendracht Combinatie,470.0,182,35,2,14,12,8,7,3.677,6,6.702,19.23,85.71,0.383,2.681,57.14,40.0,1.149,1.34,50.0,0.636,20.0,0.2627,1.904,87.5,13.08
emglxnqrlqskt8krglv7sziwa,R. Pepi,PSV Eindhoven,1505.0,678,151,8,59,51,30,14,8.932,14,9.03,22.27,86.44,0.478,3.528,50.85,39.07,0.837,0.837,23.73,0.303,9.27,0.1514,1.567,46.67,13.15
8d0ffyx2qnnp0limf5aou92ei,A. Ueda,Feyenoord Rotterdam,2634.1,1260,317,33,101,88,45,24,14.289,20,10.831,25.16,87.13,1.128,3.451,44.55,31.86,0.683,0.82,23.76,0.332,7.57,0.1415,1.68,53.33,12.35
egcs7b6ixb62ep08t7jznf9ih,V. Jensen,FC Utrecht,565.5,303,32,2,14,13,8,5,2.399,4,5.092,10.56,92.86,0.318,2.228,57.14,43.75,0.637,0.796,35.71,0.414,15.62,0.1713,2.085,62.5,12.5
59ynmlwky3h6m9g2r7a8igi96,T. Parrott,Alkmaar Zaanstreek,2337.4,1222,221,8,84,71,37,15,12.793,18,8.509,18.09,84.52,0.308,3.234,44.05,38.01,0.693,0.578,17.86,0.085,6.79,0.1523,1.172,40.54,14.99
5i0e7e59vav8ynqzt7qrvitt6,J. Hornkamp,Heracles Almelo,1425.3,755,115,11,42,36,22,9,7.374,12,7.261,15.23,85.71,0.695,2.652,52.38,36.52,0.758,0.568,21.43,0.103,7.83,0.1756,1.22,40.91,12.44
9vf02r3geinhsy732oxyrcacq,I. Saibari,PSV Eindhoven,2254.4,1830,249,6,90,66,35,14,10.833,13,9.941,13.61,73.33,0.24,3.593,38.89,36.14,0.519,0.559,15.56,0.126,5.62,0.1204,1.292,40.0,15.38
21k54i5a6d9bi4f6gplgzxiw9,G. Til,PSV Eindhoven,2350.6,1254,192,11,61,55,26,14,8.899,14,7.351,15.31,90.16,0.421,2.336,42.62,31.77,0.536,0.536,22.95,0.195,7.29,0.1459,1.573,53.85,12.63
6jqn5grsuhuo5at81pzahr6xh,R. Mühren,FC Volendam,1023.4,368,67,2,22,19,12,6,4.109,8,5.892,18.21,86.36,0.176,1.935,54.55,32.84,0.704,0.528,27.27,0.166,8.96,0.1868,1.46,50.0,12.4
5ghvrbmlh0tqos9iohj8f7zzd,K. Sierhuis,Fortuna Sittard,2068.9,1195,164,10,78,51,31,12,9.652,14,7.134,13.72,65.38,0.435,3.393,39.74,47.56,0.609,0.522,15.38,0.102,7.32,0.1237,1.243,38.71,17.84
4ported2opjp4xbp87bpqb6z8,M. Soumano,NAC Breda,872.4,541,87,7,42,28,15,5,3.876,4,8.976,16.08,66.67,0.722,4.333,35.71,48.28,0.413,0.516,11.9,0.116,5.75,0.0923,1.29,33.33,15.81
a2psnkhu3h7m0ng8e7qdietey,S. Tengstedt,Go Ahead Eagles,717.2,414,47,0,19,14,7,4,1.63,2,5.898,11.35,73.68,0.0,2.384,36.84,40.43,0.251,0.502,21.05,0.297,8.51,0.0858,2.454,57.14,16.6
cx6fxszjvjam6zb3c3p0dd1jo,M. Godts,AFC Ajax,3062.1,2455,282,0,86,54,42,17,8.609,10,8.288,11.49,62.79,0.0,2.528,48.84,30.5,0.294,0.5,19.77,0.247,6.03,0.1001,1.975,40.48,18.48
b4efh7m2z28zc5gx250vvdzze,L. Nordås,SC Heerenveen,950.1,644,121,9,41,36,14,5,6.235,8,11.462,18.79,87.8,0.853,3.884,34.15,33.88,0.758,0.474,12.2,-0.117,4.13,0.1521,0.802,35.71,13.35
33yauarx84sam5u05vgyqxfxl,J. Karlsson,FC Utrecht,766.1,490,56,0,22,12,9,4,1.092,1,6.579,11.43,54.55,0.0,2.584,40.91,39.29,0.117,0.47,18.18,0.342,7.14,0.0496,3.665,44.44,20.23
dgex06nxjy9fdvc12o8keg99l,K. Ogawa,Nijmegen Eendracht Combinatie,1359.6,670,121,13,42,36,17,7,5.892,10,8.01,18.06,85.71,0.861,2.78,40.48,34.71,0.662,0.463,16.67,0.073,5.79,0.1403,1.188,41.18,11.63
