team_name,matches,wins,draws,losses,goals_for,goals_against,goal_diff,points,possession_pct,passes_attempted,passes_completed,forward_passes,backward_passes,lateral_passes,progressive_passes,passes_into_final_third,passes_def_third,passes_completed_def_third,passes_mid_third,passes_completed_mid_third,passes_att_third,passes_completed_att_third,short_passes,short_passes_completed,medium_passes,medium_passes_completed,long_passes_len,long_passes_len_completed,long_balls_attempted,long_balls_completed,crosses_attempted,crosses_completed,crosses_left_side,crosses_left_completed,crosses_right_side,crosses_right_completed,through_balls_attempted,through_balls_completed,passes_left_foot,passes_left_foot_completed,passes_right_foot,passes_right_foot_completed,passes_head,passes_head_completed,passes_received,progressive_passes_received,key_passes,assists,xa,shot_creating_actions,goal_creating_actions,key_passes_cutback,assists_cutback,xa_cutback,key_passes_cross,assists_cross,xa_cross,key_passes_through_ball,assists_through_ball,xa_through_ball,key_passes_set_piece,assists_set_piece,xa_set_piece,key_passes_open_play,assists_open_play,xa_open_play,carries_computed,carry_distance_m,progressive_carries,carries_into_final_third,carries_into_box,take_ons_attempted,take_ons_successful,tackles_attempted,tackles_won,tackles_def_third,tackles_mid_third,tackles_att_third,interceptions,interceptions_def_third,interceptions_mid_third,interceptions_att_third,clearances,aerial_duels,aerial_duels_won,aerial_duels_def_half,aerial_duels_won_def_half,aerial_duels_att_half,aerial_duels_won_att_half,ball_recoveries,ball_recoveries_def_third,ball_recoveries_mid_third,ball_recoveries_att_third,dispossessed,errors,touches,touches_in_box,fouls_committed,fouls_won,offsides,yellow_cards,red_cards_straight,red_cards_second_yellow,shots,goals,shots_left_foot,goals_left_foot,shots_right_foot,goals_right_foot,shots_head,goals_head,shots_inside_box,goals_inside_box,shots_outside_box,goals_outside_box,shot_dist_total_m,corners_taken,corners_completed,free_kicks_taken,free_kick_shots,free_kick_goals,throw_ins_taken,gk_saves,gk_claims,gk_punches,gk_pickups,gk_smothers,gk_penalties_faced,gk_sweeper_actions,progressive_passes_1h,progressive_passes_2h,key_passes_1h,key_passes_2h,shots_1h,shots_2h,tackles_attempted_1h,tackles_attempted_2h,interceptions_1h,interceptions_2h,goals_home,goals_away,shots_home,shots_away,key_passes_home,key_passes_away,tackles_attempted_home,tackles_attempted_away,pass_completion_pct,cross_completion_pct,tackle_win_pct,aerial_duel_win_pct
Feyenoord Rotterdam,34,25,7,2,81,30,51,82,58.69,21551,17618,10038,7501,79,2133,1733,4630,3726,11078,9570,5843,4322,10599,8940,8486,7309,2466,1369,2366,1231,907,269,432,113,475,156,1132,575,370,100,534,168,0,0,15509,1748,670,68,0,1282,132,16,3,0,179,12,0,21,4,0,13,0,0,441,49,0,3103,40818.85181539341,380,201,143,916,386,648,371,248,288,112,326,104,186,36,530,801,435,407,238,394,197,2341,842,1219,280,351,7,25149,1186,325,316,63,55,0,0,708,80,267,38,317,28,124,14,421,58,287,22,12968.860296491663,343,202,426,0,0,736,157,35,4,229,5,1,9,1043,1090,303,367,316,392,302,346,164,162,37,43,386,322,374,296,313,335,81.75,29.66,57.25,54.31
PSV Eindhoven,34,23,6,5,89,40,49,75,55.38,19664,15940,9174,6700,66,2169,1549,4901,3898,9920,8517,4843,3525,9765,8128,7414,6373,2485,1439,2403,1321,742,219,341,92,401,127,1313,698,215,46,528,174,0,0,14293,1841,542,71,0,1037,144,13,5,0,161,24,0,15,2,0,10,0,0,343,40,0,2874,37859.32831266929,345,219,136,740,347,622,368,297,250,75,309,134,153,22,582,1067,581,522,297,545,284,2257,992,1068,197,326,11,22966,1127,343,322,30,50,2,1,641,91,175,22,328,48,138,21,441,79,200,12,10520.714434787022,228,110,349,0,0,739,177,31,5,154,3,2,6,1066,1103,250,292,285,356,291,331,160,149,54,37,348,293,297,245,312,310,81.06,29.51,59.16,54.45
FC Twente,38,21,11,6,74,29,45,74,58.14,20689,16327,9370,6882,75,2137,1536,5118,3828,9828,8300,5743,4199,10147,8348,7689,6496,2853,1483,2819,1348,842,193,464,102,378,91,1351,702,481,112,361,81,0,0,14254,1801,575,59,0,1147,121,19,5,0,110,14,0,16,0,0,24,3,0,406,37,0,2817,38080.9337160267,420,226,165,766,336,676,411,322,248,106,350,156,156,38,540,1168,561,651,340,517,221,2400,1050,1103,247,350,9,24160,1191,403,365,77,56,1,0,691,74,252,23,355,40,84,11,414,64,277,10,12641.827860130978,236,107,437,0,0,831,212,19,14,216,0,3,29,1052,1085,301,274,354,337,315,361,183,167,51,23,376,315,317,258,356,320,78.92,22.92,60.8,48.03
AFC Ajax,34,20,9,5,86,38,48,69,66.06,22938,19487,11148,8260,79,2383,1900,5239,4438,10689,9599,7010,5450,11945,10353,8802,7809,2191,1325,2090,1198,756,216,432,144,324,72,1026,529,586,181,170,35,0,0,17139,2019,553,73,0,1076,154,11,1,0,139,15,0,16,2,0,8,2,0,379,53,0,3774,50857.18104261155,442,265,175,695,329,569,348,244,219,106,259,105,125,29,393,785,409,405,226,380,183,1981,848,938,195,392,9,25874,1569,313,353,46,46,1,0,630,86,252,38,245,35,133,13,446,70,184,16,9947.391669433604,272,155,396,0,0,626,145,40,7,204,7,1,16,1179,1204,261,292,302,328,263,306,122,137,47,39,377,253,328,225,287,282,84.96,28.57,61.16,52.1
Alkmaar Zaanstreek,34,20,7,7,68,35,33,67,53.53,18516,15031,8457,6499,75,1871,1349,5100,3970,8894,7664,4522,3397,8836,7450,7264,6276,2416,1305,2405,1216,547,136,291,67,256,69,1139,557,178,49,369,87,0,0,13157,1478,422,55,0,837,105,6,1,0,87,14,0,12,1,0,5,0,0,312,39,0,2618,36368.06363883207,316,202,118,609,283,564,332,251,243,70,314,134,151,29,624,968,487,529,270,439,217,2012,858,974,180,306,5,21392,898,351,293,46,51,1,0,496,61,169,17,252,38,75,6,301,52,195,9,9002.492458867466,159,80,338,0,0,685,192,24,15,197,2,5,10,926,945,210,212,239,257,255,309,148,166,30,31,257,239,227,195,298,266,81.18,24.86,58.87,50.31
Sparta Rotterdam,38,18,10,10,68,45,23,64,47.32,18224,14090,7847,6182,61,2032,1140,5957,4605,8592,7062,3675,2423,8064,6450,7138,5973,3022,1667,3006,1542,729,175,404,104,325,71,1562,741,302,72,427,103,0,0,12491,1826,399,51,0,784,106,2,0,0,120,18,0,22,2,0,11,0,0,244,31,0,2426,34282.03312898546,273,179,77,628,254,620,344,325,225,70,353,195,132,26,830,1505,829,649,375,856,454,2084,1010,908,166,279,12,21568,814,383,361,26,50,2,1,507,72,149,18,242,36,116,18,316,64,191,8,9127.509201101027,190,66,362,0,0,767,323,51,17,312,6,9,15,958,1054,186,206,236,257,311,307,177,175,42,30,260,247,209,190,311,309,77.32,24.01,55.48,55.08
FC Utrecht,36,15,10,11,61,57,4,55,49.45,16538,12638,7340,5242,56,1792,1017,5231,3919,7857,6404,3450,2315,7549,6050,6575,5337,2414,1251,2485,1187,660,161,270,64,390,97,1372,644,244,48,415,113,0,0,11241,1710,329,35,0,653,74,4,0,0,98,15,0,12,1,0,5,1,0,210,18,0,2123,29381.467958673034,231,142,64,647,237,597,359,300,234,63,339,172,145,22,745,1172,618,590,320,582,298,1928,939,842,147,284,5,19697,819,335,317,45,50,1,0,472,60,115,15,255,33,102,12,339,55,133,5,7555.469194531802,126,47,302,0,0,856,217,53,12,264,6,8,9,817,959,145,181,211,251,277,316,178,157,21,39,248,224,177,152,300,297,76.42,24.39,60.13,52.73
SC Heerenveen,36,12,10,14,45,56,-11,46,49.75,17812,13972,7837,6093,42,1920,1194,5434,4058,8506,7167,3872,2747,8553,7063,6591,5501,2668,1408,2654,1308,652,170,321,77,331,93,1134,560,178,49,456,119,0,0,12165,1598,381,36,0,760,72,4,2,0,115,12,0,14,0,0,3,0,0,245,22,0,2337,31216.488624403795,300,192,75,754,321,561,338,302,191,68,381,222,136,23,714,979,512,523,297,456,215,2079,1086,856,137,302,5,21048,719,352,341,47,55,1,0,466,45,100,8,284,27,82,10,286,38,180,7,8475.353742589547,167,82,377,0,0,723,228,32,18,235,9,5,12,913,1007,178,203,217,249,262,299,177,204,22,23,257,209,213,168,290,271,78.44,26.07,60.25,52.3
RKC Waalwijk,34,11,8,15,50,64,-14,41,45.39,14254,11107,6550,4500,57,1545,906,5104,3866,6021,5005,3129,2236,6771,5479,5461,4611,2022,1017,2014,932,419,93,188,47,231,46,734,364,215,48,204,45,0,0,9488,1247,271,32,0,566,74,9,3,0,57,7,0,7,2,0,4,0,0,194,20,0,1745,23972.3981016617,216,114,68,643,287,560,323,316,172,72,306,185,113,8,699,688,330,405,201,283,129,1771,1012,642,117,282,12,17147,650,321,256,44,56,2,0,338,46,118,14,173,26,47,6,212,37,126,9,5914.65040075724,107,47,305,0,0,610,275,62,19,309,11,8,16,698,847,102,169,131,207,241,319,166,140,31,15,198,140,161,110,286,274,77.92,22.2,57.68,47.97
Go Ahead Eagles,34,10,10,14,46,56,-10,40,46.85,14903,11236,6606,4589,41,1885,1047,4862,3690,6595,5208,3446,2338,6854,5432,5611,4592,2438,1212,2530,1196,613,157,282,71,331,86,1292,613,194,52,419,105,0,0,9915,1598,344,30,0,680,65,6,1,0,100,8,0,14,1,0,6,1,0,218,19,0,1815,24680.340623083877,203,111,74,596,242,536,323,245,215,76,329,170,134,25,726,1063,493,534,256,529,237,1862,889,803,170,300,8,17957,775,365,328,47,52,2,0,431,47,140,20,216,22,75,5,290,38,141,9,7328.736737395694,164,70,382,0,0,660,251,21,8,245,4,2,9,879,1006,154,190,197,234,243,293,156,173,28,19,234,197,187,157,272,264,75.39,25.61,60.26,46.38
