player,team,crosses,completed,expected_completed,completion_rate,expected_completion_rate,xP_added_value
I. Jensen,Alkmaar Zaanstreek,63,22,13.4,34.9,21.2,8.6
C. Valerius,NAC Breda,43,17,9.2,39.5,21.4,7.8
Y. Cathline,FC Utrecht,70,19,12.5,27.1,17.8,6.5
J. Hardeveld,SC Telstar,81,23,16.5,28.4,20.4,6.5
S. Horemans,FC Utrecht,56,19,12.7,33.9,22.6,6.3
D. Limnios,Fortuna Sittard,54,18,12.1,33.3,22.5,5.9
S. El Karouani,FC Utrecht,142,32,26.8,22.5,18.9,5.2
M. Pjaca,FC Twente,26,10,5.4,38.5,20.6,4.6
D. Man,PSV Eindhoven,17,8,3.9,47.1,22.7,4.1
J. Karlsson,FC Utrecht,26,10,5.9,38.5,22.7,4.1
E. Dasa,Nijmegen Eendracht Combinatie,40,13,8.9,32.5,22.4,4.1
A. Oehlers,FC Volendam,74,18,14.0,24.3,18.9,4.0
T. Booth,FC Twente,17,8,4.1,47.1,24.3,3.9
J. Bos,Feyenoord Rotterdam,78,21,17.3,26.9,22.2,3.7
I. Bronkhorst,SBV Excelsior,76,15,11.4,19.7,15.0,3.6
B. Ould-Chikh,FC Volendam,39,13,9.4,33.3,24.1,3.6
D. Sanches Fernandes,SBV Excelsior,52,14,10.5,26.9,20.3,3.5
J. van Overeem,SC Heerenveen,45,13,9.6,28.9,21.2,3.4
R. Meerveld,SC Heerenveen,20,7,3.7,35.0,18.4,3.3
Miguel Rodríguez,FC Utrecht,34,12,8.7,35.3,25.6,3.3
Ivo Pinto,Fortuna Sittard,62,17,13.7,27.4,22.2,3.3
Mauro Júnior,PSV Eindhoven,29,10,6.9,34.5,23.9,3.1
J. Kramer,Go Ahead Eagles,27,7,4.0,25.9,14.7,3.0
D. Fonville,Nijmegen Eendracht Combinatie,22,7,4.1,31.8,18.6,2.9
O. Sivertsen,Go Ahead Eagles,31,9,6.2,29.0,20.0,2.8
I. Yegoian,SBV Excelsior,30,9,6.3,30.0,21.0,2.7
Y. Namli,PEC Zwolle,22,7,4.5,31.8,20.5,2.5
O. Aertssen,PEC Zwolle,28,9,6.5,32.1,23.3,2.5
T. de Jonge,FC Groningen,20,7,4.5,35.0,22.7,2.5
G. Zechiël,FC Utrecht,22,7,4.6,31.8,21.0,2.4
E. Bajraktarević,PSV Eindhoven,40,10,7.6,25.0,19.0,2.4
M. Rots,FC Twente,57,14,11.6,24.6,20.4,2.4
R. Zerrouki,FC Twente,23,8,5.7,34.8,24.7,2.3
M. Deijl,Go Ahead Eagles,36,11,8.7,30.6,24.2,2.3
G. de Regt,SBV Excelsior,95,20,17.8,21.1,18.7,2.2
J. Veerman,PSV Eindhoven,38,10,7.8,26.3,20.5,2.2
W. Ould-Chikh,Heracles Almelo,50,13,10.8,26.0,21.6,2.2
T. Noslin,SC Telstar,68,15,12.9,22.1,18.9,2.1
Gonçalo Borges,Feyenoord Rotterdam,25,6,4.1,24.0,16.2,1.9
B. Linssen,Nijmegen Eendracht Combinatie,23,6,4.1,26.1,17.8,1.9
D. Kasius,Alkmaar Zaanstreek,52,12,10.1,23.1,19.4,1.9
J. Slory,Go Ahead Eagles,33,8,6.1,24.2,18.6,1.9
M. Aïko,Fortuna Sittard,22,5,3.2,22.7,14.6,1.8
O. Braude,SC Heerenveen,63,17,15.4,27.0,24.4,1.6
R. Daal,Alkmaar Zaanstreek,25,6,4.5,24.0,17.9,1.5
J. Talvitie,NAC Breda,57,13,11.6,22.8,20.3,1.4
C. Brym,NAC Breda,44,11,9.6,25.0,21.8,1.4
T. Ouwejan,Nijmegen Eendracht Combinatie,16,4,2.6,25.0,16.3,1.4
M. de Wit,Alkmaar Zaanstreek,23,6,4.6,26.1,20.1,1.4
M. Benita,Heracles Almelo,36,8,6.7,22.2,18.5,1.3
S. Floranus,PEC Zwolle,39,8,6.7,20.5,17.2,1.3
O. Velanas,PEC Zwolle,15,4,2.7,26.7,18.3,1.3
B. Pereira,Nijmegen Eendracht Combinatie,30,7,5.7,23.3,19.2,1.3
B. Lucassen,NAC Breda,18,4,2.8,22.2,15.3,1.2
J. Faberski,PEC Zwolle,17,4,2.8,23.5,16.3,1.2
S. Resink,FC Groningen,21,5,3.8,23.8,18.1,1.2
M. Ihattaren,Fortuna Sittard,47,10,8.9,21.3,18.9,1.1
M. Rente,FC Groningen,63,16,15.0,25.4,23.8,1.0
Y. Taha,FC Groningen,122,24,23.0,19.7,18.9,1.0
A. Hadj Moussa,Feyenoord Rotterdam,89,20,19.1,22.5,21.4,0.9
C. Hatenboer,SC Telstar,16,5,4.1,31.2,25.7,0.9
M. Godts,AFC Ajax,73,14,13.2,19.2,18.0,0.8
Ángel Alarcón,FC Utrecht,35,8,7.2,22.9,20.7,0.8
J. Dahlhaus,Fortuna Sittard,47,9,8.2,19.1,17.5,0.8
M. Nassoh,NAC Breda,45,10,9.3,22.2,20.6,0.7
S. Mito,Sparta Rotterdam,41,9,8.4,22.0,20.4,0.6
A. Hrustić,Heracles Almelo,50,13,12.5,26.0,24.9,0.5
C. Driouech,PSV Eindhoven,40,9,8.5,22.5,21.2,0.5
J. Wieckhoff,Heracles Almelo,24,6,5.5,25.0,22.9,0.5
K. Kostons,PEC Zwolle,16,3,2.5,18.8,15.7,0.5
K. Sildillia,PSV Eindhoven,36,9,8.6,25.0,23.8,0.4
A. Sampsted,Go Ahead Eagles,16,3,2.6,18.8,16.1,0.4
L. Holtby,NAC Breda,22,4,3.6,18.2,16.3,0.4
L. Oyen,SC Heerenveen,17,3,2.6,17.6,15.2,0.4
L. Sauer,Feyenoord Rotterdam,27,5,4.7,18.5,17.3,0.3
O. Wijndal,AFC Ajax,31,7,6.7,22.6,21.5,0.3
I. Perišić,PSV Eindhoven,139,29,28.7,20.9,20.6,0.3
S. Hetli,SC Telstar,16,3,2.7,18.8,17.1,0.3
T. Mercera,FC Groningen,17,5,4.7,29.4,27.9,0.3
K. Sano,Nijmegen Eendracht Combinatie,43,9,8.8,20.9,20.4,0.2
E. Hansson,SBV Excelsior,20,4,3.9,20.0,19.5,0.1
J. Breum,Go Ahead Eagles,15,3,2.9,20.0,19.3,0.1
O. Kökçü,FC Volendam,26,5,4.9,19.2,18.9,0.1
T. Bruns,Heracles Almelo,17,3,2.9,17.6,17.2,0.1
A. Sliti,Feyenoord Rotterdam,38,7,6.9,18.4,18.3,0.1
A. Adelgaard,Go Ahead Eagles,53,12,11.9,22.6,22.5,0.1
G. Read,Feyenoord Rotterdam,30,6,6.0,20.0,19.9,0.0
E. Ahlstrand,Heracles Almelo,31,8,8.0,25.8,25.8,0.0
S. Janssen,SBV Excelsior,21,3,3.0,14.3,14.4,-0.0
G. Smal,Feyenoord Rotterdam,29,5,5.0,17.2,17.4,-0.0
M. Chávez,Alkmaar Zaanstreek,20,3,3.1,15.0,15.4,-0.1
S. Ørjasæter,FC Twente,55,11,11.1,20.0,20.2,-0.1
K. de Rooij,PEC Zwolle,17,2,2.2,11.8,12.7,-0.2
D. Rots,FC Twente,62,11,11.3,17.7,18.2,-0.3
Y. Leliendal,FC Volendam,46,7,7.3,15.2,15.9,-0.3
K. Peterson,Fortuna Sittard,80,12,12.4,15.0,15.5,-0.4
K. Hlynsson,FC Twente,28,4,4.4,14.3,15.6,-0.4
V. Zagaritis,SC Heerenveen,97,19,19.4,19.6,20.0,-0.4
D. Odoi,NAC Breda,20,4,4.4,20.0,22.0,-0.4
Y. El Kachati,Nijmegen Eendracht Combinatie,21,3,3.4,14.3,16.3,-0.4
D. Nejašmić,Nijmegen Eendracht Combinatie,15,3,3.4,20.0,22.8,-0.4
C. Terho,Sparta Rotterdam,19,3,3.4,15.8,18.1,-0.4
J. Schreuders,FC Groningen,38,6,6.4,15.8,17.0,-0.4
R. Paula,NAC Breda,23,3,3.6,13.0,15.5,-0.6
B. Önal,Nijmegen Eendracht Combinatie,77,16,16.6,20.8,21.5,-0.6
M. Meulensteen,Go Ahead Eagles,18,4,4.6,22.2,25.5,-0.6
M. Peersman,FC Groningen,46,9,9.6,19.6,20.9,-0.6
A. Blake,FC Utrecht,22,4,4.6,18.2,21.0,-0.6
O. Edvardsen,AFC Ajax,20,5,5.6,25.0,28.2,-0.6
M. Suray,Go Ahead Eagles,48,6,6.7,12.5,13.9,-0.7
L. Valente,Feyenoord Rotterdam,23,4,4.8,17.4,20.7,-0.8
D. van der Werff,FC Groningen,45,7,7.8,15.6,17.3,-0.8
T. van Bergen,FC Groningen,15,1,1.8,6.7,12.1,-0.8
G. Til,PSV Eindhoven,26,6,6.9,23.1,26.3,-0.9
