team,crosses,completed,expected_completed,completion_rate,expected_completion_rate,xP_added_value
FC Utrecht,473,126,97.4,26.6,20.6,28.6
Fortuna Sittard,398,93,74.5,23.4,18.7,18.5
FC Twente,413,102,83.9,24.7,20.3,18.1
Feyenoord Rotterdam,433,97,83.8,22.4,19.4,13.2
PSV Eindhoven,478,112,103.4,23.4,21.6,8.6
SBV Excelsior,411,81,74.6,19.7,18.1,6.4
Alkmaar Zaanstreek,327,73,66.7,22.3,20.4,6.3
Heracles Almelo,439,97,92.7,22.1,21.1,4.3
NAC Breda,529,112,107.7,21.2,20.4,4.3
FC Groningen,451,93,89.7,20.6,19.9,3.3
SC Telstar,389,79,77.2,20.3,19.8,1.8
PEC Zwolle,230,43,41.8,18.7,18.2,1.2
Nijmegen Eendracht Combinatie,515,102,101.8,19.8,19.8,0.2
Go Ahead Eagles,570,108,110.1,18.9,19.3,-2.1
SC Heerenveen,421,82,84.4,19.5,20.0,-2.4
FC Volendam,366,68,71.6,18.6,19.6,-3.6
Sparta Rotterdam,460,82,92.3,17.8,20.1,-10.3
AFC Ajax,411,67,83.7,16.3,20.4,-16.7
