contestant_id,player_minutes,player_matches,goals_for_on,goals_against_on
20vymiy7bo8wkyxai3ew494fz,36460.11666666667,530,770,483
24fvcruwqrqvqa3aonf8c3zuy,35953.566666666666,521,1077,525
2uuh2bir8ktof0uxfo06lb4ox,35803.03333333333,506,494,760
3ebril33e08ddzob4bhq8awsr,36590.666666666664,537,561,669
3kfktv64h7kg7zryax1wktr5r,36152.1,530,638,561
4tic29sox7m39fy1ztgv0jsiq,36224.416666666664,529,649,440
4vd2t5schmvvufrfib7f2vjdf,37494.53333333333,520,627,638
59t7flioj4w4mpwnrwbm0m8ck,36269.666666666664,532,385,631
6g9qrm72224jrk6tkxxxi8a9n,36090.95,539,407,580
89w5c6pw7vn0dxypi61tt0g4k,36284.78333333333,510,473,647
8iawijq7s9s6d85mjz8wdslki,36737.916666666664,523,814,615
b79uipsy57y1jqpy07h4i5ovk,35927.73333333333,534,615,557
ccpscwdcm65czscrun048ecn5,38802.833333333336,555,682,535
cos9hxi16eitbcbthof7zrm4m,37349.48333333333,530,538,517
d0zdg647gvgc95xdtk1vpbkys,38845.53333333333,564,759,495
dac758ef858jbq7pcb3gfwite,35940.95,516,396,919
dqk062lu0vm8epvytbm6r4mmf,36157.35,528,450,636
zjawy6qdzk3y69v5pa3zl2cb,36402.666666666664,536,527,614
