action_category,actions,gda_expected,gda_actual,gda_expected_per_action
shot,8757,737.5192481090756,739.4089384453006,0.08422053763949705
defensive,92801,-87.65680417650786,-87.65680417650786,-0.0009445674526837842
other,73507,-112.46066492719356,-112.46066492719356,-0.0015299313660902167
carry_takeon,63180,-260.6932021390088,-260.6932021390088,-0.004126198197831731
pass,285079,-276.7072287356052,-276.7072287356052,-0.0009706335041711428
