player_id,player_name,team,teams,matches,minutes,shots_total,goals_total,non_penalty_goals_total,shots_on_target_total,shots_off_target_total,shots_blocked_total,shots_woodwork_total,penalties_taken_total,penalty_goals_total,xg_total,npxg_total,psxg_total,xgot_total,danger_score_total,goals_minus_xg_total,psxg_minus_xgot_total,shot_accuracy_pct,conversion_rate_pct,xg_per_shot,shots_per30,goals_per30,shots_on_target_per30,xg_per30,npxg_per30,psxg_per30,xgot_per30,danger_score_per30,shots_per90,goals_per90,shots_on_target_per90,xg_per90,npxg_per90,psxg_per90,xgot_per90,danger_score_per90
8d0ffyx2qnnp0limf5aou92ei,A. Ueda,Feyenoord Rotterdam,Feyenoord Rotterdam,31,2634.1,102,25,24,46,38,17,1,1,1,15.079,14.289,18.258,44.6,26.708,9.921,-26.342,45.1,24.51,0.148,1.162,0.285,0.524,0.172,0.163,0.208,0.508,0.304,3.485,0.854,1.572,0.515,0.488,0.624,1.524,0.913
cx6fxszjvjam6zb3c3p0dd1jo,M. Godts,AFC Ajax,AFC Ajax,34,3062.1,87,18,17,43,25,15,4,1,1,9.399,8.609,12.517,30.222,18.787,8.601,-17.705,49.43,20.69,0.108,0.852,0.176,0.421,0.092,0.084,0.123,0.296,0.184,2.557,0.529,1.264,0.276,0.253,0.368,0.888,0.552
59ynmlwky3h6m9g2r7a8igi96,T. Parrott,Alkmaar Zaanstreek,Alkmaar Zaanstreek,28,2337.4,89,17,15,41,27,20,1,5,2,16.743,12.793,17.637,38.256,25.345,0.257,-20.619,46.07,19.1,0.188,1.142,0.218,0.526,0.215,0.164,0.226,0.491,0.325,3.427,0.655,1.579,0.645,0.493,0.679,1.473,0.976
emglxnqrlqskt8krglv7sziwa,R. Pepi,PSV Eindhoven,PSV Eindhoven,26,1505.0,61,16,14,32,14,15,0,2,2,10.512,8.932,11.673,23.924,16.265,5.488,-12.25,52.46,26.23,0.172,1.216,0.319,0.638,0.21,0.178,0.233,0.477,0.324,3.648,0.957,1.914,0.629,0.534,0.698,1.431,0.973
9vf02r3geinhsy732oxyrcacq,I. Saibari,PSV Eindhoven,PSV Eindhoven,27,2254.4,91,15,14,36,36,16,3,1,1,11.623,10.833,11.947,38.492,21.795,3.377,-26.545,39.56,16.48,0.128,1.211,0.2,0.479,0.155,0.144,0.159,0.512,0.29,3.633,0.599,1.437,0.464,0.432,0.477,1.537,0.87
21k54i5a6d9bi4f6gplgzxiw9,G. Til,PSV Eindhoven,PSV Eindhoven,29,2350.6,61,14,14,26,17,16,2,0,0,8.899,8.899,11.142,26.057,15.512,5.101,-14.915,42.62,22.95,0.146,0.779,0.179,0.332,0.114,0.114,0.142,0.333,0.198,2.336,0.536,0.995,0.341,0.341,0.427,0.998,0.594
aqnr6l3f02hx0soadunxbjcpg,J. Trenskow,SC Heerenveen,SC Heerenveen,34,2874.3,88,13,13,40,16,30,2,0,0,8.462,8.462,13.89,28.638,17.619,4.538,-14.749,45.45,14.77,0.096,0.918,0.136,0.417,0.088,0.088,0.145,0.299,0.184,2.755,0.407,1.252,0.265,0.265,0.435,0.897,0.552
6q77vt9bp8dsq48pa97mfzsa1,T. Lauritsen,Sparta Rotterdam,Sparta Rotterdam,34,3267.7,73,12,9,27,34,12,0,3,3,11.135,8.765,12.783,34.3,19.058,0.865,-21.517,36.99,16.44,0.153,0.67,0.11,0.248,0.102,0.08,0.117,0.315,0.175,2.011,0.331,0.744,0.307,0.241,0.352,0.945,0.525
1tmihr54maqj0h7785cg9ez56,M. Suray,Go Ahead Eagles,Go Ahead Eagles,32,2696.9,63,12,11,31,19,11,2,1,1,8.461,7.671,10.583,23.452,15.326,3.539,-12.869,49.21,19.05,0.134,0.701,0.133,0.345,0.094,0.085,0.118,0.261,0.17,2.102,0.4,1.035,0.282,0.256,0.353,0.783,0.511
5ghvrbmlh0tqos9iohj8f7zzd,K. Sierhuis,Fortuna Sittard,Fortuna Sittard,30,2068.9,78,12,12,31,28,16,3,0,0,9.652,9.652,11.099,30.486,17.283,2.348,-19.387,39.74,15.38,0.124,1.131,0.174,0.45,0.14,0.14,0.161,0.442,0.251,3.393,0.522,1.349,0.42,0.42,0.483,1.326,0.752
