contestant_id,team,matches,minutes,shots_total,goals_total,non_penalty_goals_total,shots_on_target_total,shots_off_target_total,shots_blocked_total,shots_woodwork_total,penalties_taken_total,penalty_goals_total,xg_total,npxg_total,psxg_total,xgot_total,danger_score_total,goals_minus_xg_total,psxg_minus_xgot_total,shot_accuracy_pct,conversion_rate_pct,xg_per_shot,shots_per30,goals_per30,shots_on_target_per30,xg_per30,npxg_per30,psxg_per30,xgot_per30,danger_score_per30,shots_per90,goals_per90,shots_on_target_per90,xg_per90,npxg_per90,psxg_per90,xgot_per90,danger_score_per90
24fvcruwqrqvqa3aonf8c3zuy,PSV Eindhoven,34,3274.9,597,98,94,242,194,147,14,4,4,70.13,66.97,82.832,220.958,130.777,27.87,-138.125,40.54,16.42,0.117,5.469,0.898,2.217,0.642,0.613,0.759,2.024,1.198,16.407,2.693,6.651,1.927,1.84,2.276,6.072,3.594
8iawijq7s9s6d85mjz8wdslki,Nijmegen Eendracht Combinatie,34,3345.0,579,74,70,220,173,173,13,6,4,62.091,57.351,71.173,194.613,116.948,11.909,-123.44,38.0,12.78,0.107,5.193,0.664,1.973,0.557,0.514,0.638,1.745,1.049,15.578,1.991,5.919,1.671,1.543,1.915,5.236,3.147
20vymiy7bo8wkyxai3ew494fz,Feyenoord Rotterdam,34,3322.9,570,70,65,208,186,169,7,5,5,61.223,57.273,69.086,201.89,117.156,8.777,-132.804,36.49,12.28,0.107,5.146,0.632,1.878,0.553,0.517,0.624,1.823,1.058,15.438,1.896,5.634,1.658,1.551,1.871,5.468,3.173
d0zdg647gvgc95xdtk1vpbkys,AFC Ajax,36,3537.2,543,69,64,213,172,147,11,5,5,60.489,56.539,66.637,183.336,111.077,8.511,-116.699,39.23,12.71,0.111,4.605,0.585,1.807,0.513,0.48,0.565,1.555,0.942,13.816,1.756,5.42,1.539,1.439,1.696,4.665,2.826
ccpscwdcm65czscrun048ecn5,FC Utrecht,36,3535.3,555,62,58,201,192,150,12,6,4,57.01,52.27,62.946,189.65,110.213,4.99,-126.704,36.22,11.17,0.103,4.71,0.526,1.706,0.484,0.444,0.534,1.609,0.935,14.129,1.578,5.117,1.451,1.331,1.602,4.828,2.806
4tic29sox7m39fy1ztgv0jsiq,FC Twente,34,3298.3,607,59,51,218,192,186,11,8,8,67.362,61.042,68.588,201.311,120.613,-8.362,-132.723,35.91,9.72,0.111,5.521,0.537,1.983,0.613,0.555,0.624,1.831,1.097,16.563,1.61,5.948,1.838,1.666,1.872,5.493,3.291
3kfktv64h7kg7zryax1wktr5r,Alkmaar Zaanstreek,34,3287.6,539,58,54,199,180,153,7,8,4,60.173,53.853,63.5,179.548,109.124,-2.173,-116.048,36.92,10.76,0.112,4.919,0.529,1.816,0.549,0.491,0.579,1.638,0.996,14.756,1.588,5.448,1.647,1.474,1.738,4.915,2.987
4vd2t5schmvvufrfib7f2vjdf,SC Heerenveen,35,3411.9,524,57,53,184,154,174,12,4,4,57.811,54.651,63.376,174.617,105.785,-0.811,-111.241,35.11,10.88,0.11,4.607,0.501,1.618,0.508,0.481,0.557,1.535,0.93,13.822,1.504,4.854,1.525,1.442,1.672,4.606,2.79
b79uipsy57y1jqpy07h4i5ovk,Go Ahead Eagles,34,3284.5,397,56,54,169,120,104,4,3,2,44.117,41.747,56.432,131.62,82.268,11.883,-75.188,42.57,14.11,0.111,3.626,0.511,1.544,0.403,0.381,0.515,1.202,0.751,10.878,1.534,4.631,1.209,1.144,1.546,3.607,2.254
3ebril33e08ddzob4bhq8awsr,Fortuna Sittard,34,3333.9,434,51,48,151,156,119,8,3,3,47.762,45.392,50.293,150.068,86.9,3.238,-99.775,34.79,11.75,0.11,3.905,0.459,1.359,0.43,0.408,0.453,1.35,0.782,11.716,1.377,4.076,1.289,1.225,1.358,4.051,2.346
cos9hxi16eitbcbthof7zrm4m,FC Groningen,35,3397.2,546,49,45,192,183,159,12,4,4,57.797,54.637,55.466,182.463,107.028,-8.797,-126.997,35.16,8.97,0.106,4.822,0.433,1.696,0.51,0.482,0.49,1.611,0.945,14.465,1.298,5.087,1.531,1.447,1.469,4.834,2.835
zjawy6qdzk3y69v5pa3zl2cb,SC Telstar,34,3314.7,434,48,47,160,152,118,4,3,1,45.839,43.469,52.925,147.969,88.425,2.161,-95.044,36.87,11.06,0.106,3.928,0.434,1.448,0.415,0.393,0.479,1.339,0.8,11.784,1.303,4.344,1.245,1.18,1.437,4.018,2.401
2uuh2bir8ktof0uxfo06lb4ox,PEC Zwolle,34,3274.1,329,45,45,119,121,86,3,0,0,35.896,35.896,38.572,110.039,67.022,9.104,-71.467,36.17,13.68,0.109,3.015,0.412,1.09,0.329,0.329,0.353,1.008,0.614,9.044,1.237,3.271,0.987,0.987,1.06,3.025,1.842
89w5c6pw7vn0dxypi61tt0g4k,Sparta Rotterdam,34,3304.1,445,43,40,150,168,121,6,3,3,46.342,43.972,47.628,154.099,88.028,-3.342,-106.471,33.71,9.66,0.104,4.04,0.39,1.362,0.421,0.399,0.432,1.399,0.799,12.121,1.171,4.086,1.262,1.198,1.297,4.197,2.398
