team_name,matches,wins,draws,losses,goals_for,goals_against,goal_diff,points,possession_pct,passes_attempted,passes_completed,forward_passes,backward_passes,lateral_passes,progressive_passes,passes_into_final_third,passes_def_third,passes_completed_def_third,passes_mid_third,passes_completed_mid_third,passes_att_third,passes_completed_att_third,short_passes,short_passes_completed,medium_passes,medium_passes_completed,long_passes_len,long_passes_len_completed,long_balls_attempted,long_balls_completed,crosses_attempted,crosses_completed,crosses_left_side,crosses_left_completed,crosses_right_side,crosses_right_completed,through_balls_attempted,through_balls_completed,passes_left_foot,passes_left_foot_completed,passes_right_foot,passes_right_foot_completed,passes_head,passes_head_completed,passes_received,progressive_passes_received,key_passes,assists,xa,shot_creating_actions,goal_creating_actions,key_passes_cutback,assists_cutback,xa_cutback,key_passes_cross,assists_cross,xa_cross,key_passes_through_ball,assists_through_ball,xa_through_ball,key_passes_set_piece,assists_set_piece,xa_set_piece,key_passes_open_play,assists_open_play,xa_open_play,carries_computed,carry_distance_m,progressive_carries,carries_into_final_third,carries_into_box,take_ons_attempted,take_ons_successful,tackles_attempted,tackles_won,tackles_def_third,tackles_mid_third,tackles_att_third,interceptions,interceptions_def_third,interceptions_mid_third,interceptions_att_third,clearances,aerial_duels,aerial_duels_won,aerial_duels_def_half,aerial_duels_won_def_half,aerial_duels_att_half,aerial_duels_won_att_half,ball_recoveries,ball_recoveries_def_third,ball_recoveries_mid_third,ball_recoveries_att_third,dispossessed,errors,touches,touches_in_box,fouls_committed,fouls_won,offsides,yellow_cards,red_cards_straight,red_cards_second_yellow,shots,goals,shots_left_foot,goals_left_foot,shots_right_foot,goals_right_foot,shots_head,goals_head,shots_inside_box,goals_inside_box,shots_outside_box,goals_outside_box,shot_dist_total_m,corners_taken,corners_completed,free_kicks_taken,free_kick_shots,free_kick_goals,throw_ins_taken,gk_saves,gk_claims,gk_punches,gk_pickups,gk_smothers,gk_penalties_faced,gk_sweeper_actions,progressive_passes_1h,progressive_passes_2h,key_passes_1h,key_passes_2h,shots_1h,shots_2h,tackles_attempted_1h,tackles_attempted_2h,interceptions_1h,interceptions_2h,goals_home,goals_away,shots_home,shots_away,key_passes_home,key_passes_away,tackles_attempted_home,tackles_attempted_away,pass_completion_pct,cross_completion_pct,tackle_win_pct,aerial_duel_win_pct
PSV Eindhoven,34,29,4,1,111,21,90,91,64.35,21450,18146,10264,7811,71,2441,1845,4905,4132,10795,9614,5750,4400,10401,8962,8637,7632,2412,1552,2307,1411,812,247,348,107,464,140,1089,590,236,62,576,185,0,0,16042,2075,698,94,0,1366,184,16,2,0,183,24,0,9,3,0,12,1,0,478,64,0,3378,46295.99983022474,404,247,160,853,405,547,341,233,219,95,285,125,134,26,477,871,494,492,277,379,217,2020,826,990,204,305,13,24805,1407,280,304,48,31,0,1,791,110,243,36,412,55,136,19,542,102,249,8,13171.104708130457,248,141,343,0,0,674,147,23,7,124,3,3,11,1275,1166,339,359,391,400,255,292,127,158,54,56,424,367,367,331,279,268,84.6,30.42,62.34,56.72
Feyenoord Rotterdam,34,26,6,2,92,26,66,84,61.81,20635,17206,9823,7299,84,2088,1701,4778,3971,10268,9063,5589,4172,10420,8920,8270,7218,1945,1068,1967,1007,657,180,313,91,344,89,1123,592,291,78,366,102,0,0,14916,1764,601,70,0,1179,143,18,2,0,118,10,0,16,1,0,11,2,0,438,55,0,2924,39747.09496154452,400,241,148,825,395,580,344,237,238,105,255,97,128,30,467,872,504,465,273,407,231,1874,702,943,229,351,8,23953,1398,303,352,52,35,1,0,701,90,281,37,326,45,94,8,476,78,225,12,11624.158953146869,259,144,391,0,0,670,140,39,9,229,3,1,31,987,1101,257,344,303,398,267,313,132,123,50,40,413,288,353,248,311,269,83.38,27.4,59.31,57.8
FC Twente,34,21,6,7,69,36,33,69,56.15,18399,14554,8312,6188,54,1969,1400,5161,3994,8381,7070,4857,3490,8629,7028,7272,6273,2498,1253,2520,1178,757,181,341,79,416,102,1140,592,386,94,371,87,0,0,12888,1667,472,53,0,935,105,15,4,0,112,13,0,23,4,0,5,0,0,317,32,0,2548,34831.39284133304,303,216,115,611,241,532,317,225,219,88,268,120,118,30,516,1078,496,549,271,529,225,1808,770,878,160,288,9,21322,1029,331,362,55,50,2,1,570,69,197,22,276,33,97,14,359,60,211,9,10202.412700350396,240,110,420,0,0,757,163,22,7,221,4,6,17,964,1005,211,261,253,317,253,279,135,133,39,30,321,249,262,210,255,277,79.1,23.91,59.59,46.01
Alkmaar Zaanstreek,34,19,8,7,70,39,31,65,54.46,19466,15934,8883,6986,65,2048,1434,5421,4408,9562,8255,4483,3271,9307,7797,7607,6639,2552,1498,2531,1381,610,166,283,74,327,92,1178,599,176,47,434,119,0,0,14124,1734,431,50,0,845,106,9,4,0,110,11,0,14,3,0,1,0,0,297,32,0,2775,37981.40090458829,327,190,118,755,338,588,352,243,254,91,282,123,140,19,569,983,453,501,229,482,224,1818,814,834,170,316,6,22678,1007,388,335,26,49,2,0,517,69,158,20,269,41,90,8,354,61,163,8,8766.501379121915,208,101,340,0,0,701,212,30,13,251,6,4,12,972,1076,193,238,238,279,283,305,149,133,40,29,269,248,220,211,288,300,81.86,27.21,59.86,46.08
AFC Ajax,34,15,11,8,74,61,13,56,59.74,21046,17766,9715,7971,80,2010,1405,5970,4957,10305,9193,4771,3616,10382,9034,8288,7399,2376,1333,2387,1256,616,143,296,70,320,73,1006,525,307,74,309,69,0,0,15750,1642,451,62,0,903,125,10,4,0,87,11,0,17,2,0,5,0,0,332,45,0,3248,45136.2107109415,349,225,130,732,339,542,321,240,217,85,295,134,139,22,543,871,467,492,283,379,184,1698,775,783,140,289,11,24094,1062,284,349,55,44,3,0,519,73,186,30,270,37,63,6,363,66,156,7,8582.256431066038,190,89,401,0,0,631,206,34,14,230,7,3,19,969,1041,205,246,228,291,273,269,143,152,39,34,261,258,223,228,269,273,84.42,23.21,59.23,53.62
FC Utrecht,36,14,11,11,53,50,3,53,48.32,16970,12758,7570,5135,53,2012,1227,4703,3369,8316,6783,3951,2606,7451,5850,6921,5636,2598,1272,2733,1225,873,214,415,92,458,122,1265,583,321,74,552,140,0,0,11264,1747,443,45,0,826,80,9,5,0,142,15,0,5,1,0,13,0,0,274,24,0,2017,28195.505448834436,233,135,95,606,268,621,383,297,243,81,270,126,120,24,805,1071,547,595,319,476,228,1805,777,854,174,289,9,20266,887,390,368,59,52,2,1,508,55,163,17,246,29,99,9,351,44,157,11,8635.836886198957,241,95,432,0,0,741,246,47,4,256,3,6,9,992,998,174,264,202,301,292,325,127,138,34,21,302,206,270,173,321,300,75.18,24.51,61.67,51.07
Nijmegen Eendracht Combinatie,35,14,11,10,69,53,16,53,48.35,16436,13011,7440,5530,41,1710,1062,5183,3948,8162,6952,3091,2111,7603,6308,6418,5441,2415,1262,2490,1199,578,142,320,75,258,67,1097,555,319,75,259,67,0,0,11301,1379,378,56,0,733,107,7,0,0,95,15,0,16,3,0,5,0,0,255,38,0,2197,29497.240421506394,230,133,61,670,275,632,383,361,207,64,279,149,100,30,855,1065,540,562,301,503,239,1688,849,695,144,303,14,19717,707,300,369,34,52,2,2,449,66,189,22,181,32,79,12,276,53,173,13,8098.298214369845,155,66,401,0,0,670,289,40,12,232,1,6,7,847,863,166,212,202,247,315,317,125,154,35,31,242,207,206,172,299,333,79.16,24.57,60.6,50.7
Go Ahead Eagles,36,14,10,12,51,48,3,52,45.45,15983,12039,6991,5015,33,1974,1210,5179,3834,6964,5585,3840,2620,7230,5767,6121,5017,2632,1255,2698,1186,660,146,336,71,324,75,1164,550,269,53,391,93,0,0,10628,1741,455,40,0,884,79,11,2,0,96,7,0,19,2,0,12,3,0,317,26,0,2045,28687.210490015503,234,152,88,671,268,526,308,236,212,78,281,118,141,22,864,1117,484,565,279,552,205,1826,824,818,184,297,6,19454,907,314,383,50,46,2,1,560,53,204,16,275,28,81,9,351,46,209,7,9963.055780080651,187,89,406,0,0,681,314,19,8,246,1,2,10,921,1042,193,255,234,315,226,299,134,145,33,20,308,252,256,199,270,256,75.32,22.12,58.56,43.33
Sparta Rotterdam,35,14,7,14,52,51,1,49,47.05,15781,12087,6768,5270,49,1784,1103,5095,3785,7296,6040,3390,2262,6954,5506,6319,5312,2508,1269,2623,1222,675,172,333,92,342,80,1197,547,266,65,409,107,0,0,10350,1496,382,41,0,731,79,4,1,0,107,9,0,21,2,0,4,0,0,246,29,0,1838,27495.105643632738,270,127,88,574,229,554,347,293,207,54,267,129,124,14,875,1242,647,567,299,675,348,1642,785,701,156,247,18,18932,783,291,336,20,41,2,0,458,51,128,15,243,28,87,8,279,42,179,9,8206.336308449383,185,70,358,0,0,652,282,40,9,287,5,5,14,891,893,198,184,236,222,238,316,135,132,25,26,256,202,215,167,263,291,76.59,25.48,62.64,52.09
Fortuna Sittard,34,9,11,14,37,56,-19,38,43.16,13499,9748,5619,4088,41,1626,938,4166,2891,6224,4921,3109,1936,5828,4490,5189,4119,2482,1139,2699,1148,676,182,338,91,338,91,1283,600,323,82,353,100,0,0,8510,1351,374,28,0,741,59,2,0,0,115,12,0,24,3,0,11,0,0,222,13,0,1511,21576.796307836397,227,122,60,670,285,627,379,323,225,79,333,184,124,25,619,1202,647,531,318,671,329,1776,840,765,171,250,5,16476,761,369,315,44,57,2,1,480,38,190,11,194,17,96,10,289,31,191,7,8908.834432211828,171,102,352,0,0,685,203,44,14,203,4,2,9,782,844,190,184,244,236,317,310,173,160,26,12,286,194,225,149,289,338,72.21,26.92,60.45,53.83
