team,n_restarts,n_contestable,long_rate,lrr,lbr,lbd,fcwr,afcwr,fcdv,pfcr,sbrr,ralfc,dpcr,tsbc,per5,per10,per15,dpr,ipr,err,psr10,psr15,psr20,actions_sustained,rtg_15,ctg,ntg,etg_basic,etg_event,trr,fter,ber20,pesr,sed,fer,tlr,oep15,frr,hrr15,pr15,far15,scr20,xgpr20,xgca20,ncv20,dtr,aper,xtpr15,ft_post,ft_pre,fts,tps_post,tps_pre,tds,ftad,nep,nsp,ccr15,rdv,rdv_core
AFC Ajax,1960,1944,1.0,,17.7762,0.0965,0.5278,1.0,8.7382,0.5624,0.4075,0.7309,0.7906,16.5062,0.0143,0.1852,0.3628,0.2944,0.3423,0.6367,0.8484,0.8699,0.8842,2.4321,8.1988,7.248,3.6708,5.528,0.0192,0.2248,0.1918,0.2143,0.0,,0.0,0.3885,0.3361,0.1844,0.1694,0.3684,0.2449,0.0801,0.0,0.0,0.0,0.2811,0.5454,,0.5325,0.4938,0.0172,0.5414,0.5321,0.0045,0.2694,0.5195,0.7151,0.277,,75.5
Alkmaar Zaanstreek,1931,1920,1.0,,17.398,0.1039,0.5474,1.0,7.7303,0.53,0.3837,0.7192,0.7755,16.407,0.0192,0.1932,0.3729,0.2885,0.3237,0.6121,0.8267,0.8522,0.8684,2.5943,7.6293,7.384,3.5515,5.4539,-0.0916,0.224,0.1657,0.1958,0.0,,0.0,0.3689,0.3095,0.1845,0.1693,0.3444,0.2346,0.0818,0.0,0.0,0.0,0.3138,0.5298,,0.5073,0.4432,0.0363,0.5225,0.4897,0.0332,-0.0285,0.5066,0.6957,0.2853,,70.0
Almere City FC,2165,2154,1.0,,15.4049,0.1205,0.3747,1.0,6.2046,0.5204,0.4343,0.6719,0.6973,18.6119,0.0143,0.1339,0.2734,0.194,0.418,0.612,0.769,0.8036,0.8229,2.1708,4.8785,4.4913,-0.6554,2.894,-0.7727,0.1755,0.1663,0.1557,0.2857,31.95,0.0714,0.3594,0.3036,0.197,0.1349,0.3035,0.2457,0.0545,0.0,0.0,0.0,0.3206,0.4739,,0.4501,0.4374,-0.0093,0.4738,0.4729,-0.0005,-0.5053,0.4364,0.5558,0.3201,,20.0
FC Twente,2026,2012,1.0,,16.8623,0.1094,0.4751,1.0,7.2524,0.5502,0.4145,0.7405,0.7838,17.4705,0.0133,0.1639,0.3233,0.2596,0.386,0.6456,0.8237,0.8478,0.8694,2.3559,6.1729,6.7576,3.0588,4.631,0.3282,0.2061,0.1866,0.2211,0.2,21.7,0.0,0.3944,0.3387,0.1951,0.1565,0.3342,0.2231,0.0834,0.0,0.0,0.0,0.3198,0.5291,,0.5196,0.4484,0.0391,0.5233,0.4908,0.0328,0.1654,0.5179,0.7375,0.2739,,67.4
FC Utrecht,1990,1976,1.0,,15.8604,0.1097,0.4524,1.0,6.9501,0.5369,0.3757,0.6506,0.711,17.6598,0.0191,0.1543,0.3025,0.2412,0.3538,0.595,0.7922,0.8235,0.8448,2.1994,6.1825,6.3682,1.1546,4.0018,0.3191,0.204,0.1548,0.1915,0.25,34.3,0.0,0.329,0.2807,0.1955,0.1472,0.3221,0.2231,0.0663,0.0,0.0,0.0,0.2965,0.4829,,0.4435,0.4468,-0.0385,0.4604,0.4879,-0.0303,-0.5156,0.4342,0.6354,0.3191,,38.5
FC Volendam,1881,1869,1.0,,15.9556,0.1143,0.4147,1.0,9.7681,0.5032,0.3448,0.5786,0.6437,18.2369,0.0144,0.1196,0.2605,0.2073,0.3365,0.5439,0.7456,0.7772,0.7997,1.9882,11.0619,9.8259,3.2108,6.4608,1.1976,0.185,0.1494,0.1446,0.0,,0.0,0.331,0.263,0.1765,0.1287,0.378,0.2031,0.0489,0.0,0.0,0.0,0.3961,0.437,,0.4416,0.3751,0.0415,0.4479,0.4426,0.0036,-0.5699,0.4853,0.5045,0.3195,,27.3
Feyenoord Rotterdam,1527,1519,1.0,,13.1854,0.0806,0.501,1.0,2.6897,0.5427,0.4078,0.7678,0.8091,16.9308,0.0183,0.1696,0.3399,0.2705,0.3811,0.6516,0.8576,0.8828,0.8926,2.4852,2.8834,3.4023,0.3052,2.1951,0.6755,0.2038,0.1952,0.2286,0.25,9.5,0.0,0.4023,0.3447,0.2344,0.1559,0.2993,0.2423,0.0864,0.0,0.0,0.0,0.2541,0.5828,,0.4711,0.4813,-0.0521,0.5219,0.5444,-0.0313,-0.2187,0.4325,0.8115,0.3098,,78.9
Fortuna Sittard,1964,1951,1.0,,16.2893,0.1153,0.4326,1.0,5.6337,0.4716,0.3722,0.6387,0.6822,18.3914,0.0127,0.1324,0.2693,0.2026,0.36,0.5626,0.7633,0.7881,0.8114,1.9836,5.2498,6.0697,0.6065,3.7975,0.1474,0.1961,0.1645,0.1858,0.2857,48.95,0.0,0.3127,0.2522,0.191,0.1426,0.3172,0.2301,0.0759,0.0,0.0,0.0,0.3478,0.4598,,0.4462,0.4484,-0.0274,0.4552,0.4795,-0.0286,-0.6787,0.4617,0.6552,0.3355,,24.8
Go Ahead Eagles,2075,2063,1.0,,16.5168,0.1132,0.4382,1.0,10.3308,0.4812,0.3876,0.6575,0.7218,18.3727,0.013,0.1287,0.2882,0.2096,0.3672,0.5769,0.7999,0.8281,0.8442,2.1667,10.9572,10.7787,5.6252,7.5051,-0.2266,0.194,0.1778,0.1908,0.4286,33.7333,0.0,0.3525,0.2892,0.1875,0.1436,0.3981,0.2222,0.0737,0.0,0.0,0.0,0.374,0.481,,0.4988,0.4112,0.0551,0.499,0.4527,0.0384,-0.027,0.5097,0.5582,0.2781,,35.6
Heracles Almelo,1998,1987,1.0,,17.4818,0.1127,0.4519,1.0,12.1838,0.5078,0.3475,0.6731,0.7192,18.5899,0.0085,0.1251,0.2718,0.2282,0.3669,0.5951,0.7992,0.8216,0.8397,2.0659,10.6958,10.0853,4.9278,6.9681,0.1487,0.1927,0.1416,0.1797,0.3333,33.2,0.0,0.3108,0.2652,0.1748,0.1381,0.3874,0.2082,0.0616,0.0,0.0,0.0,0.3654,0.4675,,0.4924,0.4117,0.064,0.479,0.458,0.0196,-0.3228,0.5108,0.5826,0.2923,,34.8
