team,n_restarts,n_contestable,long_rate,lrr,lbr,lbd,fcwr,afcwr,fcdv,pfcr,sbrr,ralfc,dpcr,tsbc,per5,per10,per15,dpr,ipr,err,psr10,psr15,psr20,actions_sustained,rtg_15,ctg,ntg,etg_basic,etg_event,trr,fter,ber20,pesr,sed,fer,tlr,oep15,frr,hrr15,pr15,far15,scr20,xgpr20,xgca20,ncv20,dtr,aper,xtpr15,ft_post,ft_pre,fts,tps_post,tps_pre,tds,ftad,nep,nsp,ccr15,rdv,rdv_core
AFC Ajax,239,239,0.2762,0.2762,,,0.841,1.0,7.7339,0.607,0.6239,0.6842,0.8536,11.3431,0.046,0.4351,0.5732,0.5105,0.1088,0.6192,0.8284,0.848,0.8873,3.4519,15.9361,14.4506,11.5682,13.2812,1.4603,0.235,0.1548,0.0962,,,,0.3882,0.3412,0.1412,0.1799,0.5439,0.1841,0.0167,0.0,0.0,0.0,0.1799,0.4937,,0.5489,0.1867,0.3476,0.5489,0.2035,0.3384,0.5649,0.6,0.5294,0.2845,,79.4
Alkmaar Zaanstreek,211,211,0.3934,0.3934,,,0.7725,1.0,13.2232,0.5951,0.5877,0.6458,0.782,11.5455,0.0427,0.327,0.5166,0.4597,0.1469,0.6066,0.7697,0.7879,0.8303,3.6019,19.3324,18.4709,14.1687,12.7592,-2.791,0.2437,0.1327,0.1137,,,,0.3831,0.3312,0.1948,0.1848,0.6066,0.1611,0.0284,0.0,0.0,0.0,0.2417,0.4739,,0.4991,0.1204,0.3394,0.4974,0.1246,0.3627,-0.2844,0.592,0.5217,0.2844,,58.4
Almere City FC,277,273,0.917,0.917,,,0.4066,1.0,10.1018,0.7297,0.6406,0.6975,0.685,19.0214,0.0217,0.148,0.278,0.2924,0.4079,0.7004,0.8021,0.8289,0.8342,2.967,7.1587,8.7247,3.0026,4.1128,-10.0509,0.1244,0.1408,0.1264,,,,0.3867,0.3022,0.2178,0.1011,0.4549,0.1805,0.0108,0.0,0.0,0.0,0.3863,0.4404,,0.4721,0.1637,0.3434,0.4918,0.1721,0.3485,-0.426,0.4793,0.431,0.3321,,11.2
FC Twente,236,236,0.3814,0.3814,,,0.7712,1.0,14.1729,0.5714,0.4848,0.7037,0.8178,12.6528,0.0466,0.3432,0.4831,0.4407,0.161,0.6017,0.7772,0.8342,0.8549,3.2076,20.956,18.5113,14.9051,11.6831,-0.6119,0.1932,0.1271,0.0466,,,,0.3427,0.2921,0.1798,0.1441,0.5975,0.1695,0.0212,0.0,0.0,0.0,0.2246,0.4492,,0.4581,0.156,0.2753,0.4597,0.1353,0.3115,-0.2839,0.5128,0.5918,0.3263,,49.0
FC Utrecht,301,298,0.5183,0.5183,,,0.698,1.0,10.8597,0.5433,0.4757,0.5778,0.7081,13.4502,0.0199,0.2691,0.412,0.3754,0.1728,0.5482,0.7962,0.8294,0.8578,3.1812,16.3218,16.4372,10.694,9.7245,-0.647,0.1974,0.1329,0.0963,,,,0.3034,0.2564,0.2009,0.1528,0.5714,0.1993,0.0432,0.0,0.0,0.0,0.206,0.4983,,0.4761,0.1917,0.2411,0.4701,0.1904,0.2754,-0.3987,0.5076,0.5077,0.3555,,58.2
FC Volendam,325,323,0.7385,0.7385,,,0.5604,1.0,29.5065,0.6409,0.5652,0.5634,0.678,19.3607,0.0277,0.1692,0.2985,0.3569,0.2462,0.6031,0.758,0.7763,0.7945,3.0,30.4555,29.8662,23.1517,20.4678,-5.4715,0.1042,0.1015,0.0831,,,,0.3162,0.261,0.1581,0.0831,0.7169,0.1323,0.04,0.0,0.0,0.0,0.4,0.4092,,0.4328,0.0583,0.3713,0.4723,0.0631,0.4108,-0.9385,0.4735,0.4,0.3046,,16.3
Feyenoord Rotterdam,159,159,0.2767,0.2767,,,0.8679,1.0,1.0101,0.6812,0.5692,0.9048,0.9057,10.3472,0.0629,0.4843,0.6226,0.5912,0.1195,0.7107,0.9167,0.9236,0.9444,3.6478,6.8899,4.7019,2.9113,1.8975,-6.5943,0.3121,0.2579,0.1321,,,,0.4587,0.3853,0.2661,0.2767,0.4717,0.2893,0.0377,0.0,0.0,0.0,0.239,0.5849,,0.529,0.2776,0.2318,0.5852,0.2868,0.2996,0.0503,0.6364,0.7143,0.3459,,70.1
Fortuna Sittard,263,262,0.7224,0.7224,,,0.5267,1.0,17.576,0.6739,0.5858,0.7097,0.7672,17.8209,0.0038,0.1863,0.3574,0.3536,0.3346,0.6882,0.7861,0.801,0.8159,2.9351,23.1106,22.4902,17.7576,16.1489,-3.737,0.2047,0.1635,0.1255,,,,0.2784,0.2371,0.1649,0.1673,0.6084,0.2091,0.0608,0.0,0.0,0.0,0.2662,0.5323,,0.4918,0.1741,0.3257,0.5169,0.1542,0.3732,-0.1825,0.5565,0.7213,0.2966,,61.0
Go Ahead Eagles,365,362,0.3205,0.3205,,,0.7983,1.0,13.1735,0.6055,0.5401,0.6301,0.7873,15.8632,0.0301,0.2986,0.4411,0.4795,0.126,0.6055,0.793,0.8175,0.8386,3.1105,30.4254,26.943,22.5738,19.4732,-1.6229,0.2015,0.1342,0.0959,,,,0.302,0.2483,0.1678,0.1479,0.6685,0.1781,0.0329,0.0,0.0,0.0,0.1562,0.4411,,0.4376,0.108,0.3187,0.4659,0.1205,0.345,-0.5205,0.4919,0.4828,0.3315,,53.9
Heracles Almelo,338,338,0.5237,0.5237,,,0.6538,1.0,18.8396,0.6109,0.5074,0.5983,0.713,15.7884,0.0266,0.2574,0.3846,0.3994,0.2071,0.6065,0.8216,0.8548,0.8797,2.7988,29.0876,27.1712,21.1769,16.9414,-2.5713,0.1774,0.0976,0.071,,,,0.2464,0.2036,0.1643,0.1302,0.6805,0.1686,0.0266,0.0,0.0,0.0,0.3077,0.4201,,0.3929,0.0625,0.3237,0.4434,0.0855,0.3568,-1.0888,0.4448,0.3659,0.3462,,33.3
