contestant_id,team_name,actions,passes,carries,take_ons,xT_added,positive_xT_added,xT_per_action
zjawy6qdzk3y69v5pa3zl2cb,SC Telstar,11594,10292,1302,0,17.322536479898485,32.42077061584814,0.0014940949180523102
dac758ef858jbq7pcb3gfwite,Heracles Almelo,11003,9852,1151,0,15.018603721791603,28.864863999222226,0.0013649553505218216
ccpscwdcm65czscrun048ecn5,FC Utrecht,13569,12366,1203,0,14.838516531810994,31.717536344650558,0.0010935600657241502
dqk062lu0vm8epvytbm6r4mmf,SBV Excelsior,12811,11497,1314,0,14.653132153159508,27.905457971883003,0.0011437930023541884
3ebril33e08ddzob4bhq8awsr,Fortuna Sittard,11439,10113,1326,0,14.426298254726355,28.867950638621846,0.0012611502976419577
59t7flioj4w4mpwnrwbm0m8ck,NAC Breda,12604,11415,1189,0,13.85737772462089,30.35927699886449,0.0010994428534291407
8iawijq7s9s6d85mjz8wdslki,Nijmegen Eendracht Combinatie,13828,12486,1342,0,13.727424352737904,36.014398638771794,0.0009927266671057205
6g9qrm72224jrk6tkxxxi8a9n,FC Volendam,11646,10425,1221,0,13.488379045206951,27.18564299608346,0.0011581984411134253
24fvcruwqrqvqa3aonf8c3zuy,PSV Eindhoven,18286,17061,1225,0,13.476096208976292,38.945518016334546,0.0007369624963893849
20vymiy7bo8wkyxai3ew494fz,Feyenoord Rotterdam,14350,13104,1246,0,12.984068172844387,33.63880383937063,0.0009048131130902011
89w5c6pw7vn0dxypi61tt0g4k,Sparta Rotterdam,12804,11539,1265,0,12.504979396584174,28.60052345998098,0.0009766463133852057
3kfktv64h7kg7zryax1wktr5r,Alkmaar Zaanstreek,14797,13546,1251,0,11.983702638272863,33.17481053914817,0.000809873801329517
cos9hxi16eitbcbthof7zrm4m,FC Groningen,13756,12469,1287,0,11.792343904569828,33.1519222650134,0.0008572509381048145
b79uipsy57y1jqpy07h4i5ovk,Go Ahead Eagles,13180,12101,1079,0,11.529743069128322,28.139972360080055,0.0008747908246683097
4tic29sox7m39fy1ztgv0jsiq,FC Twente,14780,13599,1181,0,10.681398671239297,33.18734650268396,0.0007226927382435248
2uuh2bir8ktof0uxfo06lb4ox,PEC Zwolle,12031,10798,1233,0,10.439322879020146,23.285300151745705,0.000867702009726552
4vd2t5schmvvufrfib7f2vjdf,SC Heerenveen,14622,13302,1320,0,9.972114784187317,30.898711879995727,0.0006819938985219065
d0zdg647gvgc95xdtk1vpbkys,AFC Ajax,18512,17136,1376,0,8.759467457653699,31.864241543757508,0.00047317780129935713
