match_file,event_id,period_id,time_min,time_sec,contestant_id,team_name,player_id,player_name,action_type,x,y,link_type,disruption_score,linked_pass_team,linked_pass_player,start_xT,end_xT,positive_xT_added,disruption_value
2025-08-08_Fortuna Sittard - Go Ahead Eagles,11,1,1,22,3ebril33e08ddzob4bhq8awsr,Fortuna Sittard,dp0q4f4gbj2buhcu1lb5dzxed,Ivo Pinto,Ball Recovery,40.005,26.180000000000003,recovery,0.8124167969746621,Go Ahead Eagles,R. Margaret,0.1220758901489754,0.1207079460851144,0.0,0.0
2025-08-08_Fortuna Sittard - Go Ahead Eagles,27,1,3,46,3ebril33e08ddzob4bhq8awsr,Fortuna Sittard,8przxwwothu3crflys7ahl4dm,S. Adewoye,Aerial Duel,43.05,28.56,intercepted,0.2652815240742345,Go Ahead Eagles,M. Deijl,0.1221668082420061,0.1202211072184224,0.0,0.0
2025-08-08_Fortuna Sittard - Go Ahead Eagles,200,1,27,6,b79uipsy57y1jqpy07h4i5ovk,Go Ahead Eagles,9d4lofwg9ooaoldw2vpt4h36y,E. Linthorst,Interception,37.695,29.512,intercepted,0.3565783443443032,Fortuna Sittard,S. Adewoye,0.2952543290946832,0.1219514137025661,0.0,0.0
2025-08-08_Fortuna Sittard - Go Ahead Eagles,216,1,28,1,b79uipsy57y1jqpy07h4i5ovk,Go Ahead Eagles,61a5bh5xw947nv4mxx62gqaqx,J. Kramer,Ball Recovery,52.605,33.592,recovery,0.3684419075323648,Fortuna Sittard,J. Dahlhaus,0.1246847043887228,0.1218758304851239,0.0,0.0
2025-08-08_Fortuna Sittard - Go Ahead Eagles,254,1,33,35,b79uipsy57y1jqpy07h4i5ovk,Go Ahead Eagles,2ekx0fvuf0dsat062oj430d05,G. Nauber,Ball Recovery,33.18,22.848000000000003,recovery,0.2472846197396473,Fortuna Sittard,M. Branderhorst,0.1184955290602906,0.1220120343406426,0.0035165052803520086,0.0008695776710643082
2025-08-08_Fortuna Sittard - Go Ahead Eagles,588,2,66,10,3ebril33e08ddzob4bhq8awsr,Fortuna Sittard,dsh8ta4q6v5ews2e19p9xh6y2,J. Hubner,Aerial Duel,31.92,43.52,intercepted,0.251378384923288,Go Ahead Eagles,J. De Busser,0.1222225789547245,0.1136775064324867,0.0,0.0
2025-08-08_Fortuna Sittard - Go Ahead Eagles,607,2,69,11,3ebril33e08ddzob4bhq8awsr,Fortuna Sittard,16mtjri8tz6vmxtxwr34y2tp1,M. Branderhorst,Ball Recovery,9.240000000000002,26.860000000000003,recovery,0.0934248292100385,Go Ahead Eagles,J. De Busser,0.1233009062336018,0.2005271834204103,0.07722627718680848,0.007214851756704675
2025-08-08_Fortuna Sittard - Go Ahead Eagles,765,2,83,22,3ebril33e08ddzob4bhq8awsr,Fortuna Sittard,570htztcvfsu947xw6fvtzmc5,Iván Márquez,Clearance,27.825000000000003,33.524,intercepted,0.3018039563945511,Go Ahead Eagles,J. De Busser,0.1233009062336018,0.1191634086512755,0.0,0.0
2025-08-08_Fortuna Sittard - Go Ahead Eagles,826,2,92,54,3ebril33e08ddzob4bhq8awsr,Fortuna Sittard,dsh8ta4q6v5ews2e19p9xh6y2,J. Hubner,Aerial Duel,31.290000000000003,43.112,intercepted,0.245130355257884,Go Ahead Eagles,J. De Busser,0.1219700487108545,0.1136775064324867,0.0,0.0
2025-08-08_Fortuna Sittard - Go Ahead Eagles,859,2,98,16,3ebril33e08ddzob4bhq8awsr,Fortuna Sittard,570htztcvfsu947xw6fvtzmc5,Iván Márquez,Clearance,28.455,35.632000000000005,intercepted,0.3538901170512031,Go Ahead Eagles,J. De Busser,0.1233009062336018,0.1203455693841058,0.0,0.0
