match_file,team,player,period,minute,x,y,end_x,end_y,length,angle,dist_to_goal_start,dist_to_goal_end,byline_proximity,lateral_shift,is_cross,is_through_ball,is_cutback,body_part,phase,origin_channel,entry_channel,outcome,pred_xbe
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,Fortuna Sittard,D. Limnios,1,4.55,97.6,9.4,92.4,41.8,22.7,1.81,40.67087409928634,11.180339887498947,7.599999999999994,32.4,1,0,0,right_foot,regular,wide,central,0,0.1983946308827143
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,Fortuna Sittard,J. Dahlhaus,1,14.383333333333333,91.5,80.9,92.0,55.1,17.6,4.74,32.04777683397088,9.487360012142473,8.0,25.800000000000004,1,0,0,left_foot,regular,wide,central,0,0.2289273919882914
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,Fortuna Sittard,J. Dahlhaus,1,15.6,86.2,87.1,96.7,47.5,29.1,5.1,39.583456140160365,4.140048308896888,3.299999999999997,39.6,0,0,0,other,regular,wide,central,0,0.087709091415907
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,Fortuna Sittard,J. Dahlhaus,1,30.416666666666668,84.0,92.6,91.0,54.2,27.1,4.99,45.50560405049031,9.93176721434811,9.0,38.39999999999999,1,0,0,left_foot,regular,wide,central,1,0.2562234627080662
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,Go Ahead Eagles,R. Margaret,1,39.45,86.9,19.2,95.2,51.0,23.3,1.19,33.47013594235912,4.903060268852502,4.799999999999997,31.8,1,0,0,right_foot,regular,wide,central,0,0.1348828441882909
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,Fortuna Sittard,Ivo Pinto,1,39.93333333333333,87.3,11.0,93.1,47.5,25.6,1.33,41.01572869034512,7.338937252763515,6.900000000000006,36.5,1,0,0,right_foot,regular,wide,central,0,0.2643415440346248
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,Fortuna Sittard,J. Dahlhaus,1,41.21666666666667,86.8,89.1,89.7,49.3,27.2,4.82,41.26802636424475,10.323759005323591,10.299999999999995,39.8,1,0,0,left_foot,regular,wide,central,0,0.3067274298577649
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,Fortuna Sittard,J. Dahlhaus,2,46.03333333333333,90.0,85.6,89.0,54.3,21.3,4.66,36.9778311965426,11.81058846967415,11.0,31.3,1,0,0,left_foot,regular,wide,central,0,0.2804804863197077
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,Go Ahead Eagles,O. Pettersson,2,56.9,82.3,9.7,89.7,54.0,31.1,1.32,44.01567902463848,11.049434374663706,10.299999999999995,44.3,1,0,0,right_foot,regular,wide,central,0,0.3157631356843211
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,Fortuna Sittard,D. Limnios,2,58.2,76.5,6.2,90.2,48.8,32.3,1.11,49.70603585078979,9.873196037757983,9.799999999999995,42.6,1,0,0,right_foot,regular,wide,central,0,0.2807903022804833
