match_file,team,player,period,minute,x,y,end_x,end_y,length,angle,dist_to_goal_start,dist_to_goal_end,byline_proximity,lateral_shift,is_cross,is_through_ball,is_cutback,body_part,phase,origin_channel,entry_channel,outcome,pred_xbe
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,Go Ahead Eagles,V. Edvardsen,1,3.1333333333333333,56.6,42.7,96.2,27.0,42.9,6.03,44.0096580309368,23.31179958733345,3.799999999999997,15.700000000000003,0,0,0,other,regular,central,halfspace,0,0.5239021924331094
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,Fortuna Sittard,D. Limnios,1,4.55,97.6,9.4,92.4,41.8,22.7,1.81,40.67087409928634,11.180339887498947,7.599999999999994,32.4,1,0,0,right_foot,regular,wide,central,0,0.19839463088271436
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,Fortuna Sittard,D. Limnios,1,5.85,81.2,49.5,85.9,58.5,7.9,0.89,18.806647760831805,16.46389990251398,14.099999999999994,9.0,0,0,0,other,regular,central,central,1,0.6697519434170034
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,Go Ahead Eagles,M. Deijl,1,7.15,48.7,8.6,96.0,25.8,51.0,0.23,65.92154427802795,24.52835094334717,4.0,17.200000000000003,0,0,0,other,regular,wide,halfspace,0,0.3984830603400992
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,Fortuna Sittard,P. Gladon,1,7.7,73.3,49.9,89.9,69.7,22.0,0.66,26.700187265260897,22.138202275704323,10.099999999999994,19.800000000000004,0,1,0,other,regular,central,halfspace,0,0.15951323200326553
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,Fortuna Sittard,P. Gladon,1,13.233333333333333,74.1,39.8,83.0,22.4,15.1,5.38,27.83612760424841,32.4154284253656,17.0,17.4,0,1,0,other,regular,halfspace,halfspace,0,0.4403709344632602
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,Fortuna Sittard,J. Dahlhaus,1,14.383333333333333,91.5,80.9,92.0,55.1,17.6,4.74,32.04777683397088,9.487360012142473,8.0,25.800000000000004,1,0,0,left_foot,regular,wide,central,0,0.22892739198829148
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,Fortuna Sittard,J. Dahlhaus,1,15.6,86.2,87.1,96.7,47.5,29.1,5.1,39.583456140160365,4.140048308896888,3.299999999999997,39.599999999999994,0,0,0,other,regular,wide,central,0,0.08770909141590709
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,Fortuna Sittard,S. Adewoye,1,21.1,33.5,26.6,83.1,69.3,59.6,0.51,70.49687936355765,25.65345980564805,16.900000000000006,42.699999999999996,0,0,0,other,regular,halfspace,halfspace,0,0.23749850086442348
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,Go Ahead Eagles,R. Margaret,1,24.216666666666665,45.2,26.8,86.8,25.6,43.7,6.26,59.5086548327216,27.741665415039524,13.200000000000003,1.1999999999999993,0,0,0,other,regular,halfspace,halfspace,1,0.25372858197058873
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,Go Ahead Eagles,V. Edvardsen,1,24.7,91.5,12.8,87.3,41.5,20.0,1.79,38.15874735889532,15.282015573869831,12.700000000000003,28.7,0,0,0,other,regular,wide,central,0,0.533049253670772
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,Go Ahead Eagles,R. Margaret,1,25.85,84.2,17.0,92.5,28.0,11.5,0.71,36.58742953529258,23.243278598338918,7.5,11.0,0,0,0,other,regular,wide,halfspace,1,0.8342051177353181
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,Go Ahead Eagles,D. James,1,28.233333333333334,91.6,93.6,87.6,43.3,34.5,4.59,44.40180176524371,14.094325099131217,12.400000000000006,50.3,1,0,0,left_foot,regular,wide,central,0,0.33206030296052835
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,Go Ahead Eagles,V. Edvardsen,1,28.416666666666668,73.6,29.5,84.3,32.7,11.4,0.19,33.424691472024094,23.361934851377356,15.700000000000003,3.200000000000003,0,0,0,other,regular,halfspace,halfspace,1,0.7805439164980122
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,Fortuna Sittard,J. Dahlhaus,1,30.416666666666668,84.0,92.6,91.0,54.2,27.1,4.99,45.505604050490305,9.93176721434811,9.0,38.39999999999999,1,0,0,left_foot,regular,wide,central,1,0.25622346270806623
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,Go Ahead Eagles,R. Margaret,1,32.03333333333333,86.6,7.6,97.3,65.8,41.1,1.29,44.46706646496933,16.02903615318151,2.700000000000003,58.199999999999996,1,0,0,right_foot,regular,wide,halfspace,1,0.47412008717432674
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,Go Ahead Eagles,M. Suray,1,32.75,85.7,83.9,96.2,40.3,31.6,5.07,36.79266231193389,10.417773274553447,3.799999999999997,43.60000000000001,1,0,0,right_foot,regular,wide,central,1,0.28539316570746737
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,Fortuna Sittard,D. Limnios,1,34.06666666666667,82.4,22.4,89.8,67.2,31.4,1.32,32.73408010010362,19.99699977496625,10.200000000000003,44.800000000000004,1,0,0,right_foot,regular,halfspace,halfspace,1,0.592600387091376
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,Go Ahead Eagles,R. Margaret,1,39.45,86.9,19.2,95.2,51.0,23.3,1.19,33.47013594235912,4.903060268852502,4.799999999999997,31.8,1,0,0,right_foot,regular,wide,central,0,0.13488284418829097
