player,team,attempts,completed,expected,completion_rate,added_value
M. van Bergen,Sparta Rotterdam,82,22,21.71348190434239,0.2682926829268293,0.286518095657609
S. El Karouani,FC Utrecht,63,13,13.507422287977516,0.20634920634920634,-0.5074222879775157
I. Perišić,PSV Eindhoven,60,17,13.391902385929482,0.2833333333333333,3.608097614070518
Y. Taha,FC Groningen,57,14,13.278867881745938,0.24561403508771928,0.7211321182540615
B. Kemper,NAC Breda,51,11,12.268714211648538,0.21568627450980393,-1.268714211648538
G. de Regt,SBV Excelsior,46,12,10.31863849347108,0.2608695652173913,1.6813615065289191
S. Ouaissa,Nijmegen Eendracht Combinatie,43,10,11.600679245104521,0.23255813953488372,-1.600679245104521
D. Rots,FC Twente,40,13,10.061526826885508,0.325,2.9384731731144917
A. Hadj Moussa,Feyenoord Rotterdam,39,9,11.104689591200552,0.23076923076923078,-2.104689591200552
A. Gaaei,AFC Ajax,37,7,9.461975219169094,0.1891891891891892,-2.4619752191690942
J. Hardeveld,SC Telstar,36,11,9.480293237186784,0.3055555555555556,1.5197067628132164
B. Önal,Nijmegen Eendracht Combinatie,36,6,8.780765293367677,0.16666666666666666,-2.7807652933676774
T. Chery,Nijmegen Eendracht Combinatie,35,6,7.599617993248242,0.17142857142857143,-1.5996179932482422
V. Zagaritis,SC Heerenveen,32,9,7.660282698502789,0.28125,1.3397173014972106
M. Godts,AFC Ajax,32,9,7.68539912919381,0.28125,1.3146008708061903
I. Bronkhorst,SBV Excelsior,29,6,6.348899607544465,0.20689655172413793,-0.3488996075444648
K. Sano,Nijmegen Eendracht Combinatie,27,6,6.278319874794372,0.2222222222222222,-0.2783198747943718
E. Bajraktarević,PSV Eindhoven,27,10,6.857165042027034,0.37037037037037035,3.1428349579729664
S. Dest,PSV Eindhoven,27,5,6.870906353777869,0.18518518518518517,-1.870906353777869
B. van Rooij,FC Twente,27,4,7.033574041181901,0.14814814814814814,-3.033574041181901
D. Limnios,Fortuna Sittard,27,9,7.058261297207146,0.3333333333333333,1.941738702792854
J. van Overeem,SC Heerenveen,27,7,6.342946482797466,0.25925925925925924,0.6570535172025336
Y. Leliendal,FC Volendam,27,6,6.089831924500754,0.2222222222222222,-0.08983192450075439
O. Braude,SC Heerenveen,26,5,6.198546888589601,0.19230769230769232,-1.1985468885896013
M. Ihattaren,Fortuna Sittard,26,8,6.077799342244729,0.3076923076923077,1.9222006577552708
Y. Cathline,FC Utrecht,26,12,6.60026071799756,0.46153846153846156,5.39973928200244
Ivo Pinto,Fortuna Sittard,26,9,6.689380007777998,0.34615384615384615,2.3106199922220023
T. Noslin,SC Telstar,26,5,6.707470364389285,0.19230769230769232,-1.7074703643892848
B. Limbombe,Heracles Almelo,26,6,7.092553050948696,0.23076923076923078,-1.0925530509486956
J. Bos,Feyenoord Rotterdam,26,10,6.097494833619991,0.38461538461538464,3.902505166380009
W. Ould-Chikh,Heracles Almelo,25,5,5.472820851614672,0.2,-0.4728208516146717
J. Talvitie,NAC Breda,25,8,6.827545239830061,0.32,1.1724547601699387
D. Sanches Fernandes,SBV Excelsior,25,7,6.403293494066826,0.28,0.5967065059331738
