team,attempts,completed,expected,completion_rate,added_value
Nijmegen Eendracht Combinatie,265,58,63.610274475393574,0.2188679245283019,-5.610274475393574
PSV Eindhoven,228,62,56.23839065729159,0.2719298245614035,5.761609342708411
NAC Breda,223,58,56.773645325435744,0.2600896860986547,1.2263546745642557
Go Ahead Eagles,222,45,53.7564337959149,0.20270270270270271,-8.756433795914901
FC Utrecht,217,67,51.08086120624255,0.3087557603686636,15.919138793757448
Sparta Rotterdam,213,41,51.75944349323421,0.19248826291079812,-10.759443493234208
FC Groningen,211,52,49.46969508648478,0.24644549763033174,2.5303049135152165
Feyenoord Rotterdam,202,55,48.57238901776476,0.2722772277227723,6.427610982235237
Heracles Almelo,196,49,48.03569180800475,0.25,0.9643081919952508
FC Twente,190,40,49.0883501161662,0.21052631578947367,-9.088350116166197
AFC Ajax,189,40,46.77090598342914,0.21164021164021163,-6.770905983429138
SBV Excelsior,188,44,42.3839560996097,0.23404255319148937,1.6160439003903022
SC Telstar,176,39,44.192816878690785,0.2215909090909091,-5.192816878690785
SC Heerenveen,176,41,43.67959578063362,0.23295454545454544,-2.679595780633619
FC Volendam,170,38,37.98392519938859,0.2235294117647059,0.01607480061141331
Fortuna Sittard,164,44,37.44755718569686,0.2682926829268293,6.5524428143031415
Alkmaar Zaanstreek,147,37,37.06720043806692,0.25170068027210885,-0.06720043806691933
PEC Zwolle,105,23,25.93186784312691,0.21904761904761905,-2.931867843126909
