player,team,attempts,total_psv,actual_shot_xg
M. van Bergen,Sparta Rotterdam,184,5.710612074877734,4.607967309653759
Y. Taha,FC Groningen,157,4.7672039213484005,4.610694564878941
A. Hadj Moussa,Feyenoord Rotterdam,162,4.666135442399387,4.334034141153097
M. Godts,AFC Ajax,155,4.273497492573009,5.144424553960562
I. Perišić,PSV Eindhoven,143,4.150830789940338,5.0393506325781345
S. El Karouani,FC Utrecht,136,3.892811546779251,4.189404256641865
S. Ouaissa,Nijmegen Eendracht Combinatie,120,3.867490186170953,3.0464064739644527
D. Rots,FC Twente,131,3.7382431886089744,5.79163907840848
K. Sano,Nijmegen Eendracht Combinatie,109,3.5239442775358834,3.059969250112772
T. Chery,Nijmegen Eendracht Combinatie,118,3.4304995752063228,3.998057633638382
B. Önal,Nijmegen Eendracht Combinatie,110,3.280415701661829,3.587107714265585
J. Veerman,PSV Eindhoven,123,3.265300368147882,4.028386238962412
B. Kemper,NAC Breda,130,3.2048486661944846,2.3425996340811253
J. van Overeem,SC Heerenveen,128,3.1697244253979227,3.894197963178158
A. Hrustić,Heracles Almelo,100,3.0619223511406393,2.2347058095037937
B. van Rooij,FC Twente,108,3.0367958902673764,2.6672732420265675
J. Hardeveld,SC Telstar,120,2.9937874572412335,3.1602985952049494
S. Mijnans,Alkmaar Zaanstreek,90,2.9758335310589423,4.504755542576313
A. Gaaei,AFC Ajax,102,2.9612298955152343,3.561936639249325
L. Valente,Feyenoord Rotterdam,99,2.819447562455922,3.784640319645405
S. Ørjasæter,FC Twente,92,2.778971112857366,3.564906196668744
G. de Regt,SBV Excelsior,96,2.742697577609474,3.0527669116854668
J. Trenskow,SC Heerenveen,79,2.7030288543998835,3.4068735279142857
O. Braude,SC Heerenveen,110,2.610387983687115,2.4599005542695522
I. Jensen,Alkmaar Zaanstreek,88,2.5849193188819743,4.4586191438138485
Y. Cathline,FC Utrecht,78,2.5492916867433846,2.84816175699234
M. Rivera,SC Heerenveen,96,2.4542319396797847,2.5080263651907444
S. Dest,PSV Eindhoven,80,2.4519318387865936,2.6657724380493164
V. Zagaritis,SC Heerenveen,92,2.45078999985661,3.308563543483615
M. Rots,FC Twente,91,2.4325996578246083,3.287752576172352
T. Noslin,SC Telstar,88,2.428065891308466,2.6235321387648582
I. Saibari,PSV Eindhoven,75,2.403857407326997,3.1981744412332773
D. Sanches Fernandes,SBV Excelsior,73,2.3271432101659313,2.4333917275071144
V. Edvardsen,Go Ahead Eagles,88,2.3133235291243306,1.995744064450264
