team,attempts,expected_box_entries,actual_box_entries,added_value
PSV Eindhoven,932,425.8415442867954,456,30.158455713204603
FC Twente,855,378.61388746796933,391,12.386112532030666
Nijmegen Eendracht Combinatie,933,374.2355597504094,369,-5.235559750409379
Feyenoord Rotterdam,855,361.3869603203916,375,13.613039679608391
Alkmaar Zaanstreek,760,358.53027104286167,384,25.46972895713833
AFC Ajax,807,357.6479448616693,368,10.352055138330684
SC Heerenveen,833,352.8123615889149,363,10.187638411085118
FC Groningen,814,315.530425555859,313,-2.530425555858983
Go Ahead Eagles,851,299.775059117814,274,-25.77505911781401
SC Telstar,731,290.7937431620211,280,-10.793743162021087
Sparta Rotterdam,768,279.89292508818374,260,-19.892925088183745
NAC Breda,733,267.0077813367931,244,-23.007781336793073
FC Utrecht,710,261.4318407105983,290,28.568159289401706
Heracles Almelo,675,247.63677952400707,226,-21.636779524007068
PEC Zwolle,544,219.04785672879004,207,-12.047856728790038
FC Volendam,607,215.65801812605503,215,-0.6580181260550262
Fortuna Sittard,617,210.40615314750985,213,2.5938468524901452
SBV Excelsior,603,201.10262473791082,190,-11.102624737910816
