player,team,attempts,expected_box_entries,actual_box_entries,added_value
C. Valerius,NAC Breda,60,21.822459421742483,26,4.177540578257517
S. Resink,FC Groningen,58,21.77594627463334,24,2.224053725366659
J. Kitolano,Sparta Rotterdam,42,21.73250276287053,23,1.2674972371294686
A. Oehlers,FC Volendam,60,20.90639911345749,23,2.093600886542511
C. Driouech,PSV Eindhoven,52,20.741031682834556,17,-3.7410316828345564
P. Wanner,PSV Eindhoven,36,20.515689419427076,23,2.4843105805729238
B. Kuwas,FC Volendam,38,20.139708726985823,26,5.860291273014177
M. de Wit,Alkmaar Zaanstreek,41,19.970731837668854,23,3.029268162331146
Y. Leliendal,FC Volendam,58,19.93553780039213,20,0.06446219960787047
A. Adelgaard,Go Ahead Eagles,54,19.87009953871779,21,1.1299004612822117
Miguel Rodríguez,FC Utrecht,51,19.79457770952086,20,0.20542229047914162
K. de Rooij,PEC Zwolle,38,19.035768437529278,17,-2.0357684375292777
D. Vente,SC Heerenveen,34,18.697634272538497,19,0.3023657274615026
T. Parrott,Alkmaar Zaanstreek,32,18.640578229095233,20,1.359421770904767
L. Brouwers,SC Heerenveen,33,18.15606952562854,20,1.8439304743714615
Ayoni Santos,Sparta Rotterdam,42,17.9287551952839,17,-0.9287551952839017
D. James,Go Ahead Eagles,62,17.813168161302467,15,-2.8131681613024675
L. Duijvestijn,Sparta Rotterdam,35,17.773896884514713,15,-2.7738968845147127
J. Schouten,PSV Eindhoven,35,17.744528301190343,19,1.2554716988096573
M. Balard,NAC Breda,31,17.633130308329736,13,-4.633130308329736
S. Mito,Sparta Rotterdam,48,17.55865252696352,14,-3.5586525269635203
T. Owusu,SC Telstar,38,17.48369364530551,17,-0.48369364530551096
J. Kramer,Go Ahead Eagles,61,17.447266199377108,19,1.5527338006228923
L. Holtby,NAC Breda,39,17.182005239605875,18,0.8179947603941251
R. Bounida,AFC Ajax,39,16.847563598631012,16,-0.8475635986310124
M. Meulensteen,Go Ahead Eagles,45,16.747210894292053,15,-1.7472108942920528
S. Floranus,PEC Zwolle,41,16.66786934590527,17,0.33213065409472975
S. Hetli,SC Telstar,31,16.619903980581636,14,-2.619903980581636
W. Weghorst,AFC Ajax,30,16.561794149808783,19,2.438205850191217
D. Bakker,SC Telstar,37,16.556239649429454,16,-0.5562396494294539
M. Benita,Heracles Almelo,42,16.47992792342301,18,1.5200720765769908
R. Paula,NAC Breda,41,16.419690463266125,17,0.5803095367338749
M. Deijl,Go Ahead Eagles,49,16.383097179036092,17,0.616902820963908
Raúl Moro,AFC Ajax,38,16.288124612769707,18,1.7118753872302932
A. Blake,FC Utrecht,34,16.02741954017034,19,2.9725804598296612
K. Sildillia,PSV Eindhoven,41,15.89668467773003,17,1.1033153222699692
A. Zagré,SBV Excelsior,42,15.748785718986625,16,0.2512142810133753
C. Brym,NAC Breda,41,15.720300039040389,15,-0.7203000390403886
P. Clement,Sparta Rotterdam,30,15.608072895984224,16,0.39192710401577635
L. Duijvestijn,Fortuna Sittard,29,15.49975158322657,16,0.5002484167734291
A. Engwanda,FC Utrecht,35,15.349884871935153,16,0.6501151280648472
T. de Jonge,FC Groningen,40,15.32932375811447,14,-1.3293237581144695
E. Linthorst,Go Ahead Eagles,38,15.27116068029048,14,-1.27116068029048
Jamiro Monteiro,PEC Zwolle,35,15.241735273201801,20,4.758264726798199
R. Margaret,Go Ahead Eagles,44,15.13665462070534,11,-4.13665462070534
C. Hatenboer,SC Telstar,39,15.082573379659413,14,-1.0825733796594132
B. Linssen,Nijmegen Eendracht Combinatie,37,14.817718288217042,16,1.1822817117829576
S. Steur,AFC Ajax,23,14.784130873424912,14,-0.7841308734249122
A. Verschueren,FC Twente,28,14.721551056755485,16,1.2784489432445145
R. Thomas,PEC Zwolle,43,14.673374593567623,17,2.3266254064323775
I. Mesík,Heracles Almelo,50,14.600611050711878,12,-2.600611050711878
Ángel Alarcón,FC Utrecht,44,14.574482790985792,14,-0.5744827909857921
B. Ould-Chikh,FC Volendam,39,14.455290847568653,21,6.544709152431347
S. Horemans,FC Utrecht,49,14.348668830672766,20,5.651331169327234
A. Sliti,Feyenoord Rotterdam,43,14.327922507124429,12,-2.3279225071244287
W. Goes,Alkmaar Zaanstreek,35,14.274158930059524,14,-0.2741589300595244
N. Rossen,SC Telstar,21,14.093128133291085,17,2.906871866708915
K. Kostons,PEC Zwolle,36,14.000724569508156,16,1.9992754304918439
K. Tejan,SC Telstar,30,13.763699863892205,11,-2.763699863892205
S. Lammers,FC Twente,23,13.595526306048031,11,-2.595526306048031
G. Smal,Feyenoord Rotterdam,40,13.590704196388977,13,-0.5907041963889768
